num_evaluations,best_reward,best_program
1,0.0,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( turnRight move move w) w) IF c( markersPresent c) i( REPEAT R=18 r( move move move pickMarker move move r) i) r) move turnRight REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight IF c( noMarkersPresent c) i( turnLeft move i) w) turnRight turnLeft r) WHILE c( rightIsClear c) w( turnLeft pickMarker IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move move turnRight w) i) IF c( frontIsClear c) i( turnRight i) WHILE c( leftIsClear c) w( REPEAT R=18 r( move putMarker turnRight move move turnLeft r) w) w) m)
15,0.027777777777777787,DEF run m( turnRight REPEAT R=9 r( pickMarker pickMarker putMarker turnLeft r) turnRight m)
58,0.04340277777777778,DEF run m( WHILE c( leftIsClear c) w( IF c( leftIsClear c) i( move turnLeft i) WHILE c( leftIsClear c) w( move turnRight pickMarker move w) w) REPEAT R=9 r( pickMarker pickMarker putMarker turnLeft r) turnRight m)
67,0.055555555555555566,DEF run m( WHILE c( leftIsClear c) w( IF c( leftIsClear c) i( turnLeft i) WHILE c( leftIsClear c) w( move turnRight pickMarker move w) w) REPEAT R=9 r( pickMarker pickMarker putMarker turnLeft r) turnRight m)
86,0.16666666666666666,DEF run m( WHILE c( leftIsClear c) w( IF c( leftIsClear c) i( turnLeft i) WHILE c( leftIsClear c) w( turnLeft turnRight pickMarker move w) w) REPEAT R=9 r( pickMarker pickMarker putMarker turnLeft r) turnRight m)
104,0.43055555555555564,DEF run m( WHILE c( leftIsClear c) w( IF c( leftIsClear c) i( turnLeft i) WHILE c( frontIsClear c) w( turnLeft turnRight pickMarker move w) w) REPEAT R=9 r( pickMarker pickMarker putMarker turnLeft r) turnRight m)
263,0.6197916666666669,DEF run m( WHILE c( leftIsClear c) w( IF c( leftIsClear c) i( turnLeft i) WHILE c( frontIsClear c) w( turnLeft turnRight WHILE c( noMarkersPresent c) w( move turnLeft w) pickMarker move w) w) REPEAT R=9 r( pickMarker pickMarker putMarker turnLeft r) turnRight m)
274,0.6232638888888891,DEF run m( WHILE c( leftIsClear c) w( IF c( leftIsClear c) i( turnLeft i) WHILE c( frontIsClear c) w( turnLeft turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker move w) w) REPEAT R=9 r( pickMarker pickMarker putMarker turnLeft r) turnRight m)
1306,0.6250000000000001,DEF run m( WHILE c( leftIsClear c) w( IF c( not c( frontIsClear c) c) i( turnLeft i) WHILE c( frontIsClear c) w( turnLeft turnRight WHILE c( noMarkersPresent c) w( move turnLeft w) pickMarker move w) w) m)
1371,0.7569444444444446,DEF run m( WHILE c( leftIsClear c) w( IF c( not c( frontIsClear c) c) i( turnLeft i) WHILE c( frontIsClear c) w( turnLeft turnRight WHILE c( noMarkersPresent c) w( move turnLeft w) pickMarker turnRight w) w) m)
6348,0.7864583333333336,DEF run m( WHILE c( markersPresent c) w( turnLeft IF c( rightIsClear c) i( turnRight i) pickMarker IF c( noMarkersPresent c) i( turnLeft move i) WHILE c( noMarkersPresent c) w( turnLeft move w) w) m)
14110,0.7899305555555556,DEF run m( WHILE c( frontIsClear c) w( move REPEAT R=14 r( IF c( frontIsClear c) i( turnRight i) pickMarker IF c( frontIsClear c) i( move i) WHILE c( noMarkersPresent c) w( turnLeft move w) r) pickMarker w) m)
27710,0.8576388888888893,DEF run m( IF c( frontIsClear c) i( turnRight i) REPEAT R=14 r( IF c( frontIsClear c) i( turnRight i) REPEAT R=3 r( IF c( frontIsClear c) i( turnRight i) pickMarker WHILE c( noMarkersPresent c) w( turnLeft move w) r) r) move pickMarker m)
32005,0.9791666666666667,DEF run m( pickMarker move REPEAT R=19 r( REPEAT R=19 r( IF c( frontIsClear c) i( turnRight i) pickMarker IF c( frontIsClear c) i( move i) turnLeft IF c( noMarkersPresent c) i( move i) WHILE c( noMarkersPresent c) w( turnLeft move w) r) r) m)
