num_evaluations,best_reward,best_program
1,0.0920138888888889,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
19,0.09548611111111112,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
58,0.10243055555555558,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( leftIsClear c) i( move i) ELSE e( move move turnRight e) w) i) m)
121,0.17187500000000006,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight IF c( rightIsClear c) i( putMarker pickMarker move pickMarker i) move turnRight w) i) m)
126,0.1875,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight move move turnRight w) i) m)
137,0.19444444444444448,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight move move move turnRight w) i) m)
139,0.26736111111111116,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight move turnLeft turnRight w) i) m)
153,0.3437500000000001,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight putMarker w) i) m)
157,0.40625,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft putMarker w) i) m)
258,0.42187500000000017,DEF run m( turnLeft IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft putMarker w) i) m)
290,0.4878472222222224,DEF run m( turnLeft IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnRight e) w) i) m)
329,0.5868055555555557,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnRight e) w) i) m)
375,0.6614583333333336,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnRight e) w) i) m)
382,0.744791666666667,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnRight e) w) i) m)
455,0.7638888888888893,DEF run m( turnLeft IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnRight e) w) i) m)
480,0.7708333333333336,DEF run m( turnLeft IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnLeft e) w) i) m)
491,0.7899305555555559,DEF run m( move IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnLeft e) w) i) m)
772,0.8506944444444448,DEF run m( IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnLeft e) w) i) turnLeft m)
15784,0.8559027777777782,DEF run m( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( turnRight w) IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnLeft e) w) WHILE c( noMarkersPresent c) w( turnLeft WHILE c( frontIsClear c) w( move w) w) m)
17973,0.8593750000000003,DEF run m( WHILE c( not c( markersPresent c) c) w( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move w) IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnLeft e) w) turnRight turnRight putMarker move turnRight w) m)
29101,0.8663194444444449,DEF run m( turnRight turnRight turnRight WHILE c( not c( markersPresent c) c) w( IF c( frontIsClear c) i( move i) IF c( leftIsClear c) i( turnLeft i) WHILE c( rightIsClear c) w( turnRight w) w) turnLeft m)
34197,0.9062500000000004,DEF run m( WHILE c( frontIsClear c) w( move w) turnLeft IF c( rightIsClear c) i( turnRight i) turnRight REPEAT R=18 r( turnLeft WHILE c( frontIsClear c) w( turnRight WHILE c( frontIsClear c) w( turnRight w) turnLeft move turnLeft w) r) m)
34205,0.9079861111111116,DEF run m( WHILE c( frontIsClear c) w( move w) turnLeft IF c( rightIsClear c) i( turnRight i) turnRight REPEAT R=18 r( turnLeft WHILE c( frontIsClear c) w( turnRight WHILE c( frontIsClear c) w( turnRight w) turnLeft move w) r) m)
34313,0.9114583333333338,DEF run m( WHILE c( frontIsClear c) w( move w) turnLeft turnLeft turnRight REPEAT R=18 r( turnLeft WHILE c( frontIsClear c) w( turnRight WHILE c( frontIsClear c) w( turnRight w) turnLeft move w) r) m)
