num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker REPEAT R=13 r( WHILE c( leftIsClear c) w( turnRight w) r) IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move turnLeft w) REPEAT R=9 r( turnRight move turnLeft move move move r) i) IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( move pickMarker e) i) ELSE e( turnRight move pickMarker IF c( markersPresent c) i( IFELSE c( noMarkersPresent c) i( move putMarker turnRight putMarker i) ELSE e( move turnLeft putMarker e) turnLeft IFELSE c( noMarkersPresent c) i( move move turnRight pickMarker pickMarker i) ELSE e( putMarker turnLeft e) i) e) IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft move turnRight w) WHILE c( frontIsClear c) w( turnLeft w) w) i) WHILE c( noMarkersPresent c) w( putMarker WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( pickMarker putMarker turnRight move move putMarker w) turnRight move w) w) m)
37,0.027777777777777787,DEF run m( IF c( frontIsClear c) i( putMarker move turnLeft move i) WHILE c( frontIsClear c) w( turnRight turnLeft w) m)
48,0.04861111111111112,DEF run m( IF c( frontIsClear c) i( putMarker move turnLeft move i) putMarker move m)
53,0.05555555555555557,DEF run m( IF c( frontIsClear c) i( putMarker move turnLeft WHILE c( markersPresent c) w( IF c( not c( noMarkersPresent c) c) i( move i) WHILE c( rightIsClear c) w( turnRight w) putMarker w) i) putMarker move m)
180,0.08333333333333334,DEF run m( IF c( frontIsClear c) i( putMarker move turnLeft WHILE c( not c( rightIsClear c) c) w( IF c( not c( noMarkersPresent c) c) i( move i) WHILE c( rightIsClear c) w( turnRight w) putMarker w) i) putMarker move m)
282,0.0954861111111111,DEF run m( IF c( frontIsClear c) i( putMarker move turnLeft WHILE c( not c( rightIsClear c) c) w( IF c( not c( noMarkersPresent c) c) i( move i) WHILE c( rightIsClear c) w( turnRight w) putMarker w) i) putMarker move move putMarker move m)
312,0.09722222222222222,DEF run m( IF c( frontIsClear c) i( putMarker move turnLeft WHILE c( not c( rightIsClear c) c) w( IF c( not c( noMarkersPresent c) c) i( move i) WHILE c( rightIsClear c) w( turnRight w) putMarker w) i) putMarker move turnLeft putMarker move m)
611,0.140625,DEF run m( putMarker move putMarker turnLeft WHILE c( not c( noMarkersPresent c) c) w( IF c( not c( noMarkersPresent c) c) i( move i) WHILE c( markersPresent c) w( move w) putMarker w) m)
759,0.2048611111111111,DEF run m( putMarker move putMarker turnLeft WHILE c( not c( noMarkersPresent c) c) w( IF c( not c( noMarkersPresent c) c) i( move move REPEAT R=3 r( turnRight r) i) WHILE c( markersPresent c) w( move w) putMarker w) m)
1275,0.24826388888888892,DEF run m( turnRight IFELSE c( rightIsClear c) i( turnLeft i) ELSE e( pickMarker e) putMarker turnLeft move move WHILE c( leftIsClear c) w( putMarker turnLeft WHILE c( not c( noMarkersPresent c) c) w( WHILE c( markersPresent c) w( move w) w) w) m)
2042,0.2725694444444445,DEF run m( putMarker WHILE c( frontIsClear c) w( IFELSE c( noMarkersPresent c) i( move turnRight move i) ELSE e( move turnLeft turnLeft e) WHILE c( markersPresent c) w( move w) putMarker IF c( rightIsClear c) i( turnRight i) w) m)
2083,0.39583333333333337,DEF run m( putMarker WHILE c( frontIsClear c) w( IFELSE c( noMarkersPresent c) i( move turnRight move i) ELSE e( move turnLeft move e) WHILE c( markersPresent c) w( move w) putMarker IF c( rightIsClear c) i( turnRight i) w) m)
2164,0.5190972222222223,DEF run m( putMarker WHILE c( frontIsClear c) w( IFELSE c( noMarkersPresent c) i( move turnRight move i) ELSE e( move turnLeft e) WHILE c( markersPresent c) w( move w) putMarker IF c( rightIsClear c) i( turnRight i) w) m)
2339,0.5781250000000002,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( noMarkersPresent c) i( move turnRight REPEAT R=5 r( turnRight r) i) ELSE e( move turnLeft e) WHILE c( markersPresent c) w( move w) putMarker IF c( rightIsClear c) i( turnRight i) w) m)
2420,0.7500000000000002,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( rightIsClear c) i( move turnRight REPEAT R=5 r( turnRight r) i) ELSE e( move turnLeft e) WHILE c( markersPresent c) w( move w) putMarker IF c( rightIsClear c) i( turnRight i) w) m)
2451,0.7586805555555558,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( rightIsClear c) i( move turnRight REPEAT R=5 r( turnRight r) i) ELSE e( turnLeft turnLeft e) WHILE c( markersPresent c) w( move w) putMarker IF c( rightIsClear c) i( turnRight i) w) m)
2500,0.8211805555555558,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( rightIsClear c) i( move turnRight i) ELSE e( turnLeft turnLeft e) WHILE c( markersPresent c) w( move w) putMarker IF c( rightIsClear c) i( turnRight i) w) m)
11817,0.9947916666666667,DEF run m( WHILE c( noMarkersPresent c) w( IF c( rightIsClear c) i( putMarker i) turnLeft WHILE c( not c( noMarkersPresent c) c) w( IF c( rightIsClear c) i( turnRight i) IF c( leftIsClear c) i( turnLeft move i) w) w) m)
11828,1.0000000000000002,DEF run m( WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( putMarker i) turnLeft WHILE c( not c( noMarkersPresent c) c) w( IF c( rightIsClear c) i( turnRight i) IF c( leftIsClear c) i( turnLeft move i) w) w) m)
