num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker m)
8,0.003125,DEF run m( IF c( leftIsClear c) i( move i) turnRight IF c( frontIsClear c) i( putMarker move i) m)
9,0.00625,DEF run m( IF c( leftIsClear c) i( move i) turnRight IF c( frontIsClear c) i( move move i) m)
17,0.009375000000000001,DEF run m( IF c( leftIsClear c) i( move i) turnRight IF c( leftIsClear c) i( move move i) m)
128,0.015625,DEF run m( IF c( leftIsClear c) i( move i) WHILE c( rightIsClear c) w( turnRight move move move w) WHILE c( noMarkersPresent c) w( move move w) m)
144,0.025,DEF run m( IF c( leftIsClear c) i( move i) WHILE c( rightIsClear c) w( turnRight move move IF c( frontIsClear c) i( move i) w) WHILE c( noMarkersPresent c) w( move move w) m)
147,0.028125,DEF run m( IF c( leftIsClear c) i( move i) WHILE c( rightIsClear c) w( turnRight move move IF c( frontIsClear c) i( move i) w) putMarker putMarker turnLeft IF c( frontIsClear c) i( move i) m)
159,0.028125000000000004,DEF run m( IF c( leftIsClear c) i( move i) WHILE c( rightIsClear c) w( turnRight move move IF c( frontIsClear c) i( move i) w) putMarker putMarker turnLeft IF c( frontIsClear c) i( putMarker i) m)
229,0.049999999999999996,DEF run m( IF c( leftIsClear c) i( move i) WHILE c( rightIsClear c) w( turnRight move move IF c( leftIsClear c) i( move i) w) putMarker putMarker turnLeft IF c( frontIsClear c) i( putMarker i) m)
281,0.053125,DEF run m( IF c( leftIsClear c) i( move i) WHILE c( rightIsClear c) w( turnRight move move IF c( leftIsClear c) i( move i) w) putMarker putMarker putMarker IF c( frontIsClear c) i( putMarker i) m)
387,0.06875,DEF run m( IF c( markersPresent c) i( move i) WHILE c( rightIsClear c) w( turnRight move move IF c( leftIsClear c) i( move i) w) putMarker putMarker putMarker IF c( frontIsClear c) i( putMarker i) m)
1230,0.10625000000000001,DEF run m( turnRight IF c( frontIsClear c) i( move i) WHILE c( rightIsClear c) w( turnRight move move IF c( frontIsClear c) i( move IF c( leftIsClear c) i( putMarker move putMarker i) i) w) WHILE c( frontIsClear c) w( turnLeft w) move m)
1363,0.125,DEF run m( turnRight IF c( frontIsClear c) i( move i) WHILE c( rightIsClear c) w( turnRight move move IF c( frontIsClear c) i( move IF c( leftIsClear c) i( putMarker move putMarker i) i) w) WHILE c( markersPresent c) w( turnLeft w) move m)
3077,0.175,DEF run m( turnRight putMarker turnRight move WHILE c( rightIsClear c) w( turnRight IF c( leftIsClear c) i( move i) move IF c( frontIsClear c) i( putMarker move IF c( frontIsClear c) i( move i) i) w) m)
3153,0.23124999999999996,DEF run m( REPEAT R=7 r( turnRight REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) IF c( frontIsClear c) i( turnLeft turnLeft i) turnRight putMarker move r) REPEAT R=0 r( putMarker r) r) m)
3204,0.23124999999999998,DEF run m( REPEAT R=7 r( turnRight REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) IF c( frontIsClear c) i( turnLeft turnLeft i) turnRight putMarker move r) REPEAT R=0 r( turnRight r) r) m)
3631,0.240625,DEF run m( REPEAT R=12 r( turnRight REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) putMarker turnRight move r) turnRight IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( move move e) r) m)
4940,0.19687499999999997,DEF run m( turnRight putMarker WHILE c( rightIsClear c) w( turnRight IF c( leftIsClear c) i( move i) move IF c( frontIsClear c) i( putMarker move IF c( frontIsClear c) i( move i) i) w) m)
3721,0.25312500000000004,DEF run m( REPEAT R=12 r( turnRight REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) putMarker turnRight move r) REPEAT R=4 r( putMarker r) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( move move e) r) m)
3725,0.26874999999999993,DEF run m( REPEAT R=12 r( turnRight REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) putMarker turnRight move r) REPEAT R=4 r( putMarker r) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( move move e) r) m)
3740,0.28437499999999993,DEF run m( REPEAT R=12 r( turnRight REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) putMarker turnRight move r) REPEAT R=4 r( putMarker r) move IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) putMarker r) m)
3742,0.296875,DEF run m( REPEAT R=12 r( turnRight REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) putMarker turnRight move r) move move IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) putMarker r) m)
3757,0.30312500000000003,DEF run m( REPEAT R=12 r( turnRight REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) putMarker turnRight move r) move move IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) putMarker r) m)
3799,0.34375,DEF run m( REPEAT R=12 r( turnRight REPEAT R=4 r( WHILE c( frontIsClear c) w( move w) putMarker turnRight move r) move move IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) putMarker r) m)
3808,0.42500000000000004,DEF run m( REPEAT R=12 r( turnRight REPEAT R=4 r( WHILE c( frontIsClear c) w( move w) putMarker turnRight move r) move move IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) putMarker r) m)
16810,0.2125,DEF run m( putMarker putMarker move putMarker WHILE c( rightIsClear c) w( turnRight IF c( leftIsClear c) i( move i) move putMarker IF c( frontIsClear c) i( move move IF c( frontIsClear c) i( putMarker move putMarker i) i) w) m)
9709,0.459375,DEF run m( REPEAT R=17 r( turnRight REPEAT R=4 r( WHILE c( frontIsClear c) w( move w) turnRight putMarker move r) move move IFELSE c( markersPresent c) i( move i) ELSE e( WHILE c( markersPresent c) w( move w) e) putMarker r) turnRight m)
17199,0.2625,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) WHILE c( rightIsClear c) w( turnRight IF c( leftIsClear c) i( move i) move IF c( frontIsClear c) i( putMarker move IF c( frontIsClear c) i( putMarker move putMarker i) i) w) m)
18799,0.265625,DEF run m( turnRight IF c( frontIsClear c) i( move i) WHILE c( rightIsClear c) w( turnRight IF c( leftIsClear c) i( move i) move IF c( frontIsClear c) i( putMarker move IF c( frontIsClear c) i( move i) i) w) turnLeft move turnRight m)
12460,0.478125,DEF run m( REPEAT R=18 r( turnRight REPEAT R=4 r( WHILE c( frontIsClear c) w( move w) turnRight putMarker move r) move move IFELSE c( markersPresent c) i( move i) ELSE e( WHILE c( markersPresent c) w( turnRight w) e) putMarker r) turnRight m)
