num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( markersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move turnRight move turnLeft w) move WHILE c( rightIsClear c) w( move move move move putMarker w) IFELSE c( noMarkersPresent c) i( move turnRight move move move turnLeft i) ELSE e( move move move turnLeft turnRight move e) WHILE c( frontIsClear c) w( turnRight move pickMarker move move w) WHILE c( frontIsClear c) w( turnLeft putMarker w) w) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move move pickMarker pickMarker turnRight w) w) i) IF c( not c( noMarkersPresent c) c) i( REPEAT R=4 r( WHILE c( frontIsClear c) w( move putMarker w) r) IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move w) move i) move i) pickMarker move REPEAT R=18 r( IFELSE c( frontIsClear c) i( IFELSE c( noMarkersPresent c) i( move turnRight move turnRight move i) ELSE e( turnRight turnLeft move e) WHILE c( rightIsClear c) w( move move w) i) ELSE e( move WHILE c( frontIsClear c) w( move w) REPEAT R=5 r( move move move turnLeft pickMarker move r) WHILE c( frontIsClear c) w( move putMarker pickMarker move move move w) move IF c( markersPresent c) i( putMarker move i) e) WHILE c( frontIsClear c) w( IFELSE c( frontIsClear c) i( move move putMarker turnLeft move turnRight i) ELSE e( move turnRight turnRight turnRight turnRight e) w) WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move pickMarker turnLeft turnLeft turnLeft putMarker i) ELSE e( move move putMarker turnRight e) w) WHILE c( leftIsClear c) w( turnLeft w) turnRight move r) move m)
459,0.04501488095238095,DEF run m( move IF c( markersPresent c) i( putMarker i) m)
483,0.11941964285714285,DEF run m( move move IF c( markersPresent c) i( putMarker i) m)
486,0.12053571428571427,DEF run m( move WHILE c( markersPresent c) w( move move w) move IF c( markersPresent c) i( putMarker i) m)
535,0.12834821428571427,DEF run m( move WHILE c( markersPresent c) w( putMarker move turnLeft move w) move IF c( markersPresent c) i( putMarker i) m)
542,0.2961309523809524,DEF run m( move WHILE c( markersPresent c) w( putMarker turnRight turnLeft move w) move IF c( markersPresent c) i( putMarker i) m)
1231,0.3648809523809524,DEF run m( WHILE c( frontIsClear c) w( move WHILE c( rightIsClear c) w( WHILE c( markersPresent c) w( turnLeft w) w) IF c( not c( markersPresent c) c) i( move move WHILE c( markersPresent c) w( putMarker turnRight turnLeft move w) i) w) m)
1319,0.5574404761904762,DEF run m( WHILE c( frontIsClear c) w( move WHILE c( rightIsClear c) w( WHILE c( markersPresent c) w( turnLeft w) w) IF c( frontIsClear c) i( move move WHILE c( markersPresent c) w( putMarker turnRight turnLeft move w) i) w) m)
3565,0.6684523809523809,DEF run m( WHILE c( rightIsClear c) w( move move w) WHILE c( frontIsClear c) w( move WHILE c( markersPresent c) w( putMarker turnRight turnLeft move w) move w) m)
3625,1.0,DEF run m( WHILE c( rightIsClear c) w( move move w) WHILE c( frontIsClear c) w( move WHILE c( markersPresent c) w( putMarker turnRight turnLeft move w) w) m)
