num_evaluations,best_reward,best_program
1,0.0,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( turnRight move move w) w) IF c( markersPresent c) i( REPEAT R=18 r( move move move pickMarker move move r) i) r) move turnRight REPEAT R=12 r( WHILE c( rightIsClear c) w( turnRight IF c( noMarkersPresent c) i( turnLeft move i) w) turnRight turnLeft r) WHILE c( rightIsClear c) w( turnLeft pickMarker IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move move turnRight w) i) IF c( frontIsClear c) i( turnRight i) WHILE c( leftIsClear c) w( REPEAT R=18 r( move putMarker turnRight move move turnLeft r) w) w) m)
2,0.07118055555555555,DEF run m( WHILE c( frontIsClear c) w( move w) m)
26,0.08506944444444443,DEF run m( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( putMarker i) IFELSE c( rightIsClear c) i( turnRight move i) ELSE e( turnLeft move e) w) m)
28,0.0954861111111111,DEF run m( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( putMarker i) IFELSE c( rightIsClear c) i( move move i) ELSE e( turnLeft move e) w) m)
35,0.11458333333333336,DEF run m( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move i) IFELSE c( rightIsClear c) i( move move i) ELSE e( turnLeft move e) w) m)
40,0.18923611111111116,DEF run m( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move i) IFELSE c( rightIsClear c) i( move turnRight i) ELSE e( turnLeft move e) w) m)
50,0.20486111111111116,DEF run m( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move i) IFELSE c( rightIsClear c) i( move turnRight i) ELSE e( IFELSE c( leftIsClear c) i( turnLeft move putMarker i) ELSE e( turnLeft turnLeft e) move e) w) m)
93,0.2065972222222223,DEF run m( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move i) IFELSE c( rightIsClear c) i( move turnRight i) ELSE e( IFELSE c( leftIsClear c) i( turnLeft move putMarker move i) ELSE e( turnLeft turnLeft e) move e) w) m)
104,0.23263888888888892,DEF run m( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move i) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) w) m)
114,0.744791666666667,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move putMarker w) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) w) m)
231,0.7899305555555559,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move putMarker w) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( IF c( rightIsClear c) i( turnRight i) e) w) m)
285,0.8038194444444448,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move putMarker w) IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( putMarker turnRight move turnRight e) w) m)
543,0.8506944444444448,DEF run m( REPEAT R=14 r( putMarker REPEAT R=8 r( IFELSE c( frontIsClear c) i( move putMarker i) ELSE e( turnLeft e) r) r) m)
1313,0.8559027777777783,DEF run m( turnRight WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnLeft turnLeft i) turnLeft move WHILE c( markersPresent c) w( move w) WHILE c( frontIsClear c) w( turnRight w) w) pickMarker m)
4134,0.8715277777777782,DEF run m( IF c( frontIsClear c) i( move i) WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( putMarker move w) IFELSE c( leftIsClear c) i( turnLeft putMarker move turnRight i) ELSE e( turnRight e) w) turnLeft move putMarker turnRight m)
8157,0.8784722222222227,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( putMarker move w) IFELSE c( leftIsClear c) i( turnLeft putMarker move turnRight i) ELSE e( turnLeft e) w) turnLeft move putMarker turnRight w) turnLeft m)
8692,0.8923611111111115,DEF run m( REPEAT R=15 r( WHILE c( frontIsClear c) w( move putMarker w) IFELSE c( not c( leftIsClear c) c) i( turnRight move turnRight move putMarker i) ELSE e( turnLeft move IF c( rightIsClear c) i( turnRight move i) e) r) m)
29525,0.9010416666666672,DEF run m( REPEAT R=18 r( REPEAT R=14 r( IF c( not c( frontIsClear c) c) i( turnLeft move i) IF c( frontIsClear c) i( turnRight i) r) turnLeft WHILE c( frontIsClear c) w( putMarker move w) r) m)
41410,0.9079861111111116,DEF run m( WHILE c( frontIsClear c) w( move putMarker w) REPEAT R=15 r( turnLeft WHILE c( frontIsClear c) w( move WHILE c( rightIsClear c) w( turnLeft w) WHILE c( rightIsClear c) w( putMarker move w) w) r) m)
60003,0.9340277777777782,DEF run m( WHILE c( noMarkersPresent c) w( putMarker REPEAT R=3 r( WHILE c( frontIsClear c) w( putMarker move w) putMarker IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( turnRight move turnRight e) r) turnLeft w) m)
