num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnRight turnRight w) w) i) WHILE c( noMarkersPresent c) w( turnLeft turnRight move WHILE c( frontIsClear c) w( pickMarker IFELSE c( frontIsClear c) i( move move pickMarker i) ELSE e( move e) REPEAT R=0 r( move move turnLeft move r) WHILE c( frontIsClear c) w( putMarker turnRight move turnLeft w) w) w) m)
42,0.027777777777777787,DEF run m( IF c( frontIsClear c) i( putMarker i) IF c( frontIsClear c) i( move i) m)
54,0.09027777777777779,DEF run m( IF c( frontIsClear c) i( putMarker i) REPEAT R=9 r( move putMarker r) m)
88,0.10416666666666666,DEF run m( IF c( frontIsClear c) i( putMarker i) REPEAT R=9 r( move turnLeft move turnLeft WHILE c( frontIsClear c) w( putMarker move w) IF c( noMarkersPresent c) i( pickMarker i) r) m)
91,0.140625,DEF run m( IF c( frontIsClear c) i( putMarker i) REPEAT R=9 r( move turnLeft REPEAT R=8 r( putMarker move r) r) m)
211,0.4548611111111111,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move IF c( not c( frontIsClear c) c) i( REPEAT R=5 r( turnLeft r) i) w) WHILE c( frontIsClear c) w( move w) REPEAT R=9 r( move turnLeft REPEAT R=8 r( putMarker move r) r) m)
437,0.480902777777778,DEF run m( WHILE c( leftIsClear c) w( turnLeft WHILE c( frontIsClear c) w( move IF c( noMarkersPresent c) i( putMarker i) w) IF c( noMarkersPresent c) i( putMarker i) w) m)
569,0.7152777777777779,DEF run m( WHILE c( leftIsClear c) w( turnLeft WHILE c( frontIsClear c) w( move IF c( noMarkersPresent c) i( turnLeft putMarker i) w) IF c( noMarkersPresent c) i( putMarker i) w) m)
28446,0.9097222222222225,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( putMarker i) move IF c( noMarkersPresent c) i( turnLeft i) w) IFELSE c( frontIsClear c) i( turnRight i) ELSE e( turnLeft e) w) m)
33538,0.9652777777777779,DEF run m( WHILE c( frontIsClear c) w( move IF c( rightIsClear c) i( turnRight i) IFELSE c( noMarkersPresent c) i( putMarker i) ELSE e( turnLeft turnLeft e) WHILE c( not c( frontIsClear c) c) w( turnRight w) w) turnLeft m)
37126,0.9826388888888891,DEF run m( turnLeft WHILE c( frontIsClear c) w( move w) turnRight turnRight WHILE c( leftIsClear c) w( move IF c( noMarkersPresent c) i( putMarker i) WHILE c( frontIsClear c) w( move IF c( noMarkersPresent c) i( turnLeft putMarker i) w) turnLeft w) m)
37157,0.9895833333333335,DEF run m( turnRight WHILE c( frontIsClear c) w( move w) turnRight turnRight WHILE c( leftIsClear c) w( move IF c( noMarkersPresent c) i( putMarker i) WHILE c( frontIsClear c) w( move IF c( noMarkersPresent c) i( turnLeft putMarker i) w) turnLeft w) m)
