num_evaluations,best_reward,best_program
1,0.0,DEF run m( move IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move w) WHILE c( not c( noMarkersPresent c) c) w( IFELSE c( noMarkersPresent c) i( move move putMarker pickMarker turnLeft turnLeft i) ELSE e( pickMarker e) REPEAT R=18 r( turnLeft putMarker move r) IFELSE c( markersPresent c) i( turnLeft pickMarker turnLeft turnLeft turnLeft putMarker i) ELSE e( move e) move WHILE c( frontIsClear c) w( move turnLeft move move w) w) i) m)
7,0.003125,DEF run m( move IF c( frontIsClear c) i( REPEAT R=12 r( turnRight move r) move i) m)
10,0.00625,DEF run m( move IF c( frontIsClear c) i( REPEAT R=9 r( turnRight move r) move i) m)
123,0.009375000000000001,DEF run m( move IF c( frontIsClear c) i( REPEAT R=9 r( turnRight move r) WHILE c( frontIsClear c) w( move move putMarker move w) WHILE c( markersPresent c) w( move move turnRight w) WHILE c( rightIsClear c) w( move w) i) m)
178,0.0125,DEF run m( move IF c( frontIsClear c) i( REPEAT R=9 r( turnRight move r) REPEAT R=7 r( move move r) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnRight turnRight pickMarker move e) i) m)
416,0.021875000000000002,DEF run m( putMarker IF c( leftIsClear c) i( turnRight putMarker WHILE c( frontIsClear c) w( move putMarker w) turnRight move WHILE c( frontIsClear c) w( move putMarker w) i) IF c( rightIsClear c) i( turnRight move putMarker i) m)
469,0.024999999999999998,DEF run m( putMarker IF c( leftIsClear c) i( turnRight putMarker WHILE c( frontIsClear c) w( move putMarker w) turnRight move WHILE c( frontIsClear c) w( move putMarker w) i) IF c( rightIsClear c) i( turnRight REPEAT R=8 r( move putMarker r) putMarker i) m)
520,0.028125,DEF run m( putMarker IF c( leftIsClear c) i( turnRight putMarker WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move putMarker w) i) IF c( rightIsClear c) i( turnRight REPEAT R=8 r( move putMarker r) putMarker i) m)
665,0.053125000000000006,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( move IF c( noMarkersPresent c) i( putMarker i) w) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) m)
669,0.071875,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( move IF c( noMarkersPresent c) i( putMarker i) w) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) m)
779,0.08125000000000002,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move putMarker w) IF c( noMarkersPresent c) i( putMarker i) w) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) m)
803,0.08437500000000003,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move putMarker w) IF c( frontIsClear c) i( putMarker i) w) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) m)
863,0.09375,DEF run m( REPEAT R=18 r( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move putMarker w) IF c( frontIsClear c) i( putMarker i) w) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) m)
925,0.10312500000000001,DEF run m( REPEAT R=18 r( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move putMarker w) turnLeft move WHILE c( frontIsClear c) w( move putMarker w) w) IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) r) m)
