num_evaluations,best_reward,best_program
1,-1.0,DEF run m( putMarker REPEAT R=15 r( move pickMarker IF c( frontIsClear c) i( IFELSE c( leftIsClear c) i( pickMarker turnLeft move turnLeft i) ELSE e( turnLeft turnRight putMarker turnLeft turnLeft turnLeft e) WHILE c( frontIsClear c) w( move move w) i) r) m)
16,0.0,DEF run m( IFELSE c( noMarkersPresent c) i( move i) ELSE e( WHILE c( frontIsClear c) w( putMarker w) pickMarker IF c( rightIsClear c) i( move i) pickMarker e) m)
2316,0.04501488095238095,DEF run m( REPEAT R=10 r( move REPEAT R=1 r( WHILE c( noMarkersPresent c) w( turnRight w) IF c( frontIsClear c) i( turnRight turnLeft turnRight putMarker move i) r) WHILE c( leftIsClear c) w( move w) move move r) m)
2317,0.22938988095238094,DEF run m( REPEAT R=10 r( move REPEAT R=1 r( WHILE c( noMarkersPresent c) w( move w) IF c( frontIsClear c) i( turnRight turnLeft turnRight putMarker move i) r) WHILE c( leftIsClear c) w( move w) move move r) m)
2339,0.416889880952381,DEF run m( REPEAT R=10 r( move REPEAT R=1 r( WHILE c( noMarkersPresent c) w( move w) IF c( leftIsClear c) i( turnRight turnLeft turnRight putMarker move i) r) WHILE c( leftIsClear c) w( move w) move move r) m)
3770,0.42194940476190473,DEF run m( move move WHILE c( markersPresent c) w( putMarker move w) move turnRight REPEAT R=9 r( turnLeft IFELSE c( noMarkersPresent c) i( move move move i) ELSE e( putMarker e) move move r) m)
3834,0.49501488095238094,DEF run m( move move WHILE c( markersPresent c) w( putMarker move w) move turnRight REPEAT R=9 r( turnLeft IFELSE c( noMarkersPresent c) i( move move move i) ELSE e( putMarker e) move move move r) m)
3859,0.5563244047619048,DEF run m( move move WHILE c( markersPresent c) w( putMarker move w) move turnRight REPEAT R=9 r( turnLeft IFELSE c( noMarkersPresent c) i( move move move i) ELSE e( putMarker e) move move turnRight r) m)
3935,0.6798363095238096,DEF run m( move move WHILE c( markersPresent c) w( putMarker move w) move turnRight REPEAT R=9 r( turnLeft IFELSE c( noMarkersPresent c) i( move i) ELSE e( putMarker e) move move turnRight r) m)
3995,0.6857886904761905,DEF run m( move move WHILE c( markersPresent c) w( putMarker move w) move turnRight REPEAT R=9 r( turnLeft IFELSE c( noMarkersPresent c) i( WHILE c( rightIsClear c) w( putMarker turnLeft w) i) ELSE e( putMarker e) move move turnRight r) m)
4043,0.6876488095238095,DEF run m( move move WHILE c( markersPresent c) w( putMarker move move w) move turnRight REPEAT R=9 r( turnLeft IFELSE c( noMarkersPresent c) i( WHILE c( rightIsClear c) w( putMarker turnLeft w) i) ELSE e( putMarker e) move move turnRight r) m)
4098,0.863095238095238,DEF run m( move move WHILE c( markersPresent c) w( putMarker move move w) move turnRight REPEAT R=9 r( turnLeft IFELSE c( noMarkersPresent c) i( WHILE c( rightIsClear c) w( putMarker turnLeft w) i) ELSE e( putMarker e) move turnRight r) m)
4121,0.9549851190476191,DEF run m( move move WHILE c( markersPresent c) w( putMarker move w) move turnRight REPEAT R=9 r( turnLeft IFELSE c( noMarkersPresent c) i( WHILE c( rightIsClear c) w( putMarker turnLeft w) i) ELSE e( putMarker e) move turnRight r) m)
4578,1.0,DEF run m( WHILE c( leftIsClear c) w( IF c( markersPresent c) i( putMarker i) move w) m)
