num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnRight turnRight w) w) i) WHILE c( noMarkersPresent c) w( turnLeft turnRight move WHILE c( frontIsClear c) w( pickMarker IFELSE c( frontIsClear c) i( move move pickMarker i) ELSE e( move e) REPEAT R=0 r( move move turnLeft move r) WHILE c( frontIsClear c) w( putMarker turnRight move turnLeft w) w) w) m)
8,0.011363636363636364,DEF run m( move WHILE c( noMarkersPresent c) w( pickMarker turnRight move turnRight w) WHILE c( frontIsClear c) w( pickMarker w) move m)
39,0.022727272727272728,DEF run m( move WHILE c( noMarkersPresent c) w( pickMarker turnRight move turnRight w) IF c( frontIsClear c) i( turnRight WHILE c( frontIsClear c) w( pickMarker move pickMarker move w) i) m)
831,0.0909090909090909,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move turnRight move pickMarker w) IF c( noMarkersPresent c) i( turnLeft i) WHILE c( frontIsClear c) w( move turnLeft pickMarker move w) w) m)
5431,0.10227272727272727,DEF run m( IF c( rightIsClear c) i( move turnLeft i) WHILE c( frontIsClear c) w( turnLeft turnRight move turnRight w) REPEAT R=11 r( WHILE c( markersPresent c) w( turnRight pickMarker move pickMarker w) REPEAT R=6 r( move move pickMarker pickMarker r) r) m)
5664,0.10795454545454546,DEF run m( IF c( rightIsClear c) i( move turnLeft i) WHILE c( frontIsClear c) w( turnLeft turnRight move turnRight w) REPEAT R=11 r( WHILE c( markersPresent c) w( turnRight pickMarker move turnRight w) REPEAT R=6 r( move move pickMarker pickMarker r) r) m)
8741,0.11363636363636362,DEF run m( WHILE c( markersPresent c) w( pickMarker move w) WHILE c( noMarkersPresent c) w( move turnRight IF c( noMarkersPresent c) i( move i) pickMarker move WHILE c( frontIsClear c) w( turnRight pickMarker move move w) w) m)
8855,0.11931818181818181,DEF run m( WHILE c( markersPresent c) w( pickMarker move w) WHILE c( noMarkersPresent c) w( move turnRight IF c( noMarkersPresent c) i( move i) pickMarker move WHILE c( markersPresent c) w( turnRight pickMarker move move w) w) m)
9096,0.1477272727272727,DEF run m( WHILE c( markersPresent c) w( pickMarker move w) WHILE c( noMarkersPresent c) w( move turnRight IF c( noMarkersPresent c) i( move i) pickMarker WHILE c( noMarkersPresent c) w( move w) WHILE c( markersPresent c) w( turnRight pickMarker move move w) w) m)
13523,0.15340909090909088,DEF run m( WHILE c( frontIsClear c) w( WHILE c( noMarkersPresent c) w( move IF c( rightIsClear c) i( turnRight i) w) pickMarker move w) REPEAT R=13 r( turnLeft r) m)
33336,0.1761363636363636,DEF run m( WHILE c( noMarkersPresent c) w( move IFELSE c( noMarkersPresent c) i( WHILE c( not c( frontIsClear c) c) w( turnRight w) i) ELSE e( pickMarker turnRight e) w) WHILE c( frontIsClear c) w( move w) m)
208226,0.3409090909090909,DEF run m( WHILE c( frontIsClear c) w( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move turnLeft w) turnRight w) pickMarker IF c( leftIsClear c) i( turnRight i) w) move m)
208377,0.994318181818182,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move turnLeft w) turnRight w) pickMarker IF c( leftIsClear c) i( turnRight i) w) move m)
727329,1.0000000000000002,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move WHILE c( not c( rightIsClear c) c) w( turnLeft w) IFELSE c( markersPresent c) i( pickMarker turnRight i) ELSE e( turnRight e) w) move i) m)
