num_evaluations,best_reward,best_program
1,0.027777777777777787,DEF run m( pickMarker m)
9,0.03298611111111112,DEF run m( WHILE c( frontIsClear c) w( pickMarker move move move w) IF c( frontIsClear c) i( move i) m)
12,0.05208333333333335,DEF run m( WHILE c( frontIsClear c) w( pickMarker WHILE c( noMarkersPresent c) w( move move pickMarker w) WHILE c( frontIsClear c) w( move move turnLeft w) w) IF c( frontIsClear c) i( move i) m)
23,0.05555555555555557,DEF run m( WHILE c( frontIsClear c) w( pickMarker WHILE c( noMarkersPresent c) w( move pickMarker pickMarker w) WHILE c( frontIsClear c) w( move move turnLeft w) w) IF c( frontIsClear c) i( move i) m)
24,0.06250000000000001,DEF run m( WHILE c( frontIsClear c) w( move pickMarker w) IF c( frontIsClear c) i( move i) m)
113,0.06770833333333333,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( IFELSE c( leftIsClear c) i( turnLeft move move pickMarker i) ELSE e( turnRight turnLeft move move e) w) w) IF c( frontIsClear c) i( move i) m)
147,0.09548611111111113,DEF run m( WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( IFELSE c( leftIsClear c) i( turnLeft move move pickMarker i) ELSE e( turnRight turnLeft move move e) w) w) IF c( frontIsClear c) i( move i) m)
196,0.13888888888888887,DEF run m( WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( IFELSE c( leftIsClear c) i( turnLeft move turnRight pickMarker i) ELSE e( turnRight turnLeft move move e) w) w) IF c( frontIsClear c) i( move i) m)
790,0.35937500000000017,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=11 r( IFELSE c( frontIsClear c) i( turnRight i) ELSE e( turnLeft pickMarker move e) r) pickMarker move w) WHILE c( frontIsClear c) w( move move pickMarker w) pickMarker m)
804,0.46874999999999994,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=9 r( IFELSE c( frontIsClear c) i( turnRight i) ELSE e( turnLeft pickMarker move e) r) pickMarker move w) WHILE c( frontIsClear c) w( move move pickMarker w) pickMarker m)
888,0.4722222222222222,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=7 r( IFELSE c( frontIsClear c) i( turnRight i) ELSE e( turnLeft pickMarker move e) r) pickMarker move w) WHILE c( frontIsClear c) w( move move pickMarker w) pickMarker m)
971,0.4982638888888889,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=16 r( IFELSE c( frontIsClear c) i( turnRight i) ELSE e( turnLeft pickMarker move e) r) pickMarker move w) WHILE c( frontIsClear c) w( move move pickMarker w) pickMarker m)
3521,0.5555555555555556,DEF run m( REPEAT R=18 r( IF c( not c( frontIsClear c) c) i( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft pickMarker move e) i) pickMarker move r) WHILE c( noMarkersPresent c) w( turnRight turnRight pickMarker w) m)
6598,0.6250000000000001,DEF run m( WHILE c( frontIsClear c) w( WHILE c( not c( noMarkersPresent c) c) w( pickMarker move WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) move REPEAT R=1 r( turnLeft r) w) m)
6813,0.7569444444444446,DEF run m( WHILE c( frontIsClear c) w( WHILE c( not c( noMarkersPresent c) c) w( pickMarker turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) move REPEAT R=1 r( turnLeft r) w) m)
59708,0.7690972222222224,DEF run m( WHILE c( markersPresent c) w( turnLeft pickMarker IF c( rightIsClear c) i( move i) WHILE c( noMarkersPresent c) w( REPEAT R=1 r( turnLeft r) move turnLeft move w) w) m)
59755,0.7864583333333336,DEF run m( WHILE c( markersPresent c) w( turnLeft pickMarker IF c( rightIsClear c) i( move i) WHILE c( noMarkersPresent c) w( REPEAT R=1 r( turnLeft r) move turnLeft turnRight w) w) m)
138314,0.8958333333333334,DEF run m( turnLeft WHILE c( leftIsClear c) w( move turnLeft WHILE c( not c( noMarkersPresent c) c) w( pickMarker WHILE c( frontIsClear c) w( move w) turnRight w) turnRight w) move m)
138381,0.9305555555555557,DEF run m( pickMarker WHILE c( leftIsClear c) w( move turnLeft WHILE c( not c( noMarkersPresent c) c) w( pickMarker WHILE c( frontIsClear c) w( move w) turnRight w) turnRight w) move m)
284328,0.9444444444444446,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( leftIsClear c) i( turnLeft IF c( frontIsClear c) i( move i) i) ELSE e( move WHILE c( markersPresent c) w( turnRight pickMarker w) e) IF c( markersPresent c) i( turnRight pickMarker i) turnRight w) m)
408170,0.9843750000000002,DEF run m( WHILE c( leftIsClear c) w( IF c( markersPresent c) i( turnLeft pickMarker turnRight i) IF c( frontIsClear c) i( move i) turnLeft IF c( noMarkersPresent c) i( move i) w) m)
1978254,0.9861111111111114,DEF run m( WHILE c( leftIsClear c) w( WHILE c( frontIsClear c) w( turnRight turnLeft move IFELSE c( noMarkersPresent c) i( turnLeft move i) ELSE e( pickMarker e) WHILE c( markersPresent c) w( turnRight pickMarker w) w) turnLeft w) m)
2279344,1.0000000000000002,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( turnRight pickMarker WHILE c( frontIsClear c) w( move w) IF c( not c( markersPresent c) c) i( turnRight turnRight move WHILE c( noMarkersPresent c) w( move w) i) w) m)
