num_evaluations,best_reward,best_program
1,0.1111111111111111,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight move w) REPEAT R=5 r( putMarker turnRight move move r) IF c( rightIsClear c) i( turnLeft turnLeft i) turnRight putMarker i) WHILE c( frontIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) move w) m)
13,0.11631944444444446,DEF run m( WHILE c( frontIsClear c) w( move REPEAT R=7 r( move move turnRight move r) WHILE c( noMarkersPresent c) w( putMarker w) w) m)
75,0.20312500000000003,DEF run m( WHILE c( frontIsClear c) w( move REPEAT R=7 r( IF c( frontIsClear c) i( turnLeft i) IFELSE c( leftIsClear c) i( move i) ELSE e( turnRight e) r) WHILE c( noMarkersPresent c) w( putMarker w) w) m)
86,0.7690972222222225,DEF run m( WHILE c( frontIsClear c) w( move REPEAT R=7 r( IF c( frontIsClear c) i( turnLeft i) IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) WHILE c( noMarkersPresent c) w( putMarker w) w) m)
803,0.7916666666666671,DEF run m( WHILE c( frontIsClear c) w( move w) turnRight WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) IF c( frontIsClear c) i( turnLeft i) turnRight w) move turnRight move m)
827,0.8038194444444448,DEF run m( WHILE c( frontIsClear c) w( move w) turnRight WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) move turnRight move m)
960,0.8506944444444448,DEF run m( turnLeft turnRight WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) move turnRight move m)
11924,0.8750000000000003,DEF run m( WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( IF c( rightIsClear c) i( turnLeft i) i) move WHILE c( not c( frontIsClear c) c) w( turnRight w) w) turnRight WHILE c( frontIsClear c) w( move w) move m)
59329,0.8784722222222227,DEF run m( WHILE c( noMarkersPresent c) w( IF c( rightIsClear c) i( turnRight turnLeft turnLeft i) WHILE c( frontIsClear c) w( move IF c( rightIsClear c) i( turnRight i) WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) w) turnLeft m)
59340,0.8923611111111115,DEF run m( WHILE c( noMarkersPresent c) w( IF c( rightIsClear c) i( turnRight turnLeft turnLeft i) WHILE c( frontIsClear c) w( move IF c( leftIsClear c) i( turnRight i) WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) w) turnLeft m)
223116,0.9079861111111116,DEF run m( turnRight turnLeft WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( turnLeft IF c( frontIsClear c) i( putMarker putMarker move WHILE c( leftIsClear c) w( turnRight w) i) w) pickMarker m)
373408,0.9114583333333338,DEF run m( WHILE c( frontIsClear c) w( putMarker move w) turnLeft IF c( noMarkersPresent c) i( turnLeft turnLeft WHILE c( noMarkersPresent c) w( turnLeft WHILE c( rightIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) w) i) move m)
573486,0.9218750000000003,DEF run m( REPEAT R=13 r( turnLeft r) WHILE c( frontIsClear c) w( putMarker move WHILE c( frontIsClear c) w( turnRight w) turnRight w) turnLeft WHILE c( noMarkersPresent c) w( turnLeft WHILE c( rightIsClear c) w( putMarker turnRight w) move w) m)
1649051,0.9357638888888894,DEF run m( REPEAT R=15 r( REPEAT R=3 r( WHILE c( frontIsClear c) w( move w) turnLeft IF c( frontIsClear c) i( move i) r) turnLeft r) m)
