num_evaluations,best_reward,best_program
1,0.0,DEF run m( pickMarker m)
3,0.017361111111111115,DEF run m( IF c( leftIsClear c) i( move i) turnRight IF c( frontIsClear c) i( putMarker move i) m)
4,0.027777777777777787,DEF run m( IF c( leftIsClear c) i( move i) turnRight IF c( rightIsClear c) i( putMarker move i) m)
107,0.03125,DEF run m( WHILE c( rightIsClear c) w( move w) REPEAT R=18 r( move putMarker r) m)
111,0.09895833333333331,DEF run m( IF c( leftIsClear c) i( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( move e) i) REPEAT R=18 r( move putMarker r) m)
627,0.11458333333333334,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft putMarker move IF c( markersPresent c) i( move move move turnRight i) w) m)
652,0.16666666666666669,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft putMarker move IF c( markersPresent c) i( move move i) w) m)
698,0.18229166666666669,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft putMarker move IF c( markersPresent c) i( move turnRight i) w) m)
717,0.18402777777777782,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft putMarker move IF c( frontIsClear c) i( move turnRight i) w) m)
809,0.3940972222222223,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft putMarker move IF c( frontIsClear c) i( turnRight i) w) m)
888,0.49826388888888906,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft putMarker WHILE c( markersPresent c) w( move w) IF c( frontIsClear c) i( turnRight i) w) m)
7869,0.5468750000000001,DEF run m( turnLeft WHILE c( frontIsClear c) w( turnLeft turnRight putMarker move w) WHILE c( noMarkersPresent c) w( putMarker WHILE c( not c( rightIsClear c) c) w( move w) WHILE c( not c( frontIsClear c) c) w( turnRight turnLeft turnRight w) move w) m)
7891,0.5555555555555556,DEF run m( turnLeft WHILE c( frontIsClear c) w( turnLeft turnRight move w) WHILE c( noMarkersPresent c) w( putMarker WHILE c( not c( rightIsClear c) c) w( move w) WHILE c( not c( frontIsClear c) c) w( turnRight turnLeft turnRight w) move w) m)
10109,0.6371527777777779,DEF run m( WHILE c( noMarkersPresent c) w( turnRight putMarker WHILE c( markersPresent c) w( WHILE c( not c( frontIsClear c) c) w( turnLeft w) move w) w) WHILE c( rightIsClear c) w( move move w) m)
51847,0.6875000000000004,DEF run m( WHILE c( frontIsClear c) w( move WHILE c( noMarkersPresent c) w( turnLeft putMarker move w) WHILE c( not c( frontIsClear c) c) w( turnLeft move w) w) m)
131772,0.7968750000000003,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IF c( leftIsClear c) i( turnLeft move i) turnRight IF c( leftIsClear c) i( turnRight WHILE c( markersPresent c) w( move w) i) w) turnLeft m)
345756,0.8090277777777781,DEF run m( WHILE c( frontIsClear c) w( WHILE c( noMarkersPresent c) w( putMarker turnLeft w) IF c( not c( frontIsClear c) c) i( turnLeft turnLeft turnLeft i) move turnRight IF c( markersPresent c) i( move i) w) m)
357589,0.8159722222222225,DEF run m( WHILE c( not c( frontIsClear c) c) w( turnLeft w) turnRight WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( move i) WHILE c( not c( markersPresent c) c) w( putMarker turnLeft move w) turnLeft move w) m)
366227,0.9097222222222225,DEF run m( WHILE c( not c( markersPresent c) c) w( IF c( rightIsClear c) i( putMarker i) WHILE c( markersPresent c) w( IF c( not c( frontIsClear c) c) i( turnRight i) move w) turnRight w) m)
677861,0.9375000000000003,DEF run m( IFELSE c( frontIsClear c) i( move putMarker i) ELSE e( move e) WHILE c( markersPresent c) w( turnRight REPEAT R=2 r( turnLeft IF c( frontIsClear c) i( move i) WHILE c( noMarkersPresent c) w( turnRight putMarker w) r) w) m)
677969,0.9531250000000003,DEF run m( putMarker WHILE c( markersPresent c) w( turnRight REPEAT R=2 r( turnLeft IF c( frontIsClear c) i( move i) WHILE c( noMarkersPresent c) w( turnRight putMarker w) r) w) m)
1421298,0.9670138888888891,DEF run m( putMarker WHILE c( markersPresent c) w( turnLeft REPEAT R=5 r( IF c( frontIsClear c) i( move i) WHILE c( noMarkersPresent c) w( turnLeft putMarker move w) r) w) turnLeft turnLeft WHILE c( frontIsClear c) w( turnRight w) m)
2111471,0.9965277777777779,DEF run m( turnRight WHILE c( leftIsClear c) w( IF c( noMarkersPresent c) i( putMarker turnLeft i) IF c( frontIsClear c) i( turnRight i) IFELSE c( frontIsClear c) i( move turnLeft move i) ELSE e( turnLeft move e) w) m)
2153857,1.0000000000000002,DEF run m( WHILE c( frontIsClear c) w( move IF c( noMarkersPresent c) i( putMarker WHILE c( not c( rightIsClear c) c) w( turnLeft w) i) WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) m)
