num_evaluations,best_reward,best_program
1,0.003125,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight move w) REPEAT R=5 r( putMarker turnRight move move r) IF c( rightIsClear c) i( turnLeft turnLeft i) turnRight putMarker i) WHILE c( frontIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) move w) m)
21,0.00625,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight move w) move i) WHILE c( frontIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) move w) m)
250,0.009375000000000001,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight move w) move i) WHILE c( frontIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) move w) m)
320,0.0125,DEF run m( WHILE c( frontIsClear c) w( putMarker WHILE c( frontIsClear c) w( move move turnRight putMarker w) WHILE c( noMarkersPresent c) w( turnRight w) w) m)
383,0.015625,DEF run m( WHILE c( frontIsClear c) w( putMarker WHILE c( frontIsClear c) w( move move turnRight putMarker w) WHILE c( markersPresent c) w( turnRight w) w) m)
523,0.018750000000000003,DEF run m( WHILE c( frontIsClear c) w( putMarker WHILE c( frontIsClear c) w( move move turnRight putMarker w) WHILE c( markersPresent c) w( turnRight w) w) m)
789,0.046875,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move turnRight i) IF c( leftIsClear c) i( move i) move w) m)
998,0.05,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move turnRight i) IF c( leftIsClear c) i( move i) move w) m)
1806,0.05625000000000001,DEF run m( WHILE c( rightIsClear c) w( turnRight IFELSE c( leftIsClear c) i( putMarker pickMarker move move i) ELSE e( move e) w) turnRight IF c( markersPresent c) i( move i) move m)
4117,0.065625,DEF run m( turnRight turnRight WHILE c( frontIsClear c) w( move WHILE c( not c( frontIsClear c) c) w( turnRight move w) putMarker w) m)
4123,0.06875,DEF run m( turnRight turnRight WHILE c( frontIsClear c) w( move WHILE c( not c( frontIsClear c) c) w( turnRight move w) putMarker w) m)
4129,0.090625,DEF run m( turnRight turnRight WHILE c( frontIsClear c) w( move WHILE c( not c( frontIsClear c) c) w( turnRight move move w) putMarker w) m)
5805,0.096875,DEF run m( REPEAT R=14 r( move WHILE c( frontIsClear c) w( WHILE c( noMarkersPresent c) w( putMarker w) move putMarker w) turnLeft r) turnRight m)
7983,0.09687500000000002,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft putMarker w) m)
8544,0.10937500000000001,DEF run m( IF c( frontIsClear c) i( REPEAT R=11 r( turnRight WHILE c( frontIsClear c) w( move w) putMarker r) IF c( frontIsClear c) i( pickMarker i) turnRight i) m)
10389,0.1125,DEF run m( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move putMarker w) turnLeft WHILE c( rightIsClear c) w( IF c( markersPresent c) i( move i) move turnLeft turnRight w) w) m)
10501,0.125,DEF run m( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move putMarker w) turnLeft putMarker w) m)
20797,0.159375,DEF run m( turnLeft WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( IF c( markersPresent c) i( putMarker i) e) REPEAT R=14 r( WHILE c( frontIsClear c) w( putMarker move w) turnLeft r) move turnLeft w) m)
20798,0.20625,DEF run m( turnLeft WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( IF c( markersPresent c) i( putMarker i) e) REPEAT R=14 r( WHILE c( frontIsClear c) w( putMarker move w) turnLeft r) move turnLeft w) m)
21021,0.20625000000000002,DEF run m( turnLeft WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( IF c( markersPresent c) i( putMarker i) e) REPEAT R=8 r( WHILE c( frontIsClear c) w( putMarker move w) turnLeft r) move turnLeft w) m)
21023,0.215625,DEF run m( turnLeft WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( IF c( leftIsClear c) i( putMarker i) e) REPEAT R=8 r( WHILE c( frontIsClear c) w( putMarker move w) turnLeft r) move turnLeft w) m)
21064,0.234375,DEF run m( turnLeft WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( IF c( leftIsClear c) i( putMarker i) e) REPEAT R=8 r( WHILE c( frontIsClear c) w( putMarker move w) turnLeft r) move turnLeft w) m)
21081,0.271875,DEF run m( turnLeft WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( IF c( leftIsClear c) i( putMarker i) e) REPEAT R=8 r( WHILE c( frontIsClear c) w( putMarker move w) turnLeft r) move turnLeft w) m)
21192,0.2875,DEF run m( turnLeft WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( IF c( leftIsClear c) i( putMarker i) e) REPEAT R=8 r( WHILE c( frontIsClear c) w( putMarker move w) turnLeft r) move turnLeft w) m)
738954,0.296875,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=4 r( turnRight WHILE c( frontIsClear c) w( move w) putMarker r) WHILE c( frontIsClear c) w( turnRight w) IF c( rightIsClear c) i( putMarker turnRight i) move move w) m)
1247099,0.35937500000000006,DEF run m( REPEAT R=2 r( WHILE c( frontIsClear c) w( IF c( rightIsClear c) i( move turnRight move turnRight i) move IF c( frontIsClear c) i( move putMarker i) turnLeft w) putMarker turnRight turnRight r) m)
