num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( move turnRight WHILE c( rightIsClear c) w( turnLeft w) i) m)
16,0.011363636363636364,DEF run m( IF c( noMarkersPresent c) i( move i) WHILE c( frontIsClear c) w( pickMarker turnRight w) m)
39,0.017045454545454544,DEF run m( WHILE c( noMarkersPresent c) w( move w) REPEAT R=1 r( turnRight r) pickMarker move m)
259,0.0909090909090909,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight w) pickMarker REPEAT R=4 r( move r) m)
449,0.11931818181818184,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight w) move WHILE c( rightIsClear c) w( pickMarker move w) m)
503,0.125,DEF run m( pickMarker move WHILE c( markersPresent c) w( turnLeft w) turnRight WHILE c( frontIsClear c) w( move pickMarker w) m)
838,0.13068181818181818,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight w) WHILE c( rightIsClear c) w( move pickMarker w) m)
2617,0.14204545454545453,DEF run m( move turnRight WHILE c( frontIsClear c) w( move pickMarker w) m)
2696,0.1761363636363636,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight WHILE c( frontIsClear c) w( move pickMarker w) w) m)
3329,0.18181818181818177,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight WHILE c( frontIsClear c) w( pickMarker move w) w) m)
3373,0.778409090909091,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight move pickMarker w) m)
4427,1.0000000000000002,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move pickMarker w) m)
