num_evaluations,best_reward,best_program
1,-1.0,DEF run m( IFELSE c( frontIsClear c) i( IF c( leftIsClear c) i( move i) putMarker i) ELSE e( WHILE c( leftIsClear c) w( putMarker pickMarker w) e) m)
2,-0.9722222222222219,DEF run m( WHILE c( leftIsClear c) w( pickMarker putMarker w) REPEAT R=4 r( move r) m)
3,0.0,DEF run m( IF c( frontIsClear c) i( move i) WHILE c( markersPresent c) w( move w) turnLeft turnRight m)
9,0.027777777777777787,DEF run m( WHILE c( noMarkersPresent c) w( turnRight putMarker w) IF c( frontIsClear c) i( pickMarker turnLeft i) m)
36,0.04340277777777779,DEF run m( REPEAT R=2 r( turnRight move r) WHILE c( leftIsClear c) w( move pickMarker w) m)
121,0.046875000000000014,DEF run m( REPEAT R=2 r( move pickMarker WHILE c( frontIsClear c) w( REPEAT R=1 r( move r) w) r) m)
138,0.07465277777777779,DEF run m( IF c( frontIsClear c) i( pickMarker i) WHILE c( noMarkersPresent c) w( move w) REPEAT R=2 r( pickMarker move r) m)
166,0.11111111111111115,DEF run m( WHILE c( leftIsClear c) w( pickMarker turnLeft move w) move putMarker m)
190,0.13888888888888887,DEF run m( WHILE c( leftIsClear c) w( pickMarker turnLeft move turnRight w) m)
210,0.16666666666666666,DEF run m( WHILE c( leftIsClear c) w( pickMarker turnLeft move move turnRight w) m)
268,0.5815972222222223,DEF run m( move move REPEAT R=5 r( pickMarker turnLeft move REPEAT R=18 r( WHILE c( frontIsClear c) w( pickMarker move w) r) r) m)
566,0.7500000000000001,DEF run m( REPEAT R=16 r( move turnLeft move pickMarker REPEAT R=18 r( move pickMarker r) r) m)
3642,1.0000000000000002,DEF run m( REPEAT R=18 r( move move pickMarker REPEAT R=3 r( move turnRight pickMarker move REPEAT R=3 r( move turnRight r) move REPEAT R=3 r( move turnRight r) move REPEAT R=3 r( move pickMarker turnRight r) move r) r) m)
