num_evaluations,best_reward,best_program
1,0.027777777777777787,DEF run m( IF c( markersPresent c) i( turnRight i) turnLeft putMarker WHILE c( markersPresent c) w( move w) turnLeft m)
2,0.07986111111111112,DEF run m( IFELSE c( frontIsClear c) i( move putMarker i) ELSE e( move e) WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( pickMarker turnLeft w) m)
5,0.08680555555555555,DEF run m( WHILE c( frontIsClear c) w( move w) REPEAT R=1 r( turnRight r) move m)
9,0.11284722222222221,DEF run m( IF c( frontIsClear c) i( pickMarker turnRight i) WHILE c( leftIsClear c) w( move w) IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) move turnRight m)
47,0.3940972222222224,DEF run m( REPEAT R=18 r( move IF c( leftIsClear c) i( move turnRight i) r) m)
82,0.760416666666667,DEF run m( IF c( frontIsClear c) i( turnLeft i) REPEAT R=4 r( WHILE c( noMarkersPresent c) w( move turnRight w) r) m)
276,0.8055555555555559,DEF run m( WHILE c( noMarkersPresent c) w( REPEAT R=9 r( move r) IF c( leftIsClear c) i( move turnRight i) w) m)
510,0.822916666666667,DEF run m( WHILE c( noMarkersPresent c) w( move turnLeft w) IF c( frontIsClear c) i( move i) turnLeft putMarker move WHILE c( frontIsClear c) w( move w) WHILE c( rightIsClear c) w( move w) move m)
1538,0.8368055555555559,DEF run m( WHILE c( noMarkersPresent c) w( turnRight turnRight move turnRight w) m)
1703,0.8437500000000003,DEF run m( WHILE c( frontIsClear c) w( pickMarker turnRight move w) WHILE c( noMarkersPresent c) w( pickMarker move turnRight w) IF c( noMarkersPresent c) i( move pickMarker i) move turnRight m)
10438,0.8506944444444448,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) move turnRight w) m)
10839,0.8524305555555559,DEF run m( IF c( noMarkersPresent c) i( move move WHILE c( noMarkersPresent c) w( move turnLeft w) i) m)
19114,0.8559027777777781,DEF run m( move turnLeft turnLeft move move turnLeft WHILE c( frontIsClear c) w( turnLeft move w) move WHILE c( noMarkersPresent c) w( turnLeft move w) m)
30319,0.8559027777777782,DEF run m( REPEAT R=14 r( move move r) REPEAT R=17 r( REPEAT R=17 r( move r) r) turnLeft REPEAT R=17 r( move r) WHILE c( noMarkersPresent c) w( move turnRight w) REPEAT R=17 r( move r) m)
57506,0.914930555555556,DEF run m( move move move REPEAT R=12 r( move move turnLeft move turnLeft move turnLeft move turnLeft move turnLeft move turnLeft move turnLeft move r) m)
