num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( move turnRight WHILE c( rightIsClear c) w( turnLeft w) i) m)
7,0.027777777777777787,DEF run m( REPEAT R=1 r( IF c( frontIsClear c) i( putMarker i) r) turnRight move WHILE c( not c( frontIsClear c) c) w( turnLeft w) m)
43,0.06250000000000001,DEF run m( IFELSE c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move putMarker w) i) ELSE e( WHILE c( markersPresent c) w( move w) IFELSE c( noMarkersPresent c) i( move i) ELSE e( turnLeft e) e) m)
176,0.07638888888888888,DEF run m( turnRight putMarker move turnLeft WHILE c( not c( markersPresent c) c) w( putMarker move w) m)
239,0.08506944444444443,DEF run m( IF c( noMarkersPresent c) i( move turnLeft i) WHILE c( frontIsClear c) w( putMarker move w) m)
267,0.09027777777777779,DEF run m( turnRight putMarker turnLeft move WHILE c( not c( markersPresent c) c) w( putMarker move w) m)
346,0.140625,DEF run m( turnLeft putMarker turnRight move turnLeft WHILE c( noMarkersPresent c) w( putMarker move w) m)
5793,0.16666666666666666,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=18 r( move WHILE c( not c( markersPresent c) c) w( putMarker move w) r) i) ELSE e( WHILE c( not c( frontIsClear c) c) w( move w) e) m)
11592,0.31770833333333337,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move IFELSE c( not c( rightIsClear c) c) i( turnLeft move i) ELSE e( move turnLeft e) w) m)
11868,0.3611111111111111,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move IFELSE c( leftIsClear c) i( move i) ELSE e( move e) turnLeft w) m)
11908,0.4322916666666667,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move IFELSE c( not c( frontIsClear c) c) i( move i) ELSE e( turnLeft move e) w) m)
12174,0.47395833333333337,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move IFELSE c( not c( frontIsClear c) c) i( move i) ELSE e( turnRight move e) w) m)
12487,0.5503472222222223,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move IFELSE c( rightIsClear c) i( move turnLeft i) ELSE e( move e) w) m)
12896,0.7517361111111114,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move WHILE c( not c( noMarkersPresent c) c) w( move turnLeft w) w) m)
13101,1.0000000000000002,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move move WHILE c( markersPresent c) w( turnLeft move w) w) m)
