num_evaluations,best_reward,best_program
1,0.0,DEF run m( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( move e) WHILE c( not c( frontIsClear c) c) w( putMarker w) IFELSE c( frontIsClear c) i( move i) ELSE e( putMarker e) m)
3,0.003125,DEF run m( IF c( frontIsClear c) i( turnRight i) WHILE c( markersPresent c) w( pickMarker w) IFELSE c( rightIsClear c) i( move i) ELSE e( putMarker e) m)
78,0.021875,DEF run m( WHILE c( leftIsClear c) w( move turnRight REPEAT R=1 r( move r) w) m)
805,0.024999999999999998,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move w) turnLeft IFELSE c( not c( frontIsClear c) c) i( move i) ELSE e( move move e) m)
872,0.03125000000000001,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move w) turnLeft IFELSE c( not c( frontIsClear c) c) i( move i) ELSE e( move move e) m)
966,0.034375,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move w) turnLeft IFELSE c( not c( frontIsClear c) c) i( move move i) ELSE e( move move e) m)
2374,0.0375,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move w) turnLeft move move turnRight move m)
6402,0.04062500000000001,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( turnRight e) move w) m)
6749,0.04687500000000001,DEF run m( WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( move i) turnRight move w) m)
7381,0.05000000000000002,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( turnRight e) WHILE c( frontIsClear c) w( move w) w) m)
7588,0.053125000000000006,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( turnRight move i) ELSE e( move e) pickMarker w) m)
7887,0.056250000000000015,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( turnRight e) WHILE c( frontIsClear c) w( move w) w) m)
8248,0.05937500000000002,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( turnRight e) WHILE c( frontIsClear c) w( move w) move w) m)
8532,0.06250000000000001,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( turnRight e) WHILE c( frontIsClear c) w( move w) w) m)
10092,0.07500000000000001,DEF run m( WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( turnRight putMarker i) w) m)
10420,0.078125,DEF run m( WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( turnRight putMarker i) w) m)
10820,0.0875,DEF run m( WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( turnRight putMarker i) w) m)
31596,0.09687500000000002,DEF run m( WHILE c( frontIsClear c) w( putMarker turnRight move move w) m)
34268,0.1125,DEF run m( WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
141047,0.128125,DEF run m( turnRight move turnLeft WHILE c( rightIsClear c) w( move putMarker turnLeft move w) m)
227489,0.18125,DEF run m( WHILE c( leftIsClear c) w( move putMarker IFELSE c( frontIsClear c) i( turnRight move i) ELSE e( turnLeft e) w) IF c( frontIsClear c) i( pickMarker i) REPEAT R=1 r( turnRight r) IF c( frontIsClear c) i( move i) turnLeft putMarker m)
384336,0.19375,DEF run m( WHILE c( leftIsClear c) w( move putMarker IF c( frontIsClear c) i( turnRight move i) w) m)
499891,0.23124999999999998,DEF run m( WHILE c( leftIsClear c) w( putMarker move IFELSE c( frontIsClear c) i( turnRight move i) ELSE e( move turnRight e) w) m)
1606747,0.25937499999999997,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
1607027,0.284375,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
1687210,0.334375,DEF run m( WHILE c( frontIsClear c) w( turnRight move move IFELSE c( frontIsClear c) i( putMarker i) ELSE e( turnLeft move e) w) m)
10000000,0.334375,DEF run m( WHILE c( frontIsClear c) w( turnRight move move IFELSE c( frontIsClear c) i( putMarker i) ELSE e( turnLeft move e) w) m)
