num_evaluations,best_reward,best_program
1,-1.0,DEF run m( IF c( frontIsClear c) i( REPEAT R=0 r( pickMarker r) i) putMarker turnLeft IF c( leftIsClear c) i( move i) m)
2,0.0,DEF run m( IFELSE c( noMarkersPresent c) i( move turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft w) i) ELSE e( move e) m)
10,0.027777777777777787,DEF run m( IFELSE c( frontIsClear c) i( pickMarker turnRight i) ELSE e( putMarker e) turnLeft move m)
48,0.09027777777777779,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=8 r( pickMarker r) IFELSE c( noMarkersPresent c) i( move i) ELSE e( turnLeft e) w) m)
64,0.10243055555555557,DEF run m( REPEAT R=2 r( WHILE c( frontIsClear c) w( move pickMarker move w) r) m)
102,0.11111111111111115,DEF run m( move REPEAT R=1 r( turnLeft move WHILE c( frontIsClear c) w( pickMarker move w) r) m)
315,0.125,DEF run m( REPEAT R=7 r( IF c( frontIsClear c) i( pickMarker i) IFELSE c( noMarkersPresent c) i( move i) ELSE e( move e) r) m)
319,0.13368055555555555,DEF run m( REPEAT R=8 r( IF c( frontIsClear c) i( pickMarker i) IFELSE c( not c( frontIsClear c) c) i( move i) ELSE e( move e) r) m)
544,0.1579861111111111,DEF run m( turnLeft move turnLeft IFELSE c( frontIsClear c) i( move i) ELSE e( putMarker e) pickMarker move pickMarker move pickMarker move pickMarker move pickMarker IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker e) pickMarker move pickMarker move pickMarker move pickMarker m)
572,0.16666666666666666,DEF run m( REPEAT R=14 r( IF c( leftIsClear c) i( pickMarker i) IFELSE c( noMarkersPresent c) i( move i) ELSE e( pickMarker e) IFELSE c( frontIsClear c) i( move i) ELSE e( move e) r) m)
1010,0.20312500000000008,DEF run m( move turnLeft IF c( rightIsClear c) i( move i) pickMarker move pickMarker move pickMarker move pickMarker move pickMarker REPEAT R=0 r( turnLeft r) move pickMarker move pickMarker move pickMarker pickMarker move pickMarker pickMarker move turnRight pickMarker move pickMarker move pickMarker m)
1249,0.21354166666666674,DEF run m( turnRight turnLeft REPEAT R=15 r( pickMarker pickMarker pickMarker pickMarker turnLeft pickMarker move r) pickMarker pickMarker move turnLeft pickMarker move pickMarker move pickMarker move pickMarker move pickMarker REPEAT R=1 r( move r) pickMarker move pickMarker move pickMarker move pickMarker m)
1407,0.3559027777777779,DEF run m( turnLeft pickMarker turnLeft REPEAT R=4 r( turnLeft move r) move pickMarker IF c( rightIsClear c) i( pickMarker move i) WHILE c( frontIsClear c) w( turnLeft move move pickMarker w) move REPEAT R=1 r( pickMarker move r) m)
2961,0.6666666666666666,DEF run m( REPEAT R=11 r( turnLeft WHILE c( frontIsClear c) w( pickMarker move w) r) m)
3319,0.9531250000000001,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=8 r( pickMarker turnLeft REPEAT R=1 r( pickMarker move r) REPEAT R=19 r( pickMarker move r) r) REPEAT R=15 r( pickMarker move r) REPEAT R=19 r( pickMarker r) REPEAT R=8 r( pickMarker move r) w) m)
4089,0.9635416666666672,DEF run m( REPEAT R=11 r( turnRight REPEAT R=19 r( pickMarker move IF c( rightIsClear c) i( move move i) REPEAT R=19 r( move pickMarker r) r) r) REPEAT R=19 r( move pickMarker r) m)
4116,0.9791666666666667,DEF run m( REPEAT R=19 r( turnRight pickMarker REPEAT R=19 r( move pickMarker r) r) m)
4346,1.0000000000000002,DEF run m( REPEAT R=10 r( turnRight pickMarker REPEAT R=10 r( turnRight move pickMarker move pickMarker r) move pickMarker move pickMarker r) m)
