num_evaluations,best_reward,best_program
1,0.001736111111111111,DEF run m( IF c( markersPresent c) i( move turnRight i) WHILE c( frontIsClear c) w( putMarker w) turnLeft move m)
2,0.048611111111111126,DEF run m( IFELSE c( markersPresent c) i( move turnRight i) ELSE e( move move e) WHILE c( not c( frontIsClear c) c) w( move w) m)
6,0.07986111111111112,DEF run m( WHILE c( noMarkersPresent c) w( pickMarker move w) turnLeft turnRight move m)
11,0.09027777777777778,DEF run m( IF c( frontIsClear c) i( move i) WHILE c( frontIsClear c) w( turnLeft move w) m)
24,0.11631944444444442,DEF run m( IF c( noMarkersPresent c) i( turnLeft move i) WHILE c( frontIsClear c) w( move w) turnLeft m)
112,0.14756944444444445,DEF run m( WHILE c( frontIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( IFELSE c( rightIsClear c) i( pickMarker i) ELSE e( move e) w) m)
138,0.1527777777777778,DEF run m( WHILE c( frontIsClear c) w( move w) move IFELSE c( rightIsClear c) i( turnRight i) ELSE e( pickMarker e) WHILE c( frontIsClear c) w( move w) m)
140,0.7465277777777781,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight w) IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( move move e) m)
199,0.7847222222222224,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move w) WHILE c( frontIsClear c) w( move w) m)
482,0.7899305555555558,DEF run m( WHILE c( noMarkersPresent c) w( turnRight WHILE c( frontIsClear c) w( move w) move w) m)
495,0.822916666666667,DEF run m( WHILE c( noMarkersPresent c) w( move turnLeft w) IFELSE c( frontIsClear c) i( WHILE c( markersPresent c) w( turnRight w) i) ELSE e( move WHILE c( noMarkersPresent c) w( move w) e) m)
703,0.8506944444444448,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) IFELSE c( noMarkersPresent c) i( pickMarker i) ELSE e( turnLeft e) w) m)
3004,0.8524305555555559,DEF run m( move move IF c( frontIsClear c) i( WHILE c( noMarkersPresent c) w( move turnLeft w) i) WHILE c( noMarkersPresent c) w( move turnLeft IF c( noMarkersPresent c) i( move turnLeft i) w) m)
