num_evaluations,best_reward,best_program
1,0.0,DEF run m( REPEAT R=2 r( WHILE c( markersPresent c) w( REPEAT R=11 r( move r) w) r) m)
8,0.003472222222222222,DEF run m( IFELSE c( frontIsClear c) i( turnRight move i) ELSE e( pickMarker e) IF c( markersPresent c) i( move i) move IFELSE c( frontIsClear c) i( move i) ELSE e( putMarker e) turnLeft m)
10,0.027777777777777787,DEF run m( WHILE c( markersPresent c) w( putMarker w) IF c( not c( rightIsClear c) c) i( move i) turnRight putMarker move m)
141,0.09027777777777779,DEF run m( WHILE c( noMarkersPresent c) w( pickMarker putMarker IF c( frontIsClear c) i( move i) w) m)
1518,0.09548611111111112,DEF run m( WHILE c( frontIsClear c) w( move putMarker IFELSE c( noMarkersPresent c) i( move i) ELSE e( WHILE c( rightIsClear c) w( turnRight w) e) w) m)
2667,0.109375,DEF run m( IF c( frontIsClear c) i( putMarker i) move turnRight WHILE c( noMarkersPresent c) w( putMarker move w) m)
2672,0.12152777777777779,DEF run m( IF c( frontIsClear c) i( putMarker move i) move turnRight WHILE c( noMarkersPresent c) w( putMarker move w) m)
3253,0.14409722222222224,DEF run m( IF c( frontIsClear c) i( putMarker move i) turnRight move WHILE c( noMarkersPresent c) w( putMarker move w) m)
3738,0.1701388888888889,DEF run m( IF c( frontIsClear c) i( putMarker move i) move turnRight WHILE c( noMarkersPresent c) w( putMarker move IF c( not c( noMarkersPresent c) c) i( move move i) w) m)
3770,0.17534722222222224,DEF run m( WHILE c( frontIsClear c) w( putMarker move w) move turnRight WHILE c( noMarkersPresent c) w( putMarker move w) m)
3842,0.1944444444444445,DEF run m( IF c( frontIsClear c) i( putMarker move i) move turnRight WHILE c( noMarkersPresent c) w( putMarker move move w) m)
4044,0.41666666666666663,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move move turnRight w) WHILE c( noMarkersPresent c) w( putMarker move w) m)
4383,0.5729166666666667,DEF run m( WHILE c( frontIsClear c) w( WHILE c( noMarkersPresent c) w( putMarker move w) turnRight move WHILE c( noMarkersPresent c) w( putMarker move w) w) m)
4403,0.652777777777778,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move move turnRight WHILE c( markersPresent c) w( move w) w) m)
4810,0.7951388888888891,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move turnRight move WHILE c( markersPresent c) w( move w) w) m)
