num_evaluations,best_reward,best_program
1,-0.36875,DEF run m( REPEAT R=2 r( move r) turnRight WHILE c( rightIsClear c) w( move w) m)
2,0.0,DEF run m( IFELSE c( noMarkersPresent c) i( move turnLeft WHILE c( frontIsClear c) w( move w) i) ELSE e( WHILE c( rightIsClear c) w( pickMarker w) e) m)
3,0.003125,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move w) IFELSE c( leftIsClear c) i( move i) ELSE e( move pickMarker e) m)
195,0.00625,DEF run m( IF c( frontIsClear c) i( pickMarker turnLeft i) putMarker move WHILE c( frontIsClear c) w( move w) m)
237,0.009375000000000001,DEF run m( turnRight move IF c( frontIsClear c) i( move i) IFELSE c( rightIsClear c) i( turnLeft i) ELSE e( pickMarker e) WHILE c( frontIsClear c) w( move putMarker w) m)
532,0.015625,DEF run m( turnRight move move turnRight putMarker WHILE c( frontIsClear c) w( move w) m)
648,0.024999999999999998,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move w) putMarker move WHILE c( frontIsClear c) w( pickMarker move w) m)
812,0.034374999999999996,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight move w) WHILE c( frontIsClear c) w( move w) m)
1072,0.043750000000000004,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight move WHILE c( frontIsClear c) w( move w) w) m)
1102,0.046875000000000014,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight move WHILE c( frontIsClear c) w( move w) w) m)
1195,0.05312500000000001,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight move WHILE c( frontIsClear c) w( move w) w) m)
1324,0.05625,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move pickMarker w) m)
1372,0.05937500000000002,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move WHILE c( frontIsClear c) w( move w) w) m)
1444,0.06250000000000001,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move WHILE c( frontIsClear c) w( move w) w) m)
1732,0.06562500000000002,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move WHILE c( frontIsClear c) w( move w) w) m)
3396,0.06875000000000002,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move IF c( frontIsClear c) i( move i) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) w) w) m)
4799,0.071875,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move pickMarker IF c( frontIsClear c) i( IFELSE c( rightIsClear c) i( turnLeft i) ELSE e( IF c( frontIsClear c) i( pickMarker turnLeft i) e) i) w) m)
4940,0.07500000000000001,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move IF c( frontIsClear c) i( IFELSE c( frontIsClear c) i( pickMarker turnLeft i) ELSE e( IF c( frontIsClear c) i( turnLeft i) IF c( noMarkersPresent c) i( pickMarker turnLeft i) e) i) w) m)
