num_evaluations,best_reward,best_program
1,-1.0,DEF run m( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( move e) WHILE c( not c( frontIsClear c) c) w( putMarker w) IFELSE c( frontIsClear c) i( move i) ELSE e( putMarker e) m)
5,0.0,DEF run m( IF c( frontIsClear c) i( IFELSE c( not c( noMarkersPresent c) c) i( move i) ELSE e( turnRight e) i) move IFELSE c( markersPresent c) i( pickMarker move i) ELSE e( turnLeft move e) m)
29,0.005681818181818182,DEF run m( WHILE c( frontIsClear c) w( move w) pickMarker move turnRight m)
34,0.011363636363636364,DEF run m( move WHILE c( not c( frontIsClear c) c) w( move w) pickMarker turnRight m)
77,0.017045454545454544,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( not c( markersPresent c) c) w( move w) pickMarker turnRight m)
2797,0.03409090909090909,DEF run m( WHILE c( frontIsClear c) w( move w) pickMarker move IFELSE c( noMarkersPresent c) i( move i) ELSE e( move e) turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker move turnRight m)
5121,0.05113636363636364,DEF run m( IFELSE c( frontIsClear c) i( pickMarker move i) ELSE e( WHILE c( noMarkersPresent c) w( move w) e) IFELSE c( noMarkersPresent c) i( move i) ELSE e( pickMarker e) turnRight pickMarker WHILE c( noMarkersPresent c) w( move w) pickMarker move turnRight m)
5149,0.0909090909090909,DEF run m( IFELSE c( noMarkersPresent c) i( pickMarker i) ELSE e( WHILE c( noMarkersPresent c) w( move w) e) IFELSE c( noMarkersPresent c) i( move i) ELSE e( pickMarker e) turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker move turnRight m)
5204,0.10227272727272727,DEF run m( IFELSE c( frontIsClear c) i( pickMarker move i) ELSE e( WHILE c( noMarkersPresent c) w( move w) e) pickMarker turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker move turnRight m)
5422,0.13636363636363635,DEF run m( IFELSE c( noMarkersPresent c) i( move i) ELSE e( WHILE c( noMarkersPresent c) w( move w) e) turnRight move IFELSE c( noMarkersPresent c) i( move i) ELSE e( pickMarker e) turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker move turnRight m)
5703,0.1477272727272727,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( WHILE c( noMarkersPresent c) w( move w) e) turnRight move IFELSE c( noMarkersPresent c) i( move i) ELSE e( pickMarker e) WHILE c( noMarkersPresent c) w( move w) pickMarker move turnRight m)
6597,0.15909090909090906,DEF run m( IFELSE c( noMarkersPresent c) i( move i) ELSE e( pickMarker e) turnRight move pickMarker WHILE c( noMarkersPresent c) w( move w) pickMarker move turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker move turnRight m)
6910,0.16477272727272724,DEF run m( IFELSE c( noMarkersPresent c) i( move i) ELSE e( pickMarker e) pickMarker turnRight move pickMarker WHILE c( noMarkersPresent c) w( move w) pickMarker move turnRight pickMarker WHILE c( noMarkersPresent c) w( move w) pickMarker move turnRight pickMarker m)
12549,1.0000000000000002,DEF run m( WHILE c( noMarkersPresent c) w( pickMarker move turnRight pickMarker w) pickMarker move turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker move turnRight move WHILE c( noMarkersPresent c) w( move w) pickMarker move turnRight pickMarker m)
