num_evaluations,best_reward,best_program
1,-1.0,DEF run m( IFELSE c( noMarkersPresent c) i( putMarker move i) ELSE e( turnRight e) IF c( leftIsClear c) i( turnRight i) m)
2,0.0625,DEF run m( REPEAT R=5 r( move pickMarker r) move turnLeft IFELSE c( frontIsClear c) i( move i) ELSE e( move e) move m)
2408,0.09375,DEF run m( move pickMarker IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker e) turnLeft pickMarker IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( pickMarker e) turnLeft move pickMarker m)
2666,0.125,DEF run m( move pickMarker IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) turnLeft IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker e) turnLeft IF c( frontIsClear c) i( move i) pickMarker m)
2838,0.15625,DEF run m( move move pickMarker IFELSE c( frontIsClear c) i( move i) ELSE e( move e) turnLeft move IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnLeft e) IF c( frontIsClear c) i( move i) pickMarker turnRight m)
2898,0.21875,DEF run m( move pickMarker move IFELSE c( frontIsClear c) i( move i) ELSE e( move e) turnLeft move IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnLeft e) IF c( frontIsClear c) i( move i) pickMarker turnRight m)
4434,0.28125,DEF run m( move pickMarker move move turnLeft move turnRight pickMarker turnLeft move turnRight pickMarker turnLeft move turnRight pickMarker turnLeft move turnRight pickMarker turnLeft move turnRight turnLeft move pickMarker turnLeft turnRight move pickMarker turnLeft turnRight move pickMarker turnLeft m)
5459,0.3125,DEF run m( move pickMarker move move turnLeft move turnRight pickMarker turnLeft pickMarker turnRight turnLeft move pickMarker turnRight turnLeft move pickMarker turnRight turnLeft move pickMarker turnLeft move turnRight turnLeft pickMarker move turnLeft turnRight pickMarker turnLeft move pickMarker turnLeft move turnRight turnLeft pickMarker m)
6952,0.34375,DEF run m( move pickMarker move move turnLeft move pickMarker turnLeft turnRight move pickMarker turnRight move turnLeft pickMarker turnRight move pickMarker turnRight move turnLeft move turnRight pickMarker move turnRight pickMarker m)
7439,0.375,DEF run m( move pickMarker move move pickMarker turnLeft move turnRight pickMarker turnLeft move turnRight pickMarker move turnLeft turnRight move pickMarker turnRight move turnLeft pickMarker turnRight move pickMarker turnRight move turnLeft pickMarker turnRight move pickMarker turnRight move turnLeft move turnRight pickMarker move turnRight pickMarker m)
13133,0.40625,DEF run m( move pickMarker move move move move turnRight turnLeft pickMarker move turnRight pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker turnLeft move pickMarker move pickMarker move turnLeft pickMarker move move pickMarker turnRight move pickMarker move m)
16453,0.4375,DEF run m( move pickMarker move turnLeft move turnRight move pickMarker turnLeft pickMarker move pickMarker move pickMarker pickMarker move pickMarker pickMarker move pickMarker turnLeft pickMarker move pickMarker move pickMarker turnRight move pickMarker move pickMarker turnLeft move pickMarker move pickMarker turnRight move pickMarker move pickMarker move m)
17425,0.46875,DEF run m( move pickMarker move turnLeft move turnLeft move pickMarker move pickMarker turnLeft pickMarker move pickMarker move pickMarker turnLeft move pickMarker move pickMarker turnLeft move pickMarker move pickMarker turnLeft move pickMarker move pickMarker turnLeft move pickMarker move pickMarker move pickMarker move pickMarker move m)
