num_evaluations,best_reward,best_program
1,-1.0,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=2 r( putMarker r) IF c( noMarkersPresent c) i( move turnRight i) w) m)
2,0.027777777777777787,DEF run m( turnLeft IFELSE c( frontIsClear c) i( move pickMarker i) ELSE e( WHILE c( markersPresent c) w( turnLeft w) e) turnRight m)
25,0.059027777777777776,DEF run m( REPEAT R=2 r( move r) WHILE c( frontIsClear c) w( pickMarker move w) m)
101,0.06250000000000001,DEF run m( IF c( rightIsClear c) i( move putMarker i) WHILE c( frontIsClear c) w( pickMarker move w) m)
178,0.09027777777777779,DEF run m( WHILE c( frontIsClear c) w( pickMarker move w) turnLeft pickMarker m)
360,0.15104166666666669,DEF run m( REPEAT R=8 r( move pickMarker r) IF c( markersPresent c) i( putMarker i) m)
458,0.16666666666666666,DEF run m( WHILE c( frontIsClear c) w( pickMarker move w) REPEAT R=8 r( move pickMarker r) m)
564,0.25000000000000006,DEF run m( REPEAT R=9 r( move pickMarker IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnLeft e) r) m)
623,0.26909722222222227,DEF run m( REPEAT R=9 r( pickMarker move IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnLeft move e) r) m)
836,0.7274305555555558,DEF run m( REPEAT R=9 r( IFELSE c( frontIsClear c) i( move turnLeft pickMarker i) ELSE e( pickMarker move e) REPEAT R=8 r( pickMarker move r) r) m)
872,0.7343750000000002,DEF run m( REPEAT R=8 r( move pickMarker IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( pickMarker e) REPEAT R=8 r( move pickMarker r) r) m)
1158,0.7760416666666669,DEF run m( REPEAT R=9 r( pickMarker move REPEAT R=8 r( pickMarker move r) turnLeft r) m)
1185,0.8038194444444448,DEF run m( REPEAT R=9 r( pickMarker move turnLeft REPEAT R=8 r( pickMarker move r) pickMarker r) m)
1236,0.8333333333333338,DEF run m( REPEAT R=9 r( turnLeft move IFELSE c( frontIsClear c) i( pickMarker move i) ELSE e( pickMarker move e) REPEAT R=8 r( pickMarker move r) r) m)
1297,0.9774305555555558,DEF run m( move REPEAT R=9 r( IFELSE c( frontIsClear c) i( move turnLeft pickMarker i) ELSE e( pickMarker move e) REPEAT R=8 r( pickMarker move r) turnLeft r) m)
1411,1.0000000000000002,DEF run m( REPEAT R=8 r( move pickMarker REPEAT R=8 r( move pickMarker r) turnLeft REPEAT R=1 r( pickMarker move r) turnLeft REPEAT R=8 r( pickMarker move r) pickMarker r) m)
