num_evaluations,best_reward,best_program
1,0.0625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) WHILE c( frontIsClear c) w( move w) pickMarker IF c( not c( frontIsClear c) c) i( move i) m)
771,0.125,DEF run m( IF c( frontIsClear c) i( move turnRight i) REPEAT R=8 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) r) m)
21974,0.1875,DEF run m( turnLeft turnRight move turnLeft turnRight move turnLeft move turnLeft turnRight move turnLeft move turnLeft turnRight move turnLeft turnRight move turnLeft turnRight move turnLeft turnRight move turnLeft turnRight move turnRight turnLeft move turnRight m)
23369,0.25,DEF run m( turnLeft turnRight move turnLeft move turnLeft move turnLeft move turnLeft turnRight move turnLeft move turnRight turnLeft move turnRight turnLeft move turnRight move turnLeft turnRight move turnLeft turnRight move turnLeft turnRight move turnLeft turnRight move turnRight m)
35107,0.3125,DEF run m( REPEAT R=4 r( move turnRight r) turnLeft move turnRight turnLeft move turnRight WHILE c( frontIsClear c) w( move w) turnRight turnRight move turnLeft turnRight move turnRight WHILE c( frontIsClear c) w( move w) turnRight turnRight move turnRight turnRight m)
37273,0.375,DEF run m( REPEAT R=4 r( move move turnRight move r) move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight WHILE c( frontIsClear c) w( move w) turnRight move turnRight move turnRight move turnRight move turnRight m)
50609,0.4375,DEF run m( REPEAT R=4 r( move REPEAT R=4 r( move turnRight move r) move turnRight r) move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight m)
52574,0.5,DEF run m( REPEAT R=4 r( move REPEAT R=4 r( move turnRight move r) move turnRight r) move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnLeft move turnRight move turnLeft m)
53208,0.625,DEF run m( REPEAT R=4 r( REPEAT R=4 r( move turnRight move turnRight move turnRight r) move turnRight r) move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight m)
53223,0.8125,DEF run m( REPEAT R=4 r( REPEAT R=4 r( move turnRight move turnRight move turnRight move turnRight move turnRight r) move turnRight r) move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight m)
53256,0.875,DEF run m( REPEAT R=4 r( REPEAT R=4 r( move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight r) move turnRight r) move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight m)
53265,0.9375,DEF run m( REPEAT R=4 r( REPEAT R=4 r( move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight r) move turnRight r) move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight m)
53290,1.0,DEF run m( REPEAT R=4 r( REPEAT R=4 r( move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight r) move turnRight r) move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight m)
