num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=2 r( putMarker r) IF c( noMarkersPresent c) i( move turnRight i) w) m)
7,0.003125,DEF run m( IF c( frontIsClear c) i( turnRight move i) WHILE c( frontIsClear c) w( pickMarker turnLeft w) m)
608,0.00625,DEF run m( REPEAT R=2 r( move r) turnLeft WHILE c( frontIsClear c) w( move w) m)
2700,0.009375000000000001,DEF run m( turnRight move move turnLeft putMarker move move m)
4917,0.0125,DEF run m( turnRight move move turnLeft putMarker move WHILE c( frontIsClear c) w( move w) m)
11197,0.01875,DEF run m( WHILE c( frontIsClear c) w( move w) turnRight move move putMarker turnLeft move WHILE c( frontIsClear c) w( move w) m)
15827,0.034375,DEF run m( turnRight move move turnLeft putMarker move WHILE c( frontIsClear c) w( move w) turnLeft move WHILE c( frontIsClear c) w( move w) turnRight putMarker move WHILE c( frontIsClear c) w( move w) turnLeft move WHILE c( frontIsClear c) w( putMarker move w) m)
19075,0.040625,DEF run m( turnRight move move turnLeft putMarker move WHILE c( frontIsClear c) w( move w) turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move m)
24416,0.04062500000000001,DEF run m( move move turnLeft putMarker move WHILE c( frontIsClear c) w( move w) turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move m)
115465,0.04375,DEF run m( move move turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft w) m)
118359,0.05000000000000001,DEF run m( move move turnLeft move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move w) turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft w) m)
140068,0.053125000000000006,DEF run m( turnLeft move WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft w) w) turnLeft w) w) w) m)
148868,0.05312500000000001,DEF run m( turnLeft move WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft w) turnLeft m)
149562,0.05625000000000001,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move w) i) turnLeft w) m)
149752,0.059375000000000004,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move w) turnLeft w) m)
157730,0.06250000000000001,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move w) turnLeft w) turnLeft w) m)
176516,0.08125,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( move w) turnLeft w) move w) m)
257570,0.08125000000000002,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( move w) turnLeft w) m)
380838,0.08437500000000002,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move putMarker putMarker putMarker putMarker putMarker putMarker w) turnLeft putMarker putMarker w) m)
381154,0.08750000000000001,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move putMarker putMarker putMarker putMarker putMarker w) turnLeft putMarker w) putMarker w) m)
384380,0.09375000000000001,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( move putMarker w) WHILE c( frontIsClear c) w( move putMarker w) turnLeft putMarker w) turnLeft w) m)
412432,0.15312499999999998,DEF run m( turnLeft move putMarker WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnLeft putMarker turnLeft putMarker turnLeft putMarker turnLeft putMarker turnLeft move putMarker turnLeft move putMarker turnLeft putMarker turnLeft putMarker turnLeft putMarker w) turnLeft w) turnLeft m)
