num_evaluations,best_reward,best_program
1,0.0,DEF run m( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( move e) WHILE c( not c( frontIsClear c) c) w( putMarker w) IFELSE c( frontIsClear c) i( move i) ELSE e( putMarker e) m)
1444,0.1875,DEF run m( move turnRight IF c( frontIsClear c) i( move i) IF c( frontIsClear c) i( turnRight i) IF c( frontIsClear c) i( move i) m)
1454,0.375,DEF run m( move turnRight IF c( frontIsClear c) i( putMarker i) IF c( frontIsClear c) i( move i) IF c( leftIsClear c) i( turnRight i) move m)
1463,0.4375,DEF run m( move turnRight IF c( frontIsClear c) i( putMarker i) IF c( frontIsClear c) i( move i) turnRight IF c( frontIsClear c) i( move i) m)
5442,0.625,DEF run m( IF c( leftIsClear c) i( move IF c( frontIsClear c) i( turnRight i) IF c( frontIsClear c) i( move i) turnRight i) IF c( frontIsClear c) i( move i) turnRight move IF c( frontIsClear c) i( move i) turnRight move m)
5891,0.6875,DEF run m( move turnRight IF c( frontIsClear c) i( move i) turnRight move IF c( frontIsClear c) i( move i) turnRight move IF c( frontIsClear c) i( move i) turnRight move IF c( frontIsClear c) i( move i) turnRight move m)
6541,0.75,DEF run m( move turnRight move turnRight IF c( frontIsClear c) i( move i) turnRight move IF c( frontIsClear c) i( move i) turnRight move IF c( frontIsClear c) i( move i) turnRight move IF c( frontIsClear c) i( move i) turnRight move m)
9302,0.8125,DEF run m( move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move IF c( frontIsClear c) i( move i) turnRight move turnRight move IF c( frontIsClear c) i( move i) turnRight move m)
9441,0.9375,DEF run m( move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move m)
13960,1.0,DEF run m( move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move turnRight move move turnRight move m)
