num_evaluations,best_reward,best_program
1,-0.625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) WHILE c( frontIsClear c) w( move w) pickMarker IF c( not c( frontIsClear c) c) i( move i) m)
2,0.0,DEF run m( move turnRight WHILE c( leftIsClear c) w( move w) turnRight move m)
68,0.04501488095238095,DEF run m( WHILE c( noMarkersPresent c) w( move turnLeft w) putMarker WHILE c( frontIsClear c) w( move pickMarker w) m)
79,0.416889880952381,DEF run m( WHILE c( noMarkersPresent c) w( move w) turnLeft putMarker WHILE c( frontIsClear c) w( move pickMarker w) m)
70715,0.4758928571428571,DEF run m( WHILE c( noMarkersPresent c) w( move w) putMarker move turnRight WHILE c( noMarkersPresent c) w( move w) putMarker turnRight move m)
71080,0.5837797619047619,DEF run m( WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker m)
71667,0.7194196428571429,DEF run m( WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker WHILE c( noMarkersPresent c) w( move w) m)
73249,0.813392857142857,DEF run m( WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move m)
74943,0.8167410714285714,DEF run m( WHILE c( noMarkersPresent c) w( move w) putMarker move move WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move move WHILE c( noMarkersPresent c) w( move w) putMarker move move putMarker move move m)
78278,0.8327380952380953,DEF run m( WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( move w) putMarker move i) w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move m)
78358,0.8342261904761904,DEF run m( WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( move w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move i) w) putMarker move WHILE c( noMarkersPresent c) w( move w) putMarker move m)
89531,0.9107142857142857,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( WHILE c( noMarkersPresent c) w( move w) putMarker move i) w) putMarker move w) putMarker move w) putMarker move m)
89739,0.9587053571428571,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( move w) putMarker move w) putMarker move w) putMarker move w) putMarker move w) putMarker move m)
160723,1.0,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( WHILE c( noMarkersPresent c) w( WHILE c( leftIsClear c) w( WHILE c( noMarkersPresent c) w( move w) putMarker move w) putMarker move w) putMarker move w) putMarker move w) putMarker m)
