num_evaluations,best_reward,best_program
1,-1.0,DEF run m( IFELSE c( frontIsClear c) i( IF c( leftIsClear c) i( move i) putMarker i) ELSE e( WHILE c( leftIsClear c) w( putMarker pickMarker w) e) m)
2,-0.9722222222222219,DEF run m( WHILE c( leftIsClear c) w( pickMarker putMarker w) REPEAT R=4 r( move r) m)
3,0.0,DEF run m( IF c( frontIsClear c) i( move i) WHILE c( markersPresent c) w( move w) turnLeft turnRight m)
9,0.027777777777777787,DEF run m( WHILE c( noMarkersPresent c) w( turnRight putMarker w) IF c( frontIsClear c) i( pickMarker turnLeft i) m)
111,0.06250000000000001,DEF run m( WHILE c( leftIsClear c) w( move pickMarker w) turnLeft move m)
154,0.11111111111111115,DEF run m( REPEAT R=5 r( IFELSE c( frontIsClear c) i( pickMarker i) ELSE e( turnRight e) move r) m)
194,0.14236111111111113,DEF run m( REPEAT R=8 r( pickMarker move r) m)
222,0.16666666666666666,DEF run m( WHILE c( frontIsClear c) w( REPEAT R=18 r( pickMarker move r) w) m)
1520,0.4444444444444446,DEF run m( WHILE c( frontIsClear c) w( move IFELSE c( not c( frontIsClear c) c) i( turnLeft i) ELSE e( pickMarker e) w) m)
1761,0.5052083333333334,DEF run m( REPEAT R=18 r( turnRight move move pickMarker r) move move pickMarker pickMarker m)
1813,0.5347222222222223,DEF run m( REPEAT R=18 r( pickMarker move move turnRight pickMarker move pickMarker r) m)
1873,0.6718750000000003,DEF run m( REPEAT R=18 r( move pickMarker turnRight move pickMarker r) move m)
1880,0.8003472222222223,DEF run m( REPEAT R=18 r( pickMarker move pickMarker turnRight pickMarker move REPEAT R=18 r( pickMarker turnRight move pickMarker r) REPEAT R=18 r( pickMarker turnRight move pickMarker r) r) m)
