num_evaluations,best_reward,best_program
1,0.027777777777777787,DEF run m( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnRight move e) IF c( noMarkersPresent c) i( turnRight i) REPEAT R=3 r( turnLeft r) m)
4,0.04166666666666668,DEF run m( IFELSE c( frontIsClear c) i( WHILE c( markersPresent c) w( move w) i) ELSE e( turnRight putMarker e) IF c( rightIsClear c) i( move i) move turnLeft m)
5,0.07118055555555555,DEF run m( WHILE c( frontIsClear c) w( move w) turnRight putMarker WHILE c( frontIsClear c) w( pickMarker w) m)
10,0.07986111111111112,DEF run m( IF c( rightIsClear c) i( move i) WHILE c( frontIsClear c) w( move w) IF c( frontIsClear c) i( turnRight move i) m)
11,0.11631944444444442,DEF run m( IF c( noMarkersPresent c) i( pickMarker turnLeft i) WHILE c( rightIsClear c) w( move w) WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( move w) w) m)
18,0.25173611111111116,DEF run m( REPEAT R=18 r( move turnRight r) WHILE c( noMarkersPresent c) w( pickMarker w) IFELSE c( rightIsClear c) i( move putMarker i) ELSE e( pickMarker move e) m)
128,0.26562500000000006,DEF run m( IF c( frontIsClear c) i( move i) turnRight turnLeft REPEAT R=18 r( turnRight move r) m)
205,0.30208333333333337,DEF run m( REPEAT R=18 r( move turnLeft r) turnRight move IF c( frontIsClear c) i( move move i) m)
228,0.3177083333333335,DEF run m( REPEAT R=16 r( move turnRight r) move WHILE c( frontIsClear c) w( pickMarker move w) m)
267,0.3750000000000001,DEF run m( REPEAT R=9 r( move turnRight move r) turnLeft move REPEAT R=13 r( IFELSE c( frontIsClear c) i( move i) ELSE e( move e) r) IF c( frontIsClear c) i( move turnRight i) m)
322,0.41319444444444453,DEF run m( move turnRight move turnLeft putMarker move REPEAT R=11 r( turnLeft move move r) m)
323,0.6545138888888892,DEF run m( REPEAT R=11 r( turnRight move WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( pickMarker move w) w) r) m)
486,0.7812500000000003,DEF run m( REPEAT R=18 r( move move move move move turnRight move move move r) move pickMarker move move m)
