num_evaluations,best_reward,best_program
0,-1.0,DEF run m( REPEAT R=3 r( REPEAT R=9 r( putMarker r) putMarker turnRight r) m)
4,0.0,DEF run m( REPEAT R=3 r( move move WHILE c( noMarkersPresent c) w( turnRight w) WHILE c( markersPresent c) w( WHILE c( rightIsClear c) w( move pickMarker turnRight putMarker w) w) r) m)
20,0.017045454545454544,DEF run m( WHILE c( noMarkersPresent c) w( move pickMarker w) WHILE c( frontIsClear c) w( move pickMarker move w) m)
25,0.13068181818181818,DEF run m( WHILE c( frontIsClear c) w( move pickMarker w) WHILE c( leftIsClear c) w( REPEAT R=7 r( IFELSE c( frontIsClear c) i( move i) ELSE e( move move move turnLeft e) move IF c( frontIsClear c) i( pickMarker move i) r) w) m)
57,0.15909090909090906,DEF run m( WHILE c( frontIsClear c) w( move pickMarker w) WHILE c( noMarkersPresent c) w( REPEAT R=17 r( IFELSE c( markersPresent c) i( move i) ELSE e( move move move turnLeft e) move IF c( frontIsClear c) i( pickMarker move i) r) w) m)
79,0.3068181818181818,DEF run m( WHILE c( frontIsClear c) w( move pickMarker w) WHILE c( noMarkersPresent c) w( REPEAT R=16 r( IFELSE c( markersPresent c) i( move i) ELSE e( move move move turnLeft e) move IF c( leftIsClear c) i( pickMarker move i) r) w) m)
103,0.36931818181818177,DEF run m( WHILE c( frontIsClear c) w( move pickMarker w) WHILE c( noMarkersPresent c) w( REPEAT R=16 r( IFELSE c( markersPresent c) i( move i) ELSE e( move move move turnLeft e) move IF c( markersPresent c) i( pickMarker move i) r) w) m)
127,0.5965909090909092,DEF run m( WHILE c( frontIsClear c) w( move pickMarker w) WHILE c( noMarkersPresent c) w( REPEAT R=16 r( IFELSE c( markersPresent c) i( move i) ELSE e( pickMarker move move turnLeft e) move IF c( markersPresent c) i( pickMarker move i) r) w) m)
163,0.7613636363636365,DEF run m( WHILE c( frontIsClear c) w( move pickMarker w) WHILE c( noMarkersPresent c) w( REPEAT R=16 r( IFELSE c( markersPresent c) i( move i) ELSE e( pickMarker move pickMarker turnLeft e) move IF c( markersPresent c) i( pickMarker move i) r) w) m)
302,0.7897727272727275,DEF run m( WHILE c( frontIsClear c) w( turnLeft pickMarker w) WHILE c( noMarkersPresent c) w( REPEAT R=11 r( IFELSE c( markersPresent c) i( turnLeft i) ELSE e( pickMarker move pickMarker turnLeft e) move IF c( markersPresent c) i( pickMarker move i) r) w) m)
313,1.0000000000000002,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( REPEAT R=16 r( IFELSE c( markersPresent c) i( turnLeft i) ELSE e( pickMarker move pickMarker turnLeft e) IF c( noMarkersPresent c) i( turnRight turnRight pickMarker i) r) w) m)
