num_evaluations,best_reward,best_program
0,0.0625,DEF run m( WHILE c( noMarkersPresent c) w( move WHILE c( frontIsClear c) w( IF c( not c( frontIsClear c) c) i( pickMarker turnLeft move pickMarker i) pickMarker w) WHILE c( frontIsClear c) w( move w) w) IF c( frontIsClear c) i( REPEAT R=5 r( IF c( leftIsClear c) i( move move move turnRight turnLeft move i) r) IF c( leftIsClear c) i( WHILE c( leftIsClear c) w( move turnRight w) i) i) pickMarker m)
70,0.09375,DEF run m( REPEAT R=9 r( move turnRight r) pickMarker IFELSE c( leftIsClear c) i( turnLeft i) ELSE e( WHILE c( markersPresent c) w( REPEAT R=7 r( move IFELSE c( frontIsClear c) i( putMarker putMarker i) ELSE e( move e) move r) w) e) m)
136,0.15625,DEF run m( REPEAT R=9 r( move turnLeft pickMarker r) IF c( markersPresent c) i( pickMarker i) move WHILE c( leftIsClear c) w( turnRight move move WHILE c( frontIsClear c) w( move move move move w) w) m)
139,0.1875,DEF run m( REPEAT R=13 r( move turnLeft pickMarker r) IF c( leftIsClear c) i( pickMarker i) move WHILE c( leftIsClear c) w( turnRight move move WHILE c( frontIsClear c) w( move move move move w) w) m)
189,0.21875,DEF run m( REPEAT R=19 r( move turnLeft pickMarker r) WHILE c( rightIsClear c) w( REPEAT R=19 r( turnRight r) w) m)
207,0.3125,DEF run m( REPEAT R=19 r( move turnLeft pickMarker r) REPEAT R=6 r( pickMarker IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( move e) r) pickMarker m)
214,0.34375,DEF run m( REPEAT R=19 r( move turnLeft pickMarker r) REPEAT R=17 r( pickMarker IFELSE c( noMarkersPresent c) i( move turnRight i) ELSE e( move e) r) pickMarker m)
402,0.375,DEF run m( REPEAT R=19 r( move REPEAT R=9 r( turnLeft r) pickMarker r) REPEAT R=18 r( pickMarker IFELSE c( rightIsClear c) i( move turnRight i) ELSE e( move WHILE c( rightIsClear c) w( move w) e) r) pickMarker m)
828,0.40625,DEF run m( REPEAT R=19 r( move turnLeft WHILE c( markersPresent c) w( pickMarker w) r) REPEAT R=17 r( pickMarker IFELSE c( rightIsClear c) i( move turnRight i) ELSE e( move WHILE c( rightIsClear c) w( turnRight w) e) r) turnRight m)
1307,0.4375,DEF run m( REPEAT R=13 r( move turnRight WHILE c( markersPresent c) w( pickMarker w) r) REPEAT R=17 r( pickMarker IFELSE c( rightIsClear c) i( turnLeft i) ELSE e( move WHILE c( rightIsClear c) w( turnRight w) e) r) pickMarker m)
3086,0.46875,DEF run m( REPEAT R=7 r( pickMarker turnLeft pickMarker r) REPEAT R=18 r( pickMarker IFELSE c( markersPresent c) i( WHILE c( frontIsClear c) w( move w) i) ELSE e( move WHILE c( not c( frontIsClear c) c) w( turnRight w) e) r) move move m)
13797,0.5,DEF run m( turnRight REPEAT R=18 r( pickMarker IFELSE c( frontIsClear c) i( pickMarker move i) ELSE e( pickMarker turnRight e) r) WHILE c( rightIsClear c) w( pickMarker IF c( leftIsClear c) i( move pickMarker i) turnRight w) turnRight m)
187735,0.65625,DEF run m( move turnRight WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( move turnRight i) move w) pickMarker move WHILE c( noMarkersPresent c) w( move turnRight w) IF c( markersPresent c) i( putMarker move i) m)
187762,0.78125,DEF run m( pickMarker move WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( move turnRight i) move w) pickMarker move WHILE c( noMarkersPresent c) w( move turnRight w) IF c( markersPresent c) i( putMarker move i) m)
188387,0.90625,DEF run m( pickMarker move WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( move turnRight i) move w) pickMarker move WHILE c( noMarkersPresent c) w( move move turnLeft w) putMarker move m)
188453,0.96875,DEF run m( turnRight move WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( move turnRight i) move w) pickMarker move WHILE c( noMarkersPresent c) w( move move turnLeft w) putMarker m)
188716,1.0,DEF run m( turnRight move WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( move turnRight i) move w) pickMarker move WHILE c( noMarkersPresent c) w( move move turnRight w) putMarker m)
