num_evaluations,best_reward,best_program
0,-1.0,DEF run m( putMarker REPEAT R=15 r( move pickMarker IF c( frontIsClear c) i( IFELSE c( leftIsClear c) i( pickMarker turnLeft move turnLeft i) ELSE e( turnLeft turnRight putMarker turnLeft turnLeft turnLeft e) WHILE c( frontIsClear c) w( move move w) i) r) m)
3,0.0,DEF run m( move m)
67,0.0625,DEF run m( turnLeft IF c( noMarkersPresent c) i( turnRight move move move i) move move IF c( not c( frontIsClear c) c) i( putMarker move i) m)
166,0.25,DEF run m( turnLeft IF c( frontIsClear c) i( turnRight move move move i) move move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move w) turnLeft IF c( noMarkersPresent c) i( putMarker i) i) m)
296,0.265625,DEF run m( move REPEAT R=1 r( move IF c( rightIsClear c) i( turnLeft putMarker i) r) move move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move w) move putMarker move i) m)
306,0.28125,DEF run m( move REPEAT R=2 r( move IF c( rightIsClear c) i( turnLeft putMarker i) r) move move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move w) move putMarker move i) m)
318,0.296875,DEF run m( move REPEAT R=3 r( move IF c( rightIsClear c) i( turnLeft putMarker i) r) move move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move w) move putMarker move i) m)
335,0.5625,DEF run m( move REPEAT R=18 r( move IF c( rightIsClear c) i( turnLeft putMarker i) r) move move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move w) move putMarker move pickMarker turnRight i) m)
343,0.75,DEF run m( move REPEAT R=18 r( move IF c( rightIsClear c) i( turnRight putMarker i) r) move move IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move w) move putMarker move move turnRight i) m)
687,1.0,DEF run m( move REPEAT R=18 r( WHILE c( leftIsClear c) w( move w) IF c( rightIsClear c) i( turnRight putMarker i) r) move move IF c( leftIsClear c) i( WHILE c( frontIsClear c) w( move w) turnLeft putMarker turnRight i) m)
