num_evaluations,best_reward,best_program
0,0.027777777777777787,DEF run m( WHILE c( noMarkersPresent c) w( move WHILE c( frontIsClear c) w( IF c( not c( frontIsClear c) c) i( pickMarker turnLeft move pickMarker i) pickMarker w) WHILE c( frontIsClear c) w( move w) w) IF c( frontIsClear c) i( REPEAT R=5 r( IF c( leftIsClear c) i( move move move turnRight turnLeft move i) r) IF c( leftIsClear c) i( WHILE c( leftIsClear c) w( move turnRight w) i) i) pickMarker m)
16,0.15104166666666669,DEF run m( move REPEAT R=7 r( IF c( frontIsClear c) i( pickMarker i) move r) pickMarker m)
22,0.16666666666666666,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) w) REPEAT R=7 r( IF c( markersPresent c) i( pickMarker i) move r) pickMarker m)
73,0.21006944444444445,DEF run m( pickMarker REPEAT R=19 r( pickMarker move turnLeft turnRight r) WHILE c( not c( frontIsClear c) c) w( turnRight REPEAT R=7 r( WHILE c( rightIsClear c) w( pickMarker move w) r) turnRight move w) m)
74,0.26215277777777785,DEF run m( pickMarker REPEAT R=19 r( pickMarker move turnLeft turnRight r) WHILE c( frontIsClear c) w( turnRight REPEAT R=7 r( WHILE c( rightIsClear c) w( pickMarker move w) r) turnRight move w) m)
87,0.30555555555555564,DEF run m( turnLeft REPEAT R=19 r( pickMarker move turnLeft turnRight r) WHILE c( frontIsClear c) w( turnRight REPEAT R=7 r( WHILE c( rightIsClear c) w( pickMarker move w) r) pickMarker move w) m)
90,0.5347222222222223,DEF run m( turnLeft REPEAT R=19 r( pickMarker move turnLeft move move move r) WHILE c( frontIsClear c) w( turnRight REPEAT R=7 r( WHILE c( rightIsClear c) w( pickMarker move w) r) pickMarker move w) m)
115,0.6354166666666667,DEF run m( turnLeft REPEAT R=19 r( pickMarker move turnLeft move move move r) WHILE c( frontIsClear c) w( turnRight move pickMarker move w) m)
371,0.9444444444444448,DEF run m( turnLeft REPEAT R=19 r( pickMarker move move REPEAT R=10 r( move turnLeft pickMarker move r) r) WHILE c( frontIsClear c) w( turnRight move pickMarker move w) m)
373,0.9496527777777781,DEF run m( turnLeft REPEAT R=17 r( pickMarker move move REPEAT R=10 r( move turnLeft pickMarker move r) r) WHILE c( frontIsClear c) w( turnRight move pickMarker move w) m)
383,1.0000000000000002,DEF run m( turnLeft REPEAT R=17 r( pickMarker move turnRight REPEAT R=10 r( move turnLeft pickMarker move r) r) WHILE c( frontIsClear c) w( turnRight move pickMarker move w) m)
