num_evaluations,best_reward,best_program
0,0.001736111111111111,DEF run m( WHILE c( frontIsClear c) w( IF c( rightIsClear c) i( putMarker i) w) IF c( leftIsClear c) i( move IF c( frontIsClear c) i( move WHILE c( markersPresent c) w( turnRight turnLeft w) IF c( rightIsClear c) i( turnLeft i) turnRight i) i) m)
3,0.10243055555555555,DEF run m( WHILE c( frontIsClear c) w( turnLeft pickMarker move w) IF c( leftIsClear c) i( move IF c( frontIsClear c) i( move WHILE c( markersPresent c) w( turnRight turnLeft w) IF c( rightIsClear c) i( turnLeft i) turnRight i) i) m)
5,0.1076388888888889,DEF run m( WHILE c( frontIsClear c) w( turnLeft pickMarker move w) IF c( leftIsClear c) i( move IF c( frontIsClear c) i( IFELSE c( rightIsClear c) i( move move move turnLeft i) ELSE e( putMarker e) move i) i) m)
9,0.11979166666666669,DEF run m( WHILE c( frontIsClear c) w( turnLeft pickMarker move w) IF c( leftIsClear c) i( move turnRight move move i) m)
12,0.13194444444444445,DEF run m( WHILE c( frontIsClear c) w( turnLeft pickMarker move w) IF c( leftIsClear c) i( move WHILE c( rightIsClear c) w( IF c( leftIsClear c) i( turnLeft move turnRight i) w) move move i) m)
43,0.1701388888888889,DEF run m( WHILE c( frontIsClear c) w( turnLeft move move w) IF c( leftIsClear c) i( move WHILE c( rightIsClear c) w( IF c( leftIsClear c) i( turnLeft move turnRight i) w) move move i) m)
45,0.18402777777777782,DEF run m( WHILE c( frontIsClear c) w( turnLeft move move w) WHILE c( leftIsClear c) w( turnRight move move w) move move IFELSE c( markersPresent c) i( move move i) ELSE e( move turnRight turnRight move e) m)
53,0.1961805555555556,DEF run m( WHILE c( frontIsClear c) w( turnLeft move move w) WHILE c( leftIsClear c) w( turnRight move move w) move move IFELSE c( leftIsClear c) i( move i) ELSE e( move turnRight move move e) m)
55,0.2222222222222223,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) WHILE c( leftIsClear c) w( turnRight move move w) move move IFELSE c( leftIsClear c) i( move i) ELSE e( move turnRight move move e) m)
59,0.2361111111111112,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) WHILE c( leftIsClear c) w( turnRight move move w) move move IFELSE c( leftIsClear c) i( move i) ELSE e( WHILE c( frontIsClear c) w( move w) turnRight move move e) m)
72,0.7100694444444446,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) WHILE c( noMarkersPresent c) w( turnRight move move w) move move IFELSE c( leftIsClear c) i( move i) ELSE e( WHILE c( frontIsClear c) w( move w) turnRight move move e) m)
99,0.8437500000000003,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) WHILE c( noMarkersPresent c) w( pickMarker move turnRight w) move REPEAT R=10 r( move WHILE c( leftIsClear c) w( move move w) r) pickMarker m)
164,0.8437500000000004,DEF run m( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( WHILE c( frontIsClear c) w( move w) w) move w) WHILE c( noMarkersPresent c) w( pickMarker move turnRight w) WHILE c( leftIsClear c) w( move w) m)
261,0.8506944444444448,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) move turnRight w) WHILE c( frontIsClear c) w( pickMarker IF c( frontIsClear c) i( move turnRight i) w) m)
390,0.8576388888888893,DEF run m( pickMarker WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft REPEAT R=8 r( WHILE c( frontIsClear c) w( move move move w) r) move w) IF c( rightIsClear c) i( move turnLeft move i) m)
426,0.8576388888888894,DEF run m( pickMarker WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move turnRight move turnLeft w) WHILE c( frontIsClear c) w( turnRight w) w) move w) turnLeft m)
461,0.8645833333333338,DEF run m( pickMarker WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move turnRight move turnLeft w) move w) move w) turnLeft m)
783,0.9045138888888893,DEF run m( pickMarker WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnLeft WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( turnLeft w) move w) move w) turnRight m)
986,0.9114583333333337,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( WHILE c( not c( frontIsClear c) c) w( turnLeft move w) turnLeft WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( turnLeft w) move w) move w) turnLeft m)
1018,0.9114583333333338,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move i) turnLeft WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( turnLeft w) move w) move w) turnLeft m)
2087,0.9218750000000004,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move i) turnLeft WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( turnLeft move w) move w) move w) move m)
12766,0.9357638888888894,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move turnRight move i) turnLeft WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( turnLeft move w) move w) move w) pickMarker m)
593054,0.9496527777777782,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move turnRight move i) move move turnLeft WHILE c( rightIsClear c) w( turnLeft turnLeft move turnLeft w) w) move m)
1222430,0.9565972222222228,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move turnRight move i) move move IF c( frontIsClear c) i( WHILE c( leftIsClear c) w( turnRight move w) i) turnLeft w) turnLeft m)
