num_evaluations,best_reward,best_program
0,-0.7291666666666665,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=18 r( putMarker r) WHILE c( leftIsClear c) w( WHILE c( noMarkersPresent c) w( turnLeft turnLeft turnRight pickMarker turnLeft w) IF c( leftIsClear c) i( turnRight i) WHILE c( frontIsClear c) w( turnRight w) putMarker WHILE c( frontIsClear c) w( move w) WHILE c( not c( leftIsClear c) c) w( turnLeft move move move move move w) w) w) m)
1,0.0,DEF run m( WHILE c( leftIsClear c) w( WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move move turnLeft move w) w) m)
4,0.039930555555555566,DEF run m( WHILE c( leftIsClear c) w( IF c( noMarkersPresent c) i( pickMarker move putMarker move i) w) m)
42,0.05034722222222223,DEF run m( WHILE c( leftIsClear c) w( IF c( noMarkersPresent c) i( pickMarker move putMarker IF c( not c( leftIsClear c) c) i( move putMarker i) move move WHILE c( frontIsClear c) w( move w) i) w) m)
47,0.1041666666666667,DEF run m( WHILE c( leftIsClear c) w( IF c( noMarkersPresent c) i( pickMarker turnLeft putMarker IF c( not c( leftIsClear c) c) i( move putMarker i) move move WHILE c( frontIsClear c) w( move w) i) w) m)
78,0.16145833333333331,DEF run m( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( pickMarker turnLeft putMarker IF c( not c( frontIsClear c) c) i( move i) move move IF c( markersPresent c) i( move i) turnRight i) w) m)
113,0.16666666666666666,DEF run m( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( pickMarker turnLeft putMarker IF c( noMarkersPresent c) i( move i) move move IF c( markersPresent c) i( move i) turnRight i) w) m)
193,0.48611111111111127,DEF run m( WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( pickMarker turnLeft putMarker IF c( noMarkersPresent c) i( move i) move move IF c( frontIsClear c) i( IF c( markersPresent c) i( move i) turnLeft i) turnRight i) w) m)
212,0.5000000000000001,DEF run m( WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( pickMarker turnLeft putMarker IF c( noMarkersPresent c) i( move i) move move IF c( frontIsClear c) i( turnRight i) turnRight i) w) m)
1002,0.7361111111111115,DEF run m( WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( pickMarker turnLeft putMarker WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move pickMarker move w) w) WHILE c( markersPresent c) w( move move w) i) w) m)
1062,0.9618055555555556,DEF run m( WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( pickMarker turnLeft putMarker WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( move move w) i) w) m)
7973,0.9670138888888892,DEF run m( WHILE c( not c( markersPresent c) c) w( IF c( noMarkersPresent c) i( pickMarker turnLeft putMarker WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( IF c( rightIsClear c) i( turnRight move move i) turnLeft move w) i) w) m)
8342,0.9947916666666669,DEF run m( WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( pickMarker turnLeft putMarker WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( IF c( rightIsClear c) i( move move move i) turnLeft move w) i) w) m)
9661,1.0000000000000002,DEF run m( WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( pickMarker turnLeft putMarker WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( IF c( rightIsClear c) i( IF c( frontIsClear c) i( move i) i) turnLeft move w) i) w) m)
