num_evaluations,best_reward,best_program
0,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnRight turnRight w) w) i) WHILE c( noMarkersPresent c) w( turnLeft turnRight move WHILE c( frontIsClear c) w( pickMarker IFELSE c( frontIsClear c) i( move move pickMarker i) ELSE e( move e) REPEAT R=0 r( move move turnLeft move r) WHILE c( frontIsClear c) w( putMarker turnRight move turnLeft w) w) w) m)
3,0.003125,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move turnRight w) w) i) WHILE c( noMarkersPresent c) w( turnLeft turnRight move WHILE c( frontIsClear c) w( pickMarker turnRight w) w) m)
14,0.015625,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move pickMarker i) w) turnRight w) w) i) move m)
18,0.01875,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( rightIsClear c) w( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move pickMarker i) w) turnRight w) w) i) move m)
45,0.025,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( rightIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight w) w) i) move m)
54,0.028125,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( rightIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight w) w) i) move m)
235,0.028125000000000004,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( rightIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight w) w) i) WHILE c( not c( rightIsClear c) c) w( WHILE c( noMarkersPresent c) w( WHILE c( markersPresent c) w( move w) w) w) m)
553,0.03125,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( rightIsClear c) w( WHILE c( frontIsClear c) w( move w) turnRight w) w) i) WHILE c( not c( frontIsClear c) c) w( WHILE c( noMarkersPresent c) w( WHILE c( markersPresent c) w( move w) w) w) m)
1640,0.034375,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( not c( rightIsClear c) c) w( move w) turnRight w) i) WHILE c( not c( frontIsClear c) c) w( WHILE c( leftIsClear c) w( move pickMarker w) w) m)
1681,0.0375,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( not c( rightIsClear c) c) w( move w) turnRight w) i) WHILE c( not c( frontIsClear c) c) w( IF c( frontIsClear c) i( putMarker pickMarker turnLeft i) IF c( frontIsClear c) i( turnLeft i) w) m)
1698,0.1,DEF run m( IF c( markersPresent c) i( move move i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
1712,0.11875000000000002,DEF run m( IF c( markersPresent c) i( IF c( frontIsClear c) i( move move i) WHILE c( frontIsClear c) w( move move pickMarker w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
1781,0.125,DEF run m( IF c( markersPresent c) i( IF c( frontIsClear c) i( move move i) WHILE c( frontIsClear c) w( move move pickMarker w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
1899,0.159375,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( turnRight move putMarker putMarker w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
1917,0.16250000000000003,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( pickMarker turnRight putMarker move w) i) w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
1935,0.16875,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( pickMarker turnRight putMarker move w) i) w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
2094,0.2375,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move WHILE c( frontIsClear c) w( pickMarker turnRight putMarker move w) i) w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
3042,0.25,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move WHILE c( frontIsClear c) w( pickMarker turnRight putMarker move w) i) w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
4412,0.2718750000000001,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move WHILE c( frontIsClear c) w( pickMarker turnRight putMarker move w) i) w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
8579,0.27812500000000007,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move WHILE c( frontIsClear c) w( pickMarker turnRight putMarker move w) i) w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
37616,0.28125,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move WHILE c( frontIsClear c) w( pickMarker turnRight putMarker move w) i) w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
45039,0.290625,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( putMarker WHILE c( frontIsClear c) w( pickMarker turnRight putMarker move w) i) w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
45834,0.31875,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( putMarker WHILE c( frontIsClear c) w( pickMarker turnRight move w) i) w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
51709,0.32500000000000007,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( putMarker WHILE c( frontIsClear c) w( pickMarker turnRight move w) i) w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
70290,0.32812500000000006,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( putMarker WHILE c( frontIsClear c) w( pickMarker turnRight move w) i) w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
143651,0.33125000000000004,DEF run m( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( putMarker WHILE c( frontIsClear c) w( pickMarker turnRight move w) i) w) i) WHILE c( leftIsClear c) w( move turnRight move putMarker w) m)
