num_evaluations,best_reward,best_program
0,0.0,DEF run m( IFELSE c( frontIsClear c) i( turnRight i) ELSE e( REPEAT R=6 r( move r) e) m)
98,0.11941964285714285,DEF run m( IF c( frontIsClear c) i( pickMarker IF c( rightIsClear c) i( move i) move i) move IF c( markersPresent c) i( putMarker i) move m)
110,0.2788690476190476,DEF run m( IF c( frontIsClear c) i( pickMarker WHILE c( frontIsClear c) w( move w) IFELSE c( leftIsClear c) i( move turnRight turnLeft turnLeft i) ELSE e( turnRight turnRight e) i) move IF c( markersPresent c) i( putMarker i) move m)
165,0.3439732142857143,DEF run m( IF c( noMarkersPresent c) i( move WHILE c( leftIsClear c) w( move w) IFELSE c( noMarkersPresent c) i( move move move i) ELSE e( turnRight turnRight e) i) move IF c( markersPresent c) i( putMarker i) WHILE c( frontIsClear c) w( move w) m)
237,0.3752232142857143,DEF run m( IF c( noMarkersPresent c) i( move WHILE c( leftIsClear c) w( move w) IFELSE c( noMarkersPresent c) i( move turnLeft i) ELSE e( turnRight turnRight e) i) move IF c( markersPresent c) i( putMarker i) WHILE c( frontIsClear c) w( move w) m)
557,0.4228422619047619,DEF run m( IF c( leftIsClear c) i( pickMarker WHILE c( leftIsClear c) w( move w) IFELSE c( noMarkersPresent c) i( move turnLeft i) ELSE e( putMarker e) i) move IF c( markersPresent c) i( putMarker i) move m)
671,0.4758928571428571,DEF run m( IF c( leftIsClear c) i( move WHILE c( noMarkersPresent c) w( move w) IFELSE c( noMarkersPresent c) i( IF c( rightIsClear c) i( pickMarker i) i) ELSE e( putMarker e) i) move IF c( markersPresent c) i( putMarker i) move m)
706,0.5082589285714285,DEF run m( IF c( frontIsClear c) i( move WHILE c( noMarkersPresent c) w( move w) IFELSE c( rightIsClear c) i( IF c( rightIsClear c) i( pickMarker i) i) ELSE e( putMarker e) i) WHILE c( frontIsClear c) w( move w) IF c( markersPresent c) i( putMarker i) move m)
1310,0.5212797619047619,DEF run m( IF c( noMarkersPresent c) i( move WHILE c( noMarkersPresent c) w( move w) IFELSE c( rightIsClear c) i( putMarker i) ELSE e( putMarker e) i) IF c( leftIsClear c) i( IF c( leftIsClear c) i( move i) move i) IF c( markersPresent c) i( putMarker i) move m)
4686,0.5316964285714285,DEF run m( IF c( frontIsClear c) i( move WHILE c( noMarkersPresent c) w( move move w) putMarker i) IF c( markersPresent c) i( move move i) IF c( markersPresent c) i( putMarker i) IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move w) i) m)
15431,0.5525297619047619,DEF run m( IF c( frontIsClear c) i( move WHILE c( noMarkersPresent c) w( move turnRight move w) putMarker i) REPEAT R=5 r( turnRight move r) IF c( markersPresent c) i( putMarker i) IF c( frontIsClear c) i( move i) m)
59718,0.5668154761904762,DEF run m( IF c( frontIsClear c) i( move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move turnRight i) move w) putMarker i) REPEAT R=2 r( turnRight move r) WHILE c( markersPresent c) w( putMarker move w) move m)
59765,0.5918154761904761,DEF run m( IF c( leftIsClear c) i( move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move turnRight i) turnLeft w) putMarker i) REPEAT R=2 r( turnRight move r) WHILE c( markersPresent c) w( putMarker move w) pickMarker m)
59780,0.6600446428571428,DEF run m( IF c( leftIsClear c) i( move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move turnRight i) turnLeft w) putMarker i) REPEAT R=2 r( move r) WHILE c( markersPresent c) w( putMarker move w) move m)
69831,0.8496279761904763,DEF run m( IF c( leftIsClear c) i( WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move i) w) putMarker i) REPEAT R=2 r( move r) WHILE c( frontIsClear c) w( IF c( markersPresent c) i( putMarker i) move w) move m)
69837,0.9086309523809524,DEF run m( IF c( leftIsClear c) i( WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move i) w) putMarker i) move WHILE c( frontIsClear c) w( IF c( markersPresent c) i( putMarker i) move w) move m)
70017,1.0,DEF run m( IF c( frontIsClear c) i( WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( move i) w) putMarker i) move WHILE c( leftIsClear c) w( IF c( markersPresent c) i( putMarker i) move w) IF c( leftIsClear c) i( move i) m)
