num_evaluations,best_reward,best_program
1,0.0,DEF run m( turnLeft m)
2,0.09375,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( rightIsClear c) w( move pickMarker turnRight move w) w) m)
21,0.125,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( rightIsClear c) w( move pickMarker turnRight WHILE c( markersPresent c) w( pickMarker w) WHILE c( leftIsClear c) w( move turnLeft move w) w) w) m)
25,0.15625,DEF run m( WHILE c( noMarkersPresent c) w( IF c( not c( frontIsClear c) c) i( move i) WHILE c( frontIsClear c) w( pickMarker turnRight move turnLeft w) w) m)
80,0.25,DEF run m( WHILE c( noMarkersPresent c) w( IF c( not c( frontIsClear c) c) i( move move i) WHILE c( frontIsClear c) w( pickMarker turnRight move turnLeft w) w) m)
102,0.34375,DEF run m( WHILE c( noMarkersPresent c) w( IF c( not c( frontIsClear c) c) i( move IF c( frontIsClear c) i( move move move turnLeft i) turnRight i) WHILE c( frontIsClear c) w( pickMarker turnRight move turnLeft w) w) m)
612,0.375,DEF run m( WHILE c( noMarkersPresent c) w( IF c( noMarkersPresent c) i( pickMarker turnLeft IF c( frontIsClear c) i( pickMarker move turnLeft turnLeft i) IF c( frontIsClear c) i( pickMarker i) WHILE c( frontIsClear c) w( turnRight w) i) w) m)
2663,0.4375,DEF run m( WHILE c( noMarkersPresent c) w( REPEAT R=19 r( move turnLeft move r) w) pickMarker turnRight pickMarker WHILE c( not c( frontIsClear c) c) w( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) turnLeft w) putMarker w) m)
4280,0.46875,DEF run m( IF c( noMarkersPresent c) i( turnRight move turnLeft pickMarker i) move WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( turnRight turnRight turnRight i) move turnRight pickMarker w) m)
4471,0.5,DEF run m( IF c( noMarkersPresent c) i( turnRight move turnLeft pickMarker i) move WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( move IF c( frontIsClear c) i( turnLeft i) i) move turnRight pickMarker w) m)
18790,0.71875,DEF run m( REPEAT R=2 r( pickMarker WHILE c( noMarkersPresent c) w( REPEAT R=11 r( turnLeft move r) turnLeft turnLeft w) turnRight r) putMarker WHILE c( leftIsClear c) w( move putMarker move move w) WHILE c( rightIsClear c) w( move w) m)
18843,0.8125,DEF run m( REPEAT R=2 r( pickMarker WHILE c( noMarkersPresent c) w( REPEAT R=13 r( turnLeft move r) turnLeft turnLeft w) turnRight r) putMarker WHILE c( leftIsClear c) w( move putMarker move move w) WHILE c( rightIsClear c) w( move w) m)
19083,0.9375,DEF run m( REPEAT R=2 r( pickMarker WHILE c( noMarkersPresent c) w( REPEAT R=9 r( turnLeft move r) turnLeft turnLeft w) turnRight r) putMarker WHILE c( leftIsClear c) w( move putMarker move move w) WHILE c( rightIsClear c) w( move w) m)
