num_evaluations,best_reward,best_program
1,-0.18229166666666666,DEF run m( move IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move move w) WHILE c( not c( noMarkersPresent c) c) w( IFELSE c( noMarkersPresent c) i( move move putMarker pickMarker turnLeft turnLeft i) ELSE e( pickMarker e) REPEAT R=18 r( turnLeft putMarker move r) IFELSE c( markersPresent c) i( turnLeft pickMarker turnLeft turnLeft turnLeft putMarker i) ELSE e( move e) move WHILE c( frontIsClear c) w( move turnLeft move move w) w) i) m)
2,0.0,DEF run m( WHILE c( not c( frontIsClear c) c) w( IF c( leftIsClear c) i( move pickMarker i) WHILE c( frontIsClear c) w( move w) turnLeft REPEAT R=2 r( turnRight pickMarker move turnRight r) w) m)
21,0.027777777777777787,DEF run m( IFELSE c( frontIsClear c) i( pickMarker turnLeft move i) ELSE e( move move e) turnRight move move m)
39,0.10590277777777776,DEF run m( IFELSE c( frontIsClear c) i( pickMarker turnLeft move i) ELSE e( move move e) turnRight IF c( markersPresent c) i( WHILE c( frontIsClear c) w( move pickMarker move move w) turnRight i) move m)
43,0.11111111111111115,DEF run m( IFELSE c( frontIsClear c) i( pickMarker turnLeft move i) ELSE e( move move e) WHILE c( noMarkersPresent c) w( move w) IF c( markersPresent c) i( WHILE c( frontIsClear c) w( move pickMarker move move w) turnRight i) move m)
44,0.13368055555555552,DEF run m( IFELSE c( frontIsClear c) i( pickMarker turnLeft move i) ELSE e( move move e) WHILE c( noMarkersPresent c) w( move w) IF c( markersPresent c) i( WHILE c( frontIsClear c) w( move pickMarker move turnLeft w) turnRight i) move m)
49,0.21875000000000003,DEF run m( IFELSE c( frontIsClear c) i( pickMarker turnLeft move i) ELSE e( move move e) WHILE c( noMarkersPresent c) w( move w) WHILE c( markersPresent c) w( IF c( frontIsClear c) i( move pickMarker turnLeft move i) move w) move m)
153,0.2309027777777778,DEF run m( IFELSE c( frontIsClear c) i( turnLeft turnLeft move i) ELSE e( move move e) WHILE c( noMarkersPresent c) w( move w) WHILE c( markersPresent c) w( IF c( frontIsClear c) i( move pickMarker turnLeft move i) move w) move m)
176,0.25173611111111116,DEF run m( IFELSE c( frontIsClear c) i( turnLeft turnLeft move i) ELSE e( move move e) WHILE c( noMarkersPresent c) w( move w) WHILE c( markersPresent c) w( IF c( rightIsClear c) i( move pickMarker turnLeft move i) move w) move m)
195,0.3333333333333333,DEF run m( IFELSE c( frontIsClear c) i( turnLeft turnLeft move i) ELSE e( move move e) WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( IF c( rightIsClear c) i( move pickMarker turnLeft move i) move w) move m)
343,0.3385416666666667,DEF run m( IFELSE c( frontIsClear c) i( turnLeft turnLeft pickMarker i) ELSE e( move move e) WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( IF c( rightIsClear c) i( move pickMarker turnLeft move i) move w) move m)
462,0.3472222222222224,DEF run m( IFELSE c( frontIsClear c) i( turnLeft turnLeft pickMarker i) ELSE e( move move e) WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( IF c( markersPresent c) i( move pickMarker turnLeft move i) move w) move m)
673,0.5434027777777779,DEF run m( IFELSE c( frontIsClear c) i( turnLeft turnLeft pickMarker i) ELSE e( move move e) WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( IF c( markersPresent c) i( pickMarker pickMarker turnLeft move i) move w) move m)
676,0.5833333333333337,DEF run m( IFELSE c( frontIsClear c) i( turnLeft turnLeft pickMarker i) ELSE e( move move e) move WHILE c( markersPresent c) w( IF c( markersPresent c) i( pickMarker pickMarker turnLeft move i) move w) move m)
1566,0.6041666666666669,DEF run m( turnRight turnRight WHILE c( frontIsClear c) w( pickMarker move w) REPEAT R=19 r( pickMarker turnLeft move move move WHILE c( noMarkersPresent c) w( turnLeft turnLeft turnLeft move w) r) m)
1595,0.6579861111111113,DEF run m( turnRight turnRight WHILE c( frontIsClear c) w( pickMarker move w) REPEAT R=19 r( pickMarker turnLeft move pickMarker move WHILE c( noMarkersPresent c) w( turnLeft turnLeft turnLeft move w) r) m)
1596,0.7986111111111114,DEF run m( turnRight turnRight move REPEAT R=19 r( pickMarker turnLeft move pickMarker move WHILE c( noMarkersPresent c) w( turnLeft turnLeft turnLeft move w) r) m)
1614,0.8194444444444446,DEF run m( turnRight turnRight move REPEAT R=19 r( pickMarker turnLeft move pickMarker move WHILE c( noMarkersPresent c) w( turnLeft IFELSE c( frontIsClear c) i( pickMarker move turnRight turnRight i) ELSE e( turnRight e) turnLeft move w) r) m)
1616,0.8663194444444445,DEF run m( turnRight turnRight turnLeft REPEAT R=19 r( pickMarker turnLeft move pickMarker move WHILE c( noMarkersPresent c) w( turnLeft IFELSE c( frontIsClear c) i( pickMarker move turnRight turnRight i) ELSE e( turnRight e) turnLeft move w) r) m)
1667,0.930555555555556,DEF run m( turnRight turnRight turnLeft REPEAT R=19 r( pickMarker turnLeft move pickMarker move WHILE c( noMarkersPresent c) w( turnLeft IFELSE c( frontIsClear c) i( pickMarker move turnRight turnRight i) ELSE e( turnRight e) turnLeft pickMarker move w) r) m)
1685,0.934027777777778,DEF run m( turnRight turnRight turnLeft REPEAT R=19 r( pickMarker turnLeft move pickMarker move WHILE c( noMarkersPresent c) w( turnLeft IFELSE c( frontIsClear c) i( pickMarker move turnRight turnRight i) ELSE e( turnLeft e) turnLeft pickMarker move w) r) m)
1692,0.9427083333333337,DEF run m( turnRight turnRight turnLeft REPEAT R=19 r( pickMarker turnLeft move pickMarker move WHILE c( noMarkersPresent c) w( turnLeft IFELSE c( leftIsClear c) i( pickMarker move turnRight turnRight i) ELSE e( turnLeft e) turnLeft pickMarker move w) r) m)
1697,0.9496527777777782,DEF run m( turnRight turnRight turnLeft REPEAT R=19 r( pickMarker move move pickMarker move WHILE c( noMarkersPresent c) w( turnLeft IFELSE c( leftIsClear c) i( pickMarker move turnRight turnRight i) ELSE e( turnLeft e) turnLeft pickMarker move w) r) m)
1714,0.9722222222222224,DEF run m( turnRight turnRight turnLeft REPEAT R=19 r( pickMarker move move pickMarker turnRight WHILE c( noMarkersPresent c) w( turnLeft IFELSE c( leftIsClear c) i( pickMarker move turnRight turnRight i) ELSE e( turnLeft e) turnLeft pickMarker move w) r) m)
2342,1.0000000000000002,DEF run m( IF c( markersPresent c) i( WHILE c( leftIsClear c) w( REPEAT R=14 r( move pickMarker move r) move IF c( frontIsClear c) i( pickMarker turnRight i) w) i) move pickMarker m)
