num_evaluations,best_reward,best_program
1,0.0,DEF run m( putMarker m)
2,0.0625,DEF run m( move m)
20,0.125,DEF run m( IF c( frontIsClear c) i( turnRight move i) REPEAT R=8 r( move move move turnLeft r) move m)
34,0.25,DEF run m( IF c( frontIsClear c) i( pickMarker move i) REPEAT R=8 r( move move move turnLeft r) move m)
116,0.375,DEF run m( IF c( frontIsClear c) i( pickMarker move i) REPEAT R=8 r( move turnRight WHILE c( noMarkersPresent c) w( move move move turnLeft w) IF c( rightIsClear c) i( turnLeft i) r) move m)
207,0.4375,DEF run m( IF c( frontIsClear c) i( pickMarker WHILE c( frontIsClear c) w( move w) i) REPEAT R=8 r( move turnRight WHILE c( noMarkersPresent c) w( move move move turnLeft w) IF c( rightIsClear c) i( turnLeft i) r) move m)
217,0.625,DEF run m( IF c( frontIsClear c) i( pickMarker WHILE c( frontIsClear c) w( move w) i) REPEAT R=8 r( move turnRight WHILE c( noMarkersPresent c) w( move move turnLeft w) IF c( rightIsClear c) i( turnLeft i) r) move m)
297,0.6875,DEF run m( IF c( frontIsClear c) i( pickMarker WHILE c( frontIsClear c) w( move w) i) REPEAT R=8 r( move turnRight REPEAT R=16 r( move turnLeft move move r) move r) move m)
304,0.8125,DEF run m( IF c( frontIsClear c) i( pickMarker WHILE c( frontIsClear c) w( move w) i) REPEAT R=18 r( move turnRight REPEAT R=16 r( move turnLeft move move r) move r) move m)
305,0.9375,DEF run m( IF c( frontIsClear c) i( pickMarker WHILE c( not c( rightIsClear c) c) w( WHILE c( leftIsClear c) w( turnRight w) w) i) REPEAT R=18 r( move turnRight REPEAT R=16 r( move turnLeft move move r) move r) move m)
307,1.0,DEF run m( IF c( frontIsClear c) i( pickMarker WHILE c( not c( rightIsClear c) c) w( WHILE c( leftIsClear c) w( turnRight w) w) i) REPEAT R=19 r( move turnRight REPEAT R=16 r( move turnLeft move move r) move r) move m)
