num_evaluations,best_reward,best_program
1,0.050347222222222224,DEF run m( WHILE c( leftIsClear c) w( WHILE c( frontIsClear c) w( move w) IF c( not c( noMarkersPresent c) c) i( turnRight IF c( frontIsClear c) i( putMarker putMarker move move turnLeft move i) turnRight i) w) pickMarker m)
5,0.06770833333333333,DEF run m( WHILE c( leftIsClear c) w( WHILE c( frontIsClear c) w( move w) IF c( not c( frontIsClear c) c) i( turnRight IF c( frontIsClear c) i( putMarker putMarker move move turnLeft move i) turnRight i) w) pickMarker m)
6,0.11458333333333334,DEF run m( WHILE c( leftIsClear c) w( WHILE c( frontIsClear c) w( move w) IF c( not c( frontIsClear c) c) i( turnRight IF c( frontIsClear c) i( putMarker turnRight move move turnLeft move i) turnRight i) w) pickMarker m)
8,0.23611111111111116,DEF run m( WHILE c( leftIsClear c) w( WHILE c( frontIsClear c) w( move w) IF c( not c( frontIsClear c) c) i( turnLeft IF c( frontIsClear c) i( putMarker turnRight move move turnLeft move i) turnRight i) w) pickMarker m)
15,0.4270833333333335,DEF run m( WHILE c( leftIsClear c) w( WHILE c( frontIsClear c) w( move w) IF c( not c( frontIsClear c) c) i( turnLeft IF c( frontIsClear c) i( turnLeft turnRight move move turnLeft move i) turnRight i) w) pickMarker m)
25,0.4600694444444446,DEF run m( WHILE c( leftIsClear c) w( WHILE c( frontIsClear c) w( move w) IF c( not c( frontIsClear c) c) i( turnLeft move i) w) pickMarker m)
28,0.6111111111111112,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) IF c( not c( frontIsClear c) c) i( turnLeft move i) w) pickMarker m)
30,0.6128472222222223,DEF run m( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) IF c( not c( frontIsClear c) c) i( turnLeft move i) w) turnRight move m)
31,0.8506944444444448,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) IF c( not c( frontIsClear c) c) i( turnLeft move i) w) turnRight move m)
1207,0.8715277777777781,DEF run m( pickMarker REPEAT R=8 r( WHILE c( frontIsClear c) w( move w) turnLeft r) WHILE c( rightIsClear c) w( move w) IF c( rightIsClear c) i( pickMarker i) WHILE c( noMarkersPresent c) w( pickMarker move turnRight w) turnLeft m)
5843,0.8871527777777781,DEF run m( WHILE c( noMarkersPresent c) w( REPEAT R=11 r( pickMarker move putMarker move r) REPEAT R=17 r( REPEAT R=6 r( turnRight move turnRight move r) WHILE c( not c( leftIsClear c) c) w( move w) r) w) m)
7847,0.9010416666666671,DEF run m( move REPEAT R=19 r( move move move turnRight IF c( not c( rightIsClear c) c) i( move WHILE c( frontIsClear c) w( turnRight move w) WHILE c( rightIsClear c) w( putMarker turnRight turnRight turnRight w) i) putMarker r) m)
7865,0.9236111111111115,DEF run m( move REPEAT R=19 r( move move move turnRight IF c( leftIsClear c) i( move WHILE c( frontIsClear c) w( turnRight move w) WHILE c( rightIsClear c) w( putMarker turnRight turnRight turnRight w) i) putMarker r) m)
26971,0.9340277777777783,DEF run m( WHILE c( frontIsClear c) w( move w) REPEAT R=19 r( move turnLeft IFELSE c( leftIsClear c) i( move pickMarker putMarker turnRight i) ELSE e( move pickMarker move move e) move move turnLeft r) m)
89185,0.9409722222222228,DEF run m( WHILE c( frontIsClear c) w( move w) REPEAT R=19 r( move IF c( frontIsClear c) i( move move move move turnLeft i) move turnLeft IF c( not c( frontIsClear c) c) i( move move putMarker i) pickMarker r) move m)
93716,0.9427083333333337,DEF run m( REPEAT R=18 r( putMarker REPEAT R=16 r( turnRight IF c( leftIsClear c) i( turnRight move move move i) r) pickMarker REPEAT R=2 r( move WHILE c( rightIsClear c) w( turnLeft move move w) r) r) m)
