num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
8,0.027777777777777787,DEF run m( turnLeft turnLeft move move IFELSE c( markersPresent c) i( putMarker turnLeft turnLeft move i) ELSE e( putMarker turnRight turnLeft e) m)
246,0.04861111111111112,DEF run m( turnLeft IF c( frontIsClear c) i( putMarker REPEAT R=13 r( move turnLeft r) i) move move IFELSE c( markersPresent c) i( putMarker turnLeft turnLeft move i) ELSE e( putMarker turnRight turnLeft e) m)
266,0.05555555555555557,DEF run m( turnLeft IF c( noMarkersPresent c) i( putMarker REPEAT R=13 r( move turnLeft r) i) move move IFELSE c( markersPresent c) i( putMarker turnLeft turnLeft move i) ELSE e( putMarker turnRight turnLeft e) m)
907,0.06250000000000001,DEF run m( WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( putMarker i) w) putMarker move m)
1039,0.08159722222222222,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( turnLeft move turnRight turnRight i) move i) ELSE e( putMarker e) IF c( frontIsClear c) i( putMarker i) w) putMarker move m)
1056,0.12673611111111113,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( turnLeft pickMarker i) move i) ELSE e( putMarker e) IF c( frontIsClear c) i( putMarker i) w) putMarker move m)
1316,0.13194444444444448,DEF run m( IF c( leftIsClear c) i( WHILE c( frontIsClear c) w( turnRight w) i) IF c( frontIsClear c) i( move pickMarker turnRight move i) WHILE c( frontIsClear c) w( turnRight w) WHILE c( noMarkersPresent c) w( turnRight putMarker move move w) m)
1324,0.2083333333333334,DEF run m( IF c( leftIsClear c) i( WHILE c( frontIsClear c) w( turnRight w) i) IF c( frontIsClear c) i( move i) WHILE c( frontIsClear c) w( turnRight w) WHILE c( noMarkersPresent c) w( turnRight putMarker move move w) m)
1327,0.3194444444444445,DEF run m( IF c( leftIsClear c) i( WHILE c( frontIsClear c) w( turnRight w) i) IF c( frontIsClear c) i( move i) turnLeft WHILE c( noMarkersPresent c) w( turnRight putMarker move move w) m)
