num_evaluations,best_reward,best_program
1,-0.375,DEF run m( move WHILE c( markersPresent c) w( IF c( frontIsClear c) i( move i) WHILE c( frontIsClear c) w( move w) move w) WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( pickMarker WHILE c( frontIsClear c) w( move turnLeft w) i) turnRight WHILE c( leftIsClear c) w( turnLeft move WHILE c( markersPresent c) w( pickMarker pickMarker turnLeft putMarker w) w) WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( turnLeft move move move move i) w) IFELSE c( frontIsClear c) i( IF c( rightIsClear c) i( move i) i) ELSE e( IF c( frontIsClear c) i( turnLeft i) e) w) m)
2,0.0,DEF run m( move WHILE c( markersPresent c) w( IF c( frontIsClear c) i( move i) WHILE c( frontIsClear c) w( move w) move w) WHILE c( leftIsClear c) w( IF c( markersPresent c) i( turnLeft putMarker i) pickMarker w) m)
10,0.003125,DEF run m( turnRight move m)
23,0.0125,DEF run m( REPEAT R=5 r( WHILE c( not c( frontIsClear c) c) w( move w) move move turnRight r) m)
24,0.028125,DEF run m( REPEAT R=9 r( WHILE c( not c( frontIsClear c) c) w( move w) move move turnRight r) m)
65,0.031249999999999997,DEF run m( REPEAT R=9 r( WHILE c( not c( frontIsClear c) c) w( move w) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( turnLeft pickMarker i) ELSE e( turnRight move e) w) move turnRight r) m)
68,0.034375,DEF run m( REPEAT R=9 r( WHILE c( not c( frontIsClear c) c) w( move w) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( turnLeft pickMarker i) ELSE e( turnRight move e) w) move turnRight r) m)
74,0.0375,DEF run m( REPEAT R=9 r( WHILE c( not c( frontIsClear c) c) w( move w) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move pickMarker i) ELSE e( turnRight move e) w) move turnRight r) m)
76,0.059375,DEF run m( REPEAT R=9 r( WHILE c( not c( frontIsClear c) c) w( move w) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move pickMarker i) ELSE e( turnRight move e) w) move pickMarker r) m)
80,0.05937500000000001,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move pickMarker i) ELSE e( turnRight move e) w) move pickMarker r) m)
104,0.06875,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move pickMarker i) ELSE e( turnRight move e) w) move pickMarker r) m)
123,0.071875,DEF run m( REPEAT R=9 r( move WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move pickMarker i) ELSE e( turnRight move e) w) move pickMarker r) m)
170,0.07500000000000001,DEF run m( REPEAT R=9 r( move WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move pickMarker i) ELSE e( turnRight move e) w) move pickMarker r) m)
771,0.10000000000000003,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( leftIsClear c) w( move WHILE c( frontIsClear c) w( turnRight pickMarker move move w) turnLeft putMarker w) w) m)
799,0.10625000000000001,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( leftIsClear c) w( move WHILE c( frontIsClear c) w( turnRight pickMarker move move w) turnLeft putMarker w) w) m)
818,0.11875000000000004,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( turnRight pickMarker move move w) turnLeft putMarker w) w) m)
856,0.14375000000000002,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( turnRight pickMarker move move w) turnLeft putMarker w) w) m)
918,0.175,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( turnRight pickMarker move move w) turnLeft putMarker w) w) m)
958,0.20625000000000002,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( turnRight putMarker move move w) turnLeft putMarker w) w) m)
