num_evaluations,best_reward,best_program
1,-1.0,DEF run m( putMarker m)
2,0.0,DEF run m( move m)
248,0.416889880952381,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight turnRight turnLeft w) IF c( frontIsClear c) i( move move move move i) putMarker IF c( markersPresent c) i( turnRight turnRight i) WHILE c( noMarkersPresent c) w( move w) m)
1113,0.448139880952381,DEF run m( IF c( frontIsClear c) i( move WHILE c( noMarkersPresent c) w( move move w) turnRight i) WHILE c( markersPresent c) w( turnRight putMarker move w) m)
1348,0.5004464285714285,DEF run m( IF c( frontIsClear c) i( pickMarker WHILE c( noMarkersPresent c) w( move move w) turnRight i) WHILE c( markersPresent c) w( turnRight putMarker move w) m)
1495,0.5082589285714285,DEF run m( IF c( frontIsClear c) i( pickMarker WHILE c( noMarkersPresent c) w( move move w) turnRight i) WHILE c( markersPresent c) w( turnRight putMarker REPEAT R=17 r( move move move move r) WHILE c( frontIsClear c) w( move w) w) m)
1543,0.5160714285714286,DEF run m( IF c( frontIsClear c) i( pickMarker WHILE c( noMarkersPresent c) w( move move w) turnRight i) WHILE c( markersPresent c) w( turnRight putMarker REPEAT R=17 r( move move move move r) WHILE c( rightIsClear c) w( move w) w) m)
1631,0.5264880952380953,DEF run m( IF c( frontIsClear c) i( pickMarker WHILE c( noMarkersPresent c) w( move move w) turnRight i) WHILE c( markersPresent c) w( turnRight putMarker REPEAT R=17 r( move move move move r) IF c( noMarkersPresent c) i( move i) w) m)
1633,0.5436011904761905,DEF run m( IF c( frontIsClear c) i( move WHILE c( noMarkersPresent c) w( move move w) turnRight i) WHILE c( markersPresent c) w( turnRight putMarker REPEAT R=17 r( move move move move r) IF c( noMarkersPresent c) i( move i) w) m)
1784,0.5629464285714286,DEF run m( IF c( frontIsClear c) i( move WHILE c( noMarkersPresent c) w( move move w) turnRight i) WHILE c( markersPresent c) w( turnRight putMarker REPEAT R=3 r( move move move move r) IF c( noMarkersPresent c) i( move i) w) m)
1812,0.6474702380952382,DEF run m( IF c( frontIsClear c) i( move WHILE c( noMarkersPresent c) w( move move w) turnRight i) WHILE c( markersPresent c) w( turnRight putMarker REPEAT R=3 r( move turnRight move move r) IF c( noMarkersPresent c) i( move i) w) m)
2199,0.9211309523809524,DEF run m( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move i) IF c( rightIsClear c) i( pickMarker move turnRight move i) IFELSE c( markersPresent c) i( putMarker move i) ELSE e( move e) w) m)
2308,0.9523809523809524,DEF run m( WHILE c( frontIsClear c) w( IF c( noMarkersPresent c) i( move i) IF c( rightIsClear c) i( pickMarker move turnRight move i) IFELSE c( markersPresent c) i( putMarker move i) ELSE e( pickMarker e) w) m)
16157,1.0,DEF run m( WHILE c( frontIsClear c) w( IF c( markersPresent c) i( putMarker i) move w) IF c( markersPresent c) i( putMarker turnRight i) m)
