num_evaluations,best_reward,best_program
1,0.0,DEF run m( REPEAT R=2 r( WHILE c( markersPresent c) w( REPEAT R=11 r( move r) w) r) m)
2,0.008680555555555556,DEF run m( IFELSE c( frontIsClear c) i( turnRight putMarker i) ELSE e( WHILE c( leftIsClear c) w( REPEAT R=4 r( move r) w) e) m)
4,0.09722222222222222,DEF run m( IFELSE c( frontIsClear c) i( putMarker turnRight REPEAT R=11 r( WHILE c( rightIsClear c) w( move w) r) i) ELSE e( WHILE c( leftIsClear c) w( putMarker w) e) m)
30,0.11458333333333333,DEF run m( IFELSE c( frontIsClear c) i( turnRight putMarker REPEAT R=7 r( move r) i) ELSE e( turnRight e) m)
59,0.12326388888888887,DEF run m( REPEAT R=2 r( turnRight WHILE c( leftIsClear c) w( move w) r) m)
68,0.2083333333333334,DEF run m( REPEAT R=12 r( move turnLeft r) IF c( noMarkersPresent c) i( turnRight move i) m)
193,0.3090277777777778,DEF run m( REPEAT R=12 r( IF c( frontIsClear c) i( turnLeft i) turnRight move r) m)
251,0.8177083333333337,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( not c( frontIsClear c) c) i( turnRight i) ELSE e( move e) move w) m)
569,0.8263888888888893,DEF run m( IF c( frontIsClear c) i( turnRight i) move turnRight WHILE c( noMarkersPresent c) w( move turnLeft w) m)
577,0.8333333333333336,DEF run m( IF c( frontIsClear c) i( turnRight i) turnRight move WHILE c( noMarkersPresent c) w( turnLeft move w) m)
1245,0.8506944444444448,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker turnLeft e) w) IF c( leftIsClear c) i( REPEAT R=1 r( move turnRight r) i) m)
1551,0.8524305555555559,DEF run m( move move WHILE c( leftIsClear c) w( move turnLeft w) WHILE c( noMarkersPresent c) w( move turnLeft w) m)
8951,0.8559027777777782,DEF run m( move move move move turnRight move turnRight move REPEAT R=18 r( turnRight move REPEAT R=18 r( turnRight move REPEAT R=18 r( turnRight move r) r) REPEAT R=18 r( turnRight move r) r) m)
16133,0.8697916666666671,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) IF c( noMarkersPresent c) i( move move i) w) m)
36488,0.8923611111111115,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) REPEAT R=4 r( move turnRight r) IF c( frontIsClear c) i( move move i) w) m)
36556,0.9010416666666672,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) REPEAT R=5 r( move turnRight r) w) m)
36588,0.9079861111111116,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) REPEAT R=12 r( move turnRight r) w) m)
