num_evaluations,best_reward,best_program
1,0.027777777777777787,DEF run m( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnRight move e) IF c( noMarkersPresent c) i( turnRight i) REPEAT R=3 r( turnLeft r) m)
5,0.05555555555555557,DEF run m( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnRight move e) turnRight putMarker turnLeft m)
320,0.08854166666666667,DEF run m( IF c( rightIsClear c) i( turnLeft move i) WHILE c( frontIsClear c) w( putMarker move w) m)
1434,0.09027777777777779,DEF run m( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( move pickMarker e) WHILE c( noMarkersPresent c) w( putMarker move w) m)
6744,0.09201388888888887,DEF run m( IF c( noMarkersPresent c) i( turnRight move i) IFELSE c( frontIsClear c) i( move i) ELSE e( move e) WHILE c( frontIsClear c) w( move putMarker w) m)
7092,0.16666666666666666,DEF run m( turnLeft move REPEAT R=2 r( turnLeft r) WHILE c( leftIsClear c) w( IFELSE c( noMarkersPresent c) i( putMarker i) ELSE e( move e) w) m)
8862,0.17534722222222224,DEF run m( WHILE c( frontIsClear c) w( putMarker move w) turnLeft WHILE c( leftIsClear c) w( putMarker move w) m)
10220,0.25520833333333337,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move move IF c( frontIsClear c) i( turnLeft move i) w) m)
15541,0.2916666666666667,DEF run m( REPEAT R=13 r( IFELSE c( frontIsClear c) i( putMarker i) ELSE e( turnLeft e) move r) m)
37039,0.4548611111111111,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnLeft e) w) REPEAT R=1 r( turnLeft r) m)
37040,0.4895833333333334,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker i) ELSE e( turnLeft e) move w) REPEAT R=1 r( turnLeft r) m)
62944,0.5260416666666669,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( turnLeft e) w) m)
84866,0.5295138888888891,DEF run m( WHILE c( rightIsClear c) w( IFELSE c( noMarkersPresent c) i( putMarker i) ELSE e( move e) IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( move turnLeft e) w) m)
109129,0.5729166666666667,DEF run m( WHILE c( noMarkersPresent c) w( REPEAT R=3 r( pickMarker r) putMarker move IF c( not c( frontIsClear c) c) i( turnLeft i) WHILE c( markersPresent c) w( move w) w) m)
274670,0.6527777777777779,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft putMarker IF c( frontIsClear c) i( move i) WHILE c( markersPresent c) w( move w) w) m)
402296,0.7083333333333335,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( noMarkersPresent c) i( putMarker turnLeft i) ELSE e( move e) IF c( not c( frontIsClear c) c) i( move i) w) m)
402387,0.9826388888888892,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( noMarkersPresent c) i( putMarker turnLeft i) ELSE e( move e) REPEAT R=12 r( IF c( not c( frontIsClear c) c) i( turnLeft i) r) w) m)
