num_evaluations,best_reward,best_program
1,0.0,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( move i) ELSE e( move move turnRight e) w) i) m)
40,0.03125,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( pickMarker i) ELSE e( move move turnRight e) w) i) m)
44,0.125,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( pickMarker i) ELSE e( move move e) w) i) m)
48,0.1875,DEF run m( turnRight IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( IFELSE c( markersPresent c) i( pickMarker i) ELSE e( move e) w) i) m)
514,0.21875,DEF run m( IF c( frontIsClear c) i( move WHILE c( frontIsClear c) w( move REPEAT R=9 r( turnRight move pickMarker move r) IF c( frontIsClear c) i( pickMarker i) w) i) m)
771,0.28125,DEF run m( IFELSE c( markersPresent c) i( move i) ELSE e( IF c( rightIsClear c) i( move turnRight REPEAT R=19 r( pickMarker move turnLeft move r) i) e) WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( pickMarker w) w) m)
892,0.3125,DEF run m( IFELSE c( markersPresent c) i( move i) ELSE e( IF c( rightIsClear c) i( move turnRight REPEAT R=19 r( pickMarker move turnLeft move r) i) e) WHILE c( frontIsClear c) w( pickMarker move w) m)
900,0.34375,DEF run m( IFELSE c( markersPresent c) i( move i) ELSE e( IF c( rightIsClear c) i( move turnRight REPEAT R=6 r( pickMarker move turnLeft move r) i) e) WHILE c( frontIsClear c) w( pickMarker move w) m)
917,0.40625,DEF run m( IFELSE c( markersPresent c) i( move i) ELSE e( IF c( noMarkersPresent c) i( move turnRight REPEAT R=6 r( pickMarker move turnLeft move r) i) e) WHILE c( frontIsClear c) w( pickMarker move w) m)
3037,0.4375,DEF run m( IF c( frontIsClear c) i( move move move turnLeft pickMarker i) REPEAT R=17 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) pickMarker r) IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) m)
3159,0.46875,DEF run m( IF c( frontIsClear c) i( move move move turnLeft pickMarker i) REPEAT R=17 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight move e) pickMarker r) IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) m)
8367,0.5,DEF run m( pickMarker pickMarker move WHILE c( noMarkersPresent c) w( move turnRight IF c( noMarkersPresent c) i( move i) w) turnRight pickMarker m)
61792,0.5625,DEF run m( move pickMarker turnLeft move REPEAT R=12 r( pickMarker move pickMarker pickMarker turnLeft move r) turnLeft WHILE c( rightIsClear c) w( pickMarker move turnLeft move w) IF c( markersPresent c) i( putMarker i) WHILE c( frontIsClear c) w( move turnLeft w) m)
61837,0.71875,DEF run m( move pickMarker turnLeft move REPEAT R=12 r( pickMarker move pickMarker pickMarker turnLeft move r) turnLeft WHILE c( noMarkersPresent c) w( pickMarker move turnLeft move w) IF c( markersPresent c) i( putMarker i) WHILE c( frontIsClear c) w( move turnLeft w) m)
61849,0.75,DEF run m( move pickMarker turnLeft move REPEAT R=12 r( pickMarker move pickMarker pickMarker turnLeft move r) turnLeft WHILE c( noMarkersPresent c) w( pickMarker move turnRight move w) IF c( markersPresent c) i( putMarker i) WHILE c( frontIsClear c) w( move turnLeft w) m)
