num_evaluations,best_reward,best_program
1,-1.0,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight move w) REPEAT R=5 r( putMarker turnRight move move r) IF c( rightIsClear c) i( turnLeft turnLeft i) turnRight putMarker i) WHILE c( frontIsClear c) w( turnRight w) IF c( frontIsClear c) i( move i) move w) m)
2,0.0,DEF run m( turnRight m)
28,0.027777777777777787,DEF run m( pickMarker m)
49,0.23958333333333337,DEF run m( REPEAT R=16 r( WHILE c( rightIsClear c) w( turnRight IF c( frontIsClear c) i( move move i) turnLeft WHILE c( markersPresent c) w( move turnRight move pickMarker w) turnLeft w) turnRight r) pickMarker m)
62,0.24826388888888892,DEF run m( REPEAT R=16 r( WHILE c( rightIsClear c) w( move IF c( frontIsClear c) i( move move i) turnLeft WHILE c( markersPresent c) w( move turnRight move pickMarker w) turnLeft w) turnRight r) pickMarker m)
79,0.25694444444444453,DEF run m( REPEAT R=16 r( WHILE c( rightIsClear c) w( move IF c( frontIsClear c) i( move move i) turnLeft WHILE c( markersPresent c) w( move turnRight move pickMarker w) move w) turnRight r) pickMarker m)
87,0.3229166666666667,DEF run m( REPEAT R=16 r( WHILE c( rightIsClear c) w( move IF c( frontIsClear c) i( move move i) move WHILE c( markersPresent c) w( move turnRight move pickMarker w) move w) turnRight r) pickMarker m)
120,0.40625,DEF run m( REPEAT R=16 r( WHILE c( rightIsClear c) w( move IF c( frontIsClear c) i( move move i) move WHILE c( leftIsClear c) w( move turnRight move pickMarker w) move w) turnRight r) pickMarker m)
136,0.41493055555555564,DEF run m( REPEAT R=16 r( WHILE c( rightIsClear c) w( move turnRight move WHILE c( leftIsClear c) w( move turnRight move pickMarker w) move w) turnRight r) pickMarker m)
139,0.4600694444444445,DEF run m( REPEAT R=16 r( WHILE c( rightIsClear c) w( move move turnRight move turnRight move WHILE c( leftIsClear c) w( move turnRight move pickMarker w) move w) turnRight r) pickMarker m)
145,0.5815972222222223,DEF run m( REPEAT R=16 r( WHILE c( rightIsClear c) w( move turnRight turnRight move WHILE c( leftIsClear c) w( move turnRight move pickMarker w) move w) turnRight r) pickMarker m)
155,0.5885416666666669,DEF run m( REPEAT R=16 r( WHILE c( rightIsClear c) w( turnLeft move move pickMarker w) turnRight r) pickMarker m)
156,0.8489583333333339,DEF run m( REPEAT R=16 r( WHILE c( frontIsClear c) w( turnLeft move move pickMarker w) turnRight r) pickMarker m)
1032,0.8888888888888892,DEF run m( REPEAT R=15 r( turnRight turnLeft turnRight move turnRight move WHILE c( leftIsClear c) w( turnRight move IF c( frontIsClear c) i( move i) turnLeft turnRight move pickMarker w) move turnLeft r) turnRight turnLeft m)
1805,0.9010416666666669,DEF run m( REPEAT R=19 r( pickMarker turnRight turnLeft move pickMarker IF c( rightIsClear c) i( turnLeft turnRight turnRight move WHILE c( not c( frontIsClear c) c) w( turnLeft w) move REPEAT R=13 r( turnRight r) pickMarker move i) pickMarker move r) m)
1932,0.9079861111111116,DEF run m( REPEAT R=19 r( pickMarker turnRight turnLeft move pickMarker IF c( rightIsClear c) i( turnLeft turnRight turnRight move WHILE c( not c( frontIsClear c) c) w( turnLeft w) turnRight pickMarker move i) pickMarker move r) m)
1935,0.9166666666666671,DEF run m( REPEAT R=19 r( pickMarker turnRight turnLeft move pickMarker IF c( frontIsClear c) i( turnLeft turnRight turnRight move WHILE c( not c( frontIsClear c) c) w( turnLeft w) turnRight pickMarker move i) pickMarker move r) m)
1951,0.9270833333333337,DEF run m( REPEAT R=19 r( pickMarker turnRight turnLeft move pickMarker IF c( frontIsClear c) i( turnLeft turnRight turnRight move WHILE c( not c( frontIsClear c) c) w( turnRight w) turnRight pickMarker move i) pickMarker move r) m)
3041,0.9305555555555556,DEF run m( turnLeft REPEAT R=19 r( WHILE c( noMarkersPresent c) w( move pickMarker turnLeft IFELSE c( frontIsClear c) i( move move turnRight move i) ELSE e( move move e) move move w) turnLeft pickMarker r) m)
3044,0.9531250000000004,DEF run m( turnLeft REPEAT R=19 r( WHILE c( noMarkersPresent c) w( move pickMarker turnLeft IFELSE c( frontIsClear c) i( move move turnRight move i) ELSE e( move move e) turnRight move w) turnLeft pickMarker r) m)
3060,1.0000000000000002,DEF run m( turnLeft REPEAT R=19 r( WHILE c( noMarkersPresent c) w( move pickMarker turnLeft IFELSE c( frontIsClear c) i( move move turnRight move i) ELSE e( move move turnLeft move turnRight e) turnRight move w) turnLeft pickMarker r) m)
