num_evaluations,best_reward,best_program
1,0.026041666666666675,DEF run m( move m)
3,0.39409722222222227,DEF run m( REPEAT R=12 r( WHILE c( frontIsClear c) w( turnRight move WHILE c( not c( leftIsClear c) c) w( move turnRight move w) WHILE c( rightIsClear c) w( turnRight move turnLeft move w) w) turnRight r) m)
4,0.5920138888888891,DEF run m( REPEAT R=12 r( WHILE c( frontIsClear c) w( turnRight move WHILE c( not c( noMarkersPresent c) c) w( move turnRight move w) WHILE c( rightIsClear c) w( turnRight move turnLeft move w) w) turnRight r) m)
14,0.7204861111111114,DEF run m( REPEAT R=12 r( WHILE c( frontIsClear c) w( turnRight move WHILE c( not c( noMarkersPresent c) c) w( move turnRight move w) WHILE c( rightIsClear c) w( turnRight move putMarker move w) w) turnRight r) m)
19,0.7274305555555559,DEF run m( REPEAT R=16 r( WHILE c( frontIsClear c) w( turnRight move WHILE c( not c( noMarkersPresent c) c) w( move turnRight move w) WHILE c( rightIsClear c) w( turnRight move putMarker move w) w) turnRight r) m)
38,0.7829861111111114,DEF run m( REPEAT R=16 r( WHILE c( frontIsClear c) w( move move WHILE c( not c( noMarkersPresent c) c) w( move turnRight move w) WHILE c( rightIsClear c) w( turnRight move putMarker move w) w) turnRight r) m)
41,0.791666666666667,DEF run m( REPEAT R=16 r( WHILE c( frontIsClear c) w( move move WHILE c( not c( noMarkersPresent c) c) w( move turnRight move w) WHILE c( rightIsClear c) w( turnRight move putMarker move w) w) turnLeft r) m)
44,0.8281250000000003,DEF run m( REPEAT R=16 r( WHILE c( frontIsClear c) w( move move WHILE c( not c( rightIsClear c) c) w( move turnRight move w) WHILE c( rightIsClear c) w( turnRight move putMarker move w) w) turnLeft r) m)
129,0.8333333333333338,DEF run m( REPEAT R=16 r( WHILE c( frontIsClear c) w( move move WHILE c( not c( rightIsClear c) c) w( move turnRight putMarker w) WHILE c( rightIsClear c) w( turnRight move putMarker move w) w) turnLeft r) m)
195,0.8663194444444449,DEF run m( REPEAT R=16 r( WHILE c( frontIsClear c) w( move move WHILE c( not c( rightIsClear c) c) w( move turnRight putMarker w) move w) turnLeft r) m)
678,0.866319444444445,DEF run m( REPEAT R=5 r( REPEAT R=5 r( IF c( frontIsClear c) i( move turnRight i) turnLeft r) r) WHILE c( noMarkersPresent c) w( REPEAT R=10 r( pickMarker pickMarker WHILE c( rightIsClear c) w( move move putMarker pickMarker turnLeft w) move r) w) m)
689,0.8680555555555559,DEF run m( REPEAT R=5 r( REPEAT R=5 r( IF c( frontIsClear c) i( move turnRight i) turnLeft r) r) WHILE c( noMarkersPresent c) w( REPEAT R=10 r( pickMarker turnRight WHILE c( rightIsClear c) w( move move putMarker pickMarker turnLeft w) move r) w) m)
1761,0.8802083333333337,DEF run m( WHILE c( not c( frontIsClear c) c) w( move turnLeft w) REPEAT R=15 r( WHILE c( rightIsClear c) w( turnRight WHILE c( frontIsClear c) w( turnRight move move move turnRight move w) turnRight w) move r) m)
1767,0.913194444444445,DEF run m( WHILE c( not c( frontIsClear c) c) w( move turnLeft w) REPEAT R=15 r( WHILE c( rightIsClear c) w( turnRight WHILE c( frontIsClear c) w( turnRight move move move turnRight move w) turnLeft w) move r) m)
1772,0.9149305555555561,DEF run m( WHILE c( not c( frontIsClear c) c) w( move turnLeft w) REPEAT R=15 r( WHILE c( rightIsClear c) w( turnRight WHILE c( frontIsClear c) w( turnRight move move move turnRight move w) move putMarker w) move r) m)
1790,0.9236111111111115,DEF run m( move putMarker turnRight putMarker move REPEAT R=15 r( WHILE c( rightIsClear c) w( turnRight WHILE c( frontIsClear c) w( turnRight move move move turnRight move w) move putMarker w) move r) m)
1934,0.9270833333333338,DEF run m( move putMarker turnLeft REPEAT R=15 r( WHILE c( rightIsClear c) w( turnRight WHILE c( frontIsClear c) w( turnRight move move move turnRight move w) move putMarker w) move r) m)
1993,0.944444444444445,DEF run m( turnLeft putMarker turnLeft REPEAT R=15 r( WHILE c( rightIsClear c) w( turnRight WHILE c( frontIsClear c) w( turnRight move move move turnRight move w) move putMarker w) move r) m)
2018,0.9479166666666673,DEF run m( turnLeft putMarker turnLeft REPEAT R=15 r( WHILE c( rightIsClear c) w( turnRight WHILE c( frontIsClear c) w( turnRight move move move turnRight move w) move move turnLeft w) move r) m)
4001,0.9565972222222229,DEF run m( REPEAT R=15 r( WHILE c( rightIsClear c) w( turnLeft pickMarker turnRight turnLeft move WHILE c( frontIsClear c) w( turnRight move move move turnRight move w) turnLeft move turnLeft w) move r) m)
4009,0.9583333333333338,DEF run m( REPEAT R=15 r( WHILE c( rightIsClear c) w( turnLeft pickMarker turnRight turnLeft move WHILE c( frontIsClear c) w( turnRight move move move turnRight move w) turnLeft pickMarker w) move r) m)
4049,0.960069444444445,DEF run m( REPEAT R=19 r( WHILE c( rightIsClear c) w( turnLeft pickMarker turnRight turnLeft move WHILE c( frontIsClear c) w( turnRight move move move turnRight move w) turnLeft pickMarker w) move r) m)
