num_evaluations,best_reward,best_program
1,0.0,DEF run m( move m)
3,0.02083333333333334,DEF run m( turnLeft IF c( frontIsClear c) i( move turnLeft putMarker turnLeft i) m)
4,0.027777777777777787,DEF run m( turnLeft putMarker m)
16,0.08506944444444443,DEF run m( turnLeft WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( putMarker turnRight turnLeft move w) w) m)
65,0.10069444444444443,DEF run m( move turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( putMarker turnRight turnLeft move w) w) m)
88,0.12847222222222224,DEF run m( move turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) WHILE c( frontIsClear c) w( WHILE c( noMarkersPresent c) w( putMarker turnRight turnLeft move w) w) m)
128,0.4444444444444444,DEF run m( move turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) WHILE c( frontIsClear c) w( WHILE c( noMarkersPresent c) w( putMarker turnRight move move w) w) m)
158,0.5277777777777778,DEF run m( move turnLeft WHILE c( not c( frontIsClear c) c) w( turnLeft w) WHILE c( frontIsClear c) w( WHILE c( noMarkersPresent c) w( putMarker turnRight move move w) w) m)
400,0.5729166666666667,DEF run m( pickMarker WHILE c( frontIsClear c) w( IFELSE c( noMarkersPresent c) i( putMarker i) ELSE e( move WHILE c( not c( frontIsClear c) c) w( turnLeft w) e) w) m)
427,0.6006944444444445,DEF run m( turnLeft move putMarker turnRight WHILE c( frontIsClear c) w( IFELSE c( noMarkersPresent c) i( putMarker i) ELSE e( move WHILE c( not c( frontIsClear c) c) w( turnLeft w) e) w) m)
431,0.654513888888889,DEF run m( turnLeft move putMarker move WHILE c( frontIsClear c) w( IFELSE c( noMarkersPresent c) i( putMarker i) ELSE e( move WHILE c( not c( frontIsClear c) c) w( turnLeft w) e) w) m)
510,0.6562500000000002,DEF run m( turnRight move move putMarker move WHILE c( frontIsClear c) w( IFELSE c( noMarkersPresent c) i( putMarker i) ELSE e( move WHILE c( not c( frontIsClear c) c) w( turnLeft w) e) w) m)
5381,0.7395833333333336,DEF run m( putMarker turnLeft WHILE c( markersPresent c) w( move move turnRight turnLeft turnLeft turnLeft turnLeft move WHILE c( noMarkersPresent c) w( putMarker turnLeft w) w) WHILE c( frontIsClear c) w( turnLeft w) turnLeft turnLeft m)
5484,0.8107638888888893,DEF run m( turnLeft putMarker turnLeft WHILE c( markersPresent c) w( move move turnRight turnLeft turnLeft turnLeft turnLeft move WHILE c( noMarkersPresent c) w( putMarker turnLeft w) w) WHILE c( frontIsClear c) w( turnLeft w) turnLeft turnLeft m)
5543,0.8593750000000002,DEF run m( turnLeft putMarker turnLeft WHILE c( markersPresent c) w( move turnLeft turnLeft turnLeft move WHILE c( noMarkersPresent c) w( putMarker turnLeft w) w) WHILE c( frontIsClear c) w( turnLeft w) turnLeft turnLeft m)
5589,0.8940972222222225,DEF run m( turnLeft putMarker turnRight WHILE c( markersPresent c) w( move turnLeft turnLeft turnLeft move WHILE c( noMarkersPresent c) w( putMarker turnLeft w) w) WHILE c( frontIsClear c) w( turnLeft w) turnLeft turnLeft m)
5602,0.9045138888888891,DEF run m( turnLeft putMarker turnRight WHILE c( markersPresent c) w( move turnLeft turnLeft turnLeft move WHILE c( noMarkersPresent c) w( putMarker move w) w) WHILE c( frontIsClear c) w( turnLeft w) turnLeft turnLeft m)
10682,0.9236111111111114,DEF run m( turnRight putMarker turnLeft WHILE c( markersPresent c) w( move move WHILE c( noMarkersPresent c) w( putMarker turnLeft move w) w) WHILE c( frontIsClear c) w( turnLeft w) turnLeft turnLeft m)
10840,0.9305555555555557,DEF run m( turnRight putMarker turnLeft WHILE c( markersPresent c) w( turnRight move WHILE c( noMarkersPresent c) w( putMarker turnLeft move w) w) WHILE c( frontIsClear c) w( turnLeft w) turnLeft turnLeft m)
10902,0.9652777777777779,DEF run m( move putMarker turnLeft WHILE c( markersPresent c) w( turnRight move WHILE c( noMarkersPresent c) w( putMarker turnLeft move w) w) WHILE c( frontIsClear c) w( turnLeft w) turnLeft turnLeft m)
11807,1.0000000000000002,DEF run m( WHILE c( noMarkersPresent c) w( putMarker WHILE c( noMarkersPresent c) w( move IF c( leftIsClear c) i( pickMarker i) w) IF c( markersPresent c) i( move i) move WHILE c( markersPresent c) w( turnLeft move w) w) move putMarker m)
