num_evaluations,best_reward,best_program
0,0.0,DEF run m( move m)
41,0.03125,DEF run m( REPEAT R=16 r( move WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( turnLeft pickMarker w) w) r) m)
51,0.0625,DEF run m( REPEAT R=9 r( move WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnLeft pickMarker w) w) r) m)
63,0.09375,DEF run m( REPEAT R=9 r( move WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( turnLeft pickMarker w) w) r) m)
98,0.125,DEF run m( REPEAT R=12 r( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move turnLeft pickMarker w) move REPEAT R=7 r( move r) w) WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( turnLeft pickMarker w) w) r) m)
146,0.15625,DEF run m( REPEAT R=8 r( WHILE c( frontIsClear c) w( WHILE c( rightIsClear c) w( move turnLeft pickMarker w) move REPEAT R=7 r( move r) w) turnLeft r) m)
163,0.21875,DEF run m( REPEAT R=19 r( WHILE c( frontIsClear c) w( WHILE c( rightIsClear c) w( move turnLeft pickMarker w) move REPEAT R=7 r( turnLeft move turnLeft move r) w) turnLeft r) m)
214,0.34375,DEF run m( REPEAT R=8 r( WHILE c( frontIsClear c) w( WHILE c( rightIsClear c) w( move turnLeft pickMarker w) move REPEAT R=7 r( turnLeft move turnRight r) w) move r) m)
235,0.40625,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( WHILE c( rightIsClear c) w( move IF c( not c( frontIsClear c) c) i( turnRight i) pickMarker w) IF c( frontIsClear c) i( move i) WHILE c( frontIsClear c) w( turnLeft w) w) move r) m)
754,0.4375,DEF run m( REPEAT R=12 r( WHILE c( leftIsClear c) w( WHILE c( noMarkersPresent c) w( move IF c( leftIsClear c) i( turnRight i) pickMarker w) move turnRight w) turnRight r) m)
3226,0.46875,DEF run m( REPEAT R=4 r( WHILE c( leftIsClear c) w( WHILE c( noMarkersPresent c) w( move IF c( leftIsClear c) i( REPEAT R=8 r( move r) move move turnLeft i) pickMarker w) turnRight w) move turnRight r) m)
3820,0.5,DEF run m( REPEAT R=17 r( WHILE c( not c( frontIsClear c) c) w( WHILE c( noMarkersPresent c) w( move IF c( leftIsClear c) i( REPEAT R=8 r( move r) move move turnLeft i) pickMarker w) move w) move r) m)
74941,0.53125,DEF run m( REPEAT R=2 r( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( turnRight pickMarker REPEAT R=2 r( move move turnLeft r) w) w) move w) IF c( frontIsClear c) i( putMarker i) r) m)
75769,0.59375,DEF run m( REPEAT R=6 r( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move WHILE c( frontIsClear c) w( turnRight pickMarker REPEAT R=2 r( IF c( frontIsClear c) i( move i) move turnLeft r) w) w) move w) putMarker r) m)
