num_evaluations,best_reward,best_program
0,0.027777777777777787,DEF run m( IF c( frontIsClear c) i( WHILE c( leftIsClear c) w( REPEAT R=15 r( move r) w) IF c( rightIsClear c) i( REPEAT R=5 r( move move turnLeft move r) turnLeft IF c( markersPresent c) i( pickMarker turnLeft turnRight pickMarker turnLeft turnRight i) i) IFELSE c( frontIsClear c) i( WHILE c( leftIsClear c) w( move turnRight move move w) i) ELSE e( IF c( rightIsClear c) i( move move move turnLeft i) e) move move turnLeft i) m)
106,0.25000000000000006,DEF run m( IFELSE c( markersPresent c) i( move REPEAT R=12 r( move move turnLeft pickMarker r) move i) ELSE e( turnRight e) turnLeft WHILE c( frontIsClear c) w( move turnRight move move w) m)
145,0.28472222222222227,DEF run m( IFELSE c( leftIsClear c) i( move REPEAT R=14 r( move move turnLeft pickMarker r) move i) ELSE e( turnRight e) turnRight move turnRight m)
146,0.38888888888888906,DEF run m( IFELSE c( leftIsClear c) i( turnRight REPEAT R=14 r( move move turnLeft pickMarker r) move i) ELSE e( turnRight e) turnRight move turnRight m)
165,0.4722222222222224,DEF run m( IFELSE c( frontIsClear c) i( turnRight REPEAT R=17 r( move move turnLeft pickMarker r) turnLeft i) ELSE e( WHILE c( frontIsClear c) w( WHILE c( not c( markersPresent c) c) w( move move pickMarker pickMarker w) w) e) turnLeft m)
394,0.5000000000000001,DEF run m( IFELSE c( markersPresent c) i( turnRight REPEAT R=18 r( move move turnLeft pickMarker r) turnRight IF c( noMarkersPresent c) i( move i) i) ELSE e( move e) move m)
486,0.5277777777777778,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=16 r( move r) REPEAT R=19 r( move move turnLeft pickMarker r) WHILE c( markersPresent c) w( move w) i) ELSE e( move e) turnRight m)
634,0.5555555555555556,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=6 r( turnLeft pickMarker r) REPEAT R=19 r( move move turnLeft pickMarker r) turnRight i) ELSE e( turnRight e) move m)
772,0.6111111111111113,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=15 r( move pickMarker r) REPEAT R=19 r( move move turnLeft pickMarker r) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move w) w) i) ELSE e( move e) turnLeft move m)
1136,0.6163194444444446,DEF run m( IFELSE c( leftIsClear c) i( REPEAT R=15 r( move IF c( frontIsClear c) i( IF c( frontIsClear c) i( turnRight pickMarker i) i) r) REPEAT R=19 r( move move turnLeft pickMarker r) move i) ELSE e( move e) turnLeft m)
1296,0.6284722222222225,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=15 r( move IF c( frontIsClear c) i( IF c( frontIsClear c) i( turnRight pickMarker i) i) r) REPEAT R=19 r( move move turnRight pickMarker r) move i) ELSE e( move e) move m)
1360,0.6493055555555558,DEF run m( IFELSE c( markersPresent c) i( REPEAT R=19 r( move IF c( frontIsClear c) i( IF c( frontIsClear c) i( turnRight pickMarker i) i) r) REPEAT R=19 r( move move turnRight pickMarker r) move i) ELSE e( move e) turnLeft m)
1406,0.6562500000000001,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=19 r( move IF c( frontIsClear c) i( IF c( frontIsClear c) i( turnRight pickMarker i) i) r) REPEAT R=19 r( move move turnLeft pickMarker r) move i) ELSE e( move e) move m)
2232,0.6753472222222222,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=19 r( move IF c( frontIsClear c) i( IF c( frontIsClear c) i( pickMarker i) turnRight i) r) REPEAT R=19 r( move move turnLeft pickMarker r) move i) ELSE e( turnRight e) pickMarker m)
2416,0.7065972222222224,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=19 r( move IF c( frontIsClear c) i( pickMarker turnLeft move i) r) REPEAT R=19 r( move move turnLeft pickMarker r) move i) ELSE e( turnLeft putMarker e) pickMarker m)
2699,0.7100694444444448,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=19 r( move IF c( frontIsClear c) i( pickMarker turnLeft move move i) r) REPEAT R=19 r( move move turnLeft pickMarker r) move i) ELSE e( move e) pickMarker m)
2740,0.713541666666667,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=19 r( move pickMarker move turnRight r) REPEAT R=19 r( move move turnLeft pickMarker r) move i) ELSE e( move e) pickMarker m)
2780,0.7500000000000003,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=19 r( move turnRight move pickMarker r) REPEAT R=19 r( move move turnLeft pickMarker r) move i) ELSE e( turnLeft e) pickMarker m)
7112,0.7795138888888891,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=19 r( move turnRight move WHILE c( markersPresent c) w( turnLeft pickMarker w) r) REPEAT R=19 r( move move turnLeft pickMarker r) move i) ELSE e( turnLeft e) pickMarker m)
8504,0.8975694444444449,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=19 r( move turnRight move REPEAT R=18 r( pickMarker move r) r) REPEAT R=19 r( move move turnLeft pickMarker r) move i) ELSE e( turnLeft e) pickMarker m)
8506,0.9288194444444446,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=19 r( move turnRight move REPEAT R=7 r( pickMarker move r) r) REPEAT R=19 r( move move turnLeft pickMarker r) move i) ELSE e( turnLeft e) pickMarker m)
8529,0.9479166666666666,DEF run m( IFELSE c( leftIsClear c) i( REPEAT R=19 r( move turnRight move REPEAT R=8 r( pickMarker move r) r) REPEAT R=19 r( move move turnLeft pickMarker r) move i) ELSE e( turnLeft e) pickMarker m)
8533,1.0000000000000002,DEF run m( IFELSE c( leftIsClear c) i( REPEAT R=19 r( move turnRight move REPEAT R=11 r( pickMarker move r) r) REPEAT R=19 r( move move turnLeft pickMarker r) move i) ELSE e( turnLeft e) pickMarker m)
