num_evaluations,best_reward,best_program
0,0.0,DEF run m( IF c( leftIsClear c) i( IFELSE c( markersPresent c) i( WHILE c( markersPresent c) w( move move w) WHILE c( frontIsClear c) w( pickMarker move w) i) ELSE e( WHILE c( frontIsClear c) w( turnRight w) e) i) m)
5,0.0625,DEF run m( IFELSE c( rightIsClear c) i( turnLeft i) ELSE e( IFELSE c( leftIsClear c) i( move move i) ELSE e( pickMarker putMarker move move e) WHILE c( frontIsClear c) w( turnLeft putMarker w) e) m)
82,0.125,DEF run m( REPEAT R=10 r( move WHILE c( rightIsClear c) w( WHILE c( leftIsClear c) w( move w) turnLeft turnLeft IF c( frontIsClear c) i( turnLeft move move move i) w) r) m)
94,0.25,DEF run m( REPEAT R=10 r( move WHILE c( frontIsClear c) w( move move pickMarker turnLeft w) turnLeft IF c( frontIsClear c) i( move REPEAT R=0 r( move move move r) turnRight i) r) m)
97,0.5,DEF run m( REPEAT R=10 r( REPEAT R=12 r( move move putMarker turnLeft r) move IF c( markersPresent c) i( putMarker i) IF c( rightIsClear c) i( putMarker i) IF c( noMarkersPresent c) i( turnRight i) r) m)
98,0.5625,DEF run m( REPEAT R=10 r( REPEAT R=12 r( move move putMarker turnLeft r) move IF c( markersPresent c) i( putMarker i) IF c( rightIsClear c) i( turnLeft i) IF c( noMarkersPresent c) i( turnRight i) r) m)
102,0.625,DEF run m( REPEAT R=19 r( REPEAT R=12 r( move move putMarker turnLeft r) move REPEAT R=9 r( IF c( leftIsClear c) i( turnLeft i) r) IF c( rightIsClear c) i( turnLeft i) IF c( noMarkersPresent c) i( turnRight i) r) m)
104,0.6875,DEF run m( REPEAT R=19 r( REPEAT R=12 r( move move putMarker turnLeft r) move pickMarker r) m)
132,0.8125,DEF run m( REPEAT R=19 r( REPEAT R=12 r( IF c( frontIsClear c) i( move pickMarker i) move putMarker turnLeft r) turnLeft pickMarker r) m)
146,1.0,DEF run m( REPEAT R=19 r( REPEAT R=18 r( IF c( frontIsClear c) i( move pickMarker i) move putMarker turnLeft r) turnLeft pickMarker r) m)
