num_evaluations,best_reward,best_program
0,0.0,DEF run m( turnLeft m)
34,0.017361111111111115,DEF run m( WHILE c( leftIsClear c) w( move move w) turnLeft IF c( frontIsClear c) i( move pickMarker turnRight i) IF c( not c( frontIsClear c) c) i( putMarker i) m)
114,0.019097222222222227,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( WHILE c( frontIsClear c) w( move move putMarker putMarker w) e) turnLeft WHILE c( frontIsClear c) w( pickMarker WHILE c( frontIsClear c) w( move pickMarker w) w) IF c( rightIsClear c) i( putMarker i) m)
130,0.046875000000000014,DEF run m( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( WHILE c( frontIsClear c) w( move pickMarker putMarker putMarker w) e) turnLeft WHILE c( frontIsClear c) w( move w) IF c( rightIsClear c) i( putMarker i) m)
132,0.05555555555555557,DEF run m( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( WHILE c( frontIsClear c) w( move WHILE c( markersPresent c) w( turnRight w) w) e) turnLeft WHILE c( frontIsClear c) w( move w) IF c( leftIsClear c) i( putMarker i) m)
164,0.2777777777777778,DEF run m( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( move e) turnLeft WHILE c( not c( markersPresent c) c) w( putMarker move turnLeft move w) m)
171,0.28472222222222227,DEF run m( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( move e) turnLeft WHILE c( not c( markersPresent c) c) w( putMarker move turnRight move w) m)
183,0.33680555555555564,DEF run m( IFELSE c( leftIsClear c) i( putMarker move i) ELSE e( move e) turnLeft WHILE c( not c( markersPresent c) c) w( putMarker move turnRight move w) m)
210,0.37500000000000006,DEF run m( IFELSE c( leftIsClear c) i( putMarker move i) ELSE e( move move IF c( leftIsClear c) i( move i) move e) turnLeft WHILE c( not c( markersPresent c) c) w( putMarker move turnRight move w) m)
277,0.39236111111111116,DEF run m( IFELSE c( leftIsClear c) i( putMarker move i) ELSE e( move move WHILE c( rightIsClear c) w( move turnLeft w) e) turnLeft WHILE c( not c( markersPresent c) c) w( putMarker move turnRight move w) m)
294,0.40972222222222227,DEF run m( IFELSE c( leftIsClear c) i( putMarker move i) ELSE e( move turnLeft WHILE c( rightIsClear c) w( move turnLeft w) e) turnLeft WHILE c( not c( markersPresent c) c) w( putMarker move turnRight move w) m)
369,0.4149305555555556,DEF run m( IFELSE c( leftIsClear c) i( move IF c( frontIsClear c) i( move i) i) ELSE e( move turnLeft WHILE c( rightIsClear c) w( move turnRight w) e) turnLeft WHILE c( not c( markersPresent c) c) w( putMarker move turnRight move w) m)
434,0.41840277777777773,DEF run m( IFELSE c( leftIsClear c) i( move IF c( rightIsClear c) i( move i) i) ELSE e( move turnLeft WHILE c( rightIsClear c) w( move turnRight w) e) turnLeft WHILE c( noMarkersPresent c) w( putMarker move turnRight move w) m)
637,0.4270833333333333,DEF run m( IFELSE c( leftIsClear c) i( move IF c( rightIsClear c) i( turnLeft i) i) ELSE e( move turnLeft WHILE c( rightIsClear c) w( move turnRight w) e) turnLeft WHILE c( noMarkersPresent c) w( putMarker move turnRight move w) m)
925,0.4461805555555555,DEF run m( IFELSE c( leftIsClear c) i( move IF c( rightIsClear c) i( WHILE c( frontIsClear c) w( move w) i) i) ELSE e( move turnRight WHILE c( rightIsClear c) w( turnLeft w) e) turnLeft WHILE c( noMarkersPresent c) w( putMarker move turnRight move w) m)
927,0.49999999999999994,DEF run m( IFELSE c( leftIsClear c) i( move IF c( leftIsClear c) i( WHILE c( frontIsClear c) w( move w) i) i) ELSE e( move turnRight WHILE c( rightIsClear c) w( turnLeft w) e) turnLeft WHILE c( noMarkersPresent c) w( putMarker move turnRight move w) m)
988,0.5104166666666667,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=6 r( move r) IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( move i) w) i) i) ELSE e( move e) turnLeft WHILE c( noMarkersPresent c) w( putMarker move turnRight move w) m)
1174,0.5277777777777778,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=6 r( turnRight move r) IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move w) i) i) ELSE e( turnLeft e) turnLeft WHILE c( noMarkersPresent c) w( putMarker move turnRight move w) m)
2955,0.5555555555555556,DEF run m( IFELSE c( frontIsClear c) i( REPEAT R=18 r( WHILE c( not c( frontIsClear c) c) w( turnRight w) move r) WHILE c( frontIsClear c) w( move w) i) ELSE e( turnLeft e) turnLeft WHILE c( noMarkersPresent c) w( putMarker move turnRight move w) m)
5405,0.8142361111111115,DEF run m( IFELSE c( frontIsClear c) i( WHILE c( frontIsClear c) w( move w) i) ELSE e( move e) turnRight WHILE c( noMarkersPresent c) w( putMarker move move move WHILE c( markersPresent c) w( move turnLeft w) w) m)
5527,0.8593750000000004,DEF run m( IFELSE c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move w) i) ELSE e( turnLeft move e) turnRight WHILE c( noMarkersPresent c) w( putMarker REPEAT R=2 r( turnRight r) move move WHILE c( markersPresent c) w( move turnLeft w) w) m)
5531,0.885416666666667,DEF run m( IFELSE c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move w) i) ELSE e( turnLeft move e) pickMarker WHILE c( noMarkersPresent c) w( putMarker REPEAT R=2 r( turnRight r) move move WHILE c( markersPresent c) w( move turnLeft w) w) m)
5585,0.9270833333333335,DEF run m( IFELSE c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move w) i) ELSE e( pickMarker pickMarker e) pickMarker WHILE c( noMarkersPresent c) w( putMarker REPEAT R=18 r( move r) move move WHILE c( markersPresent c) w( move turnLeft w) w) m)
