num_evaluations,best_reward,best_program
0,0.0,DEF run m( WHILE c( leftIsClear c) w( REPEAT R=18 r( putMarker r) WHILE c( leftIsClear c) w( WHILE c( noMarkersPresent c) w( turnLeft turnLeft turnRight pickMarker turnLeft w) IF c( leftIsClear c) i( turnRight i) WHILE c( frontIsClear c) w( turnRight w) putMarker WHILE c( frontIsClear c) w( move w) WHILE c( not c( leftIsClear c) c) w( turnLeft move move move move move w) w) w) m)
25,0.009375000000000001,DEF run m( putMarker move move WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( turnRight putMarker pickMarker move i) move w) m)
32,0.018750000000000003,DEF run m( putMarker move move WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight putMarker pickMarker move i) move w) m)
43,0.025,DEF run m( putMarker move move WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight putMarker pickMarker move i) move w) m)
65,0.053125,DEF run m( putMarker move move WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight putMarker IF c( not c( frontIsClear c) c) i( IF c( frontIsClear c) i( turnRight i) i) move i) move w) m)
149,0.053125000000000006,DEF run m( putMarker move move WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight putMarker IF c( not c( frontIsClear c) c) i( IF c( frontIsClear c) i( turnRight i) i) move i) move w) m)
150,0.071875,DEF run m( putMarker move move WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight putMarker IF c( not c( frontIsClear c) c) i( IF c( frontIsClear c) i( turnRight i) i) move i) move w) m)
162,0.08125,DEF run m( putMarker move move WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight move IF c( noMarkersPresent c) i( pickMarker i) WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) move w) m)
164,0.08125000000000002,DEF run m( putMarker move move WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight move IF c( noMarkersPresent c) i( pickMarker i) WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) move w) m)
166,0.140625,DEF run m( pickMarker move move WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight move IF c( noMarkersPresent c) i( pickMarker i) WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) move w) m)
177,0.16875,DEF run m( pickMarker move move WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( pickMarker i) WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) move w) m)
279,0.21875000000000006,DEF run m( pickMarker move move WHILE c( leftIsClear c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( pickMarker i) WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) move w) m)
692,0.253125,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( pickMarker i) WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) move w) m)
8742,0.25312500000000004,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( pickMarker i) WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) move w) m)
9685,0.28125,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( pickMarker i) WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) move w) m)
49993,0.290625,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( pickMarker i) WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) move w) m)
159738,0.325,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( pickMarker i) WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) move w) m)
365091,0.32500000000000007,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( noMarkersPresent c) i( pickMarker i) WHILE c( rightIsClear c) w( putMarker move turnLeft move w) i) move w) m)
385013,0.496875,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move move IF c( rightIsClear c) i( putMarker move turnRight i) i) move w) m)
385018,0.503125,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move move IF c( rightIsClear c) i( putMarker move turnRight i) i) move w) m)
385022,0.5125000000000001,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move move IF c( rightIsClear c) i( putMarker move turnRight i) i) move w) m)
385057,0.5250000000000001,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move move IF c( rightIsClear c) i( putMarker move turnRight i) i) move w) m)
385320,0.5750000000000002,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move move IF c( rightIsClear c) i( putMarker move turnRight i) i) pickMarker move w) m)
385387,0.5781250000000001,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move move IF c( rightIsClear c) i( putMarker move turnRight i) i) pickMarker move w) m)
385908,0.5812500000000002,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move move IF c( rightIsClear c) i( putMarker move turnRight i) i) pickMarker move w) m)
388576,0.6187500000000001,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( move i) IF c( rightIsClear c) i( putMarker move turnRight i) i) pickMarker move w) m)
388582,0.6343750000000001,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( move i) IF c( rightIsClear c) i( putMarker move turnRight i) i) pickMarker move w) m)
388592,0.6437500000000002,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( move i) IF c( rightIsClear c) i( putMarker move turnRight i) i) pickMarker move w) m)
389208,0.6500000000000001,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( move i) IF c( rightIsClear c) i( putMarker move turnRight i) i) pickMarker move w) m)
394205,0.8656250000000001,DEF run m( pickMarker move move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( move i) IF c( rightIsClear c) i( putMarker move turnRight i) i) pickMarker move pickMarker w) m)
394210,0.925,DEF run m( pickMarker turnLeft move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( move i) IF c( rightIsClear c) i( putMarker move turnRight i) i) pickMarker move pickMarker w) m)
394220,0.9250000000000002,DEF run m( pickMarker turnLeft move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( move i) IF c( rightIsClear c) i( putMarker move turnRight i) i) pickMarker move pickMarker w) m)
394227,0.9312500000000001,DEF run m( pickMarker turnLeft move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( move i) IF c( rightIsClear c) i( putMarker move turnRight i) i) pickMarker move pickMarker w) m)
394285,0.9375000000000001,DEF run m( pickMarker turnLeft move WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( turnRight move IF c( frontIsClear c) i( move i) IF c( rightIsClear c) i( putMarker move turnRight i) i) pickMarker move pickMarker w) m)
