num_evaluations,best_reward,best_program
1,-0.59375,DEF run m( pickMarker REPEAT R=13 r( WHILE c( leftIsClear c) w( turnRight w) r) IFELSE c( frontIsClear c) i( IF c( noMarkersPresent c) i( WHILE c( frontIsClear c) w( move turnLeft w) REPEAT R=9 r( turnRight move turnLeft move move move r) i) IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( move pickMarker e) i) ELSE e( turnRight move pickMarker IF c( markersPresent c) i( IFELSE c( noMarkersPresent c) i( move putMarker turnRight putMarker i) ELSE e( move turnLeft putMarker e) turnLeft IFELSE c( noMarkersPresent c) i( move move turnRight pickMarker pickMarker i) ELSE e( putMarker turnLeft e) i) e) IF c( noMarkersPresent c) i( move WHILE c( frontIsClear c) w( turnRight WHILE c( markersPresent c) w( turnLeft move turnRight w) WHILE c( frontIsClear c) w( turnLeft w) w) i) WHILE c( noMarkersPresent c) w( putMarker WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( pickMarker putMarker turnRight move move putMarker w) turnRight move w) w) m)
2,0.125,DEF run m( pickMarker REPEAT R=13 r( WHILE c( leftIsClear c) w( turnRight w) r) WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( pickMarker turnRight move move w) w) m)
16,0.15625,DEF run m( pickMarker pickMarker WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( pickMarker turnRight move move w) w) m)
87,0.1875,DEF run m( pickMarker pickMarker WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( pickMarker turnRight move move pickMarker w) w) m)
363,0.21875,DEF run m( move REPEAT R=8 r( pickMarker turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight IF c( leftIsClear c) i( move putMarker i) IF c( frontIsClear c) i( move move i) e) WHILE c( frontIsClear c) w( turnRight w) r) m)
393,0.40625,DEF run m( move REPEAT R=8 r( pickMarker turnRight WHILE c( frontIsClear c) w( pickMarker move w) r) m)
451,0.4375,DEF run m( REPEAT R=1 r( turnRight move r) REPEAT R=8 r( pickMarker turnRight WHILE c( frontIsClear c) w( pickMarker move w) r) m)
459,0.46875,DEF run m( REPEAT R=4 r( turnRight move r) REPEAT R=8 r( pickMarker turnRight WHILE c( frontIsClear c) w( pickMarker move w) r) m)
578,0.5,DEF run m( REPEAT R=4 r( WHILE c( markersPresent c) w( putMarker move w) IFELSE c( frontIsClear c) i( move pickMarker move move i) ELSE e( pickMarker e) r) REPEAT R=8 r( pickMarker turnRight WHILE c( frontIsClear c) w( pickMarker move w) r) m)
45717,0.5625,DEF run m( REPEAT R=12 r( turnRight move IFELSE c( leftIsClear c) i( pickMarker move pickMarker i) ELSE e( move e) r) WHILE c( noMarkersPresent c) w( move turnLeft move move w) IF c( frontIsClear c) i( putMarker move putMarker i) m)
45744,0.65625,DEF run m( REPEAT R=12 r( turnRight move IFELSE c( leftIsClear c) i( pickMarker move pickMarker i) ELSE e( turnRight e) r) WHILE c( noMarkersPresent c) w( move turnLeft move move w) IF c( frontIsClear c) i( putMarker move putMarker i) m)
45830,0.6875,DEF run m( REPEAT R=12 r( turnRight move IFELSE c( leftIsClear c) i( pickMarker move pickMarker i) ELSE e( turnRight e) r) WHILE c( noMarkersPresent c) w( move turnLeft move move w) IF c( markersPresent c) i( putMarker move putMarker i) m)
45941,0.8125,DEF run m( REPEAT R=10 r( turnRight move IFELSE c( leftIsClear c) i( pickMarker move pickMarker i) ELSE e( turnRight e) r) WHILE c( noMarkersPresent c) w( move turnLeft move move w) IF c( markersPresent c) i( putMarker move putMarker i) m)
617068,0.9375,DEF run m( move REPEAT R=9 r( move IF c( not c( frontIsClear c) c) i( WHILE c( noMarkersPresent c) w( move turnLeft move w) pickMarker WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( move turnLeft w) putMarker i) r) m)
617068,0.9375,DEF run m( move REPEAT R=9 r( move IF c( not c( frontIsClear c) c) i( WHILE c( noMarkersPresent c) w( move turnLeft move w) pickMarker WHILE c( frontIsClear c) w( move w) WHILE c( noMarkersPresent c) w( move turnLeft w) putMarker i) r) m)
