num_evaluations,best_reward,best_program
1,0.0,DEF run m( WHILE c( frontIsClear c) w( move w) m)
4,0.019097222222222227,DEF run m( IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move turnRight pickMarker move w) move WHILE c( frontIsClear c) w( pickMarker turnLeft w) move i) m)
6,0.03472222222222223,DEF run m( IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move turnRight pickMarker move w) move WHILE c( frontIsClear c) w( pickMarker move w) move i) m)
23,0.13888888888888887,DEF run m( IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move turnRight pickMarker move w) turnLeft WHILE c( frontIsClear c) w( pickMarker move w) move i) m)
34,0.16666666666666666,DEF run m( IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move turnRight pickMarker move w) turnLeft WHILE c( markersPresent c) w( pickMarker move w) move i) m)
108,0.16840277777777782,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight pickMarker move w) turnLeft WHILE c( markersPresent c) w( pickMarker move w) move i) m)
113,0.21354166666666674,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight pickMarker move w) turnLeft WHILE c( markersPresent c) w( pickMarker move WHILE c( noMarkersPresent c) w( move move move move w) w) move i) m)
123,0.7152777777777779,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move turnRight pickMarker move w) turnLeft WHILE c( markersPresent c) w( pickMarker move WHILE c( noMarkersPresent c) w( move turnRight w) w) move i) m)
127,0.7708333333333336,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( pickMarker turnRight pickMarker move w) turnLeft WHILE c( markersPresent c) w( pickMarker move WHILE c( noMarkersPresent c) w( move turnRight w) w) move i) m)
136,0.7777777777777778,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( move IF c( frontIsClear c) i( turnLeft i) w) turnLeft WHILE c( markersPresent c) w( pickMarker move WHILE c( noMarkersPresent c) w( move turnRight w) w) move i) m)
152,0.7864583333333335,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( turnLeft w) turnLeft WHILE c( markersPresent c) w( pickMarker move WHILE c( noMarkersPresent c) w( move turnRight w) w) move i) m)
328,0.8611111111111115,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( turnLeft w) turnLeft WHILE c( markersPresent c) w( pickMarker move WHILE c( noMarkersPresent c) w( move turnRight move w) w) move i) m)
1800,0.9722222222222228,DEF run m( WHILE c( leftIsClear c) w( move IF c( markersPresent c) i( pickMarker turnRight move move i) w) REPEAT R=17 r( REPEAT R=7 r( move pickMarker turnRight move r) move REPEAT R=8 r( turnRight move move r) r) m)
1805,0.9861111111111114,DEF run m( WHILE c( leftIsClear c) w( move IF c( markersPresent c) i( pickMarker turnRight turnRight move i) w) REPEAT R=17 r( REPEAT R=7 r( move pickMarker turnRight move r) move REPEAT R=8 r( turnRight move move r) r) m)
1810,0.9861111111111115,DEF run m( WHILE c( leftIsClear c) w( move IF c( markersPresent c) i( pickMarker move i) w) REPEAT R=17 r( REPEAT R=7 r( move pickMarker turnRight move r) move REPEAT R=8 r( turnRight move move r) r) m)
1816,1.0000000000000002,DEF run m( WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( pickMarker move i) w) REPEAT R=17 r( REPEAT R=7 r( move pickMarker turnRight move r) move REPEAT R=8 r( turnRight move move r) r) m)
