num_evaluations,best_reward,best_program
1,0.6006944444444446,DEF run m( IF c( markersPresent c) i( WHILE c( frontIsClear c) w( WHILE c( markersPresent c) w( move turnRight move turnLeft w) move WHILE c( rightIsClear c) w( move move move move putMarker w) IFELSE c( noMarkersPresent c) i( move turnRight move move move turnLeft i) ELSE e( move move move turnLeft turnRight move e) WHILE c( frontIsClear c) w( turnRight move pickMarker move move w) WHILE c( frontIsClear c) w( turnLeft putMarker w) w) WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( move move pickMarker pickMarker turnRight w) w) i) IF c( not c( noMarkersPresent c) c) i( REPEAT R=4 r( WHILE c( frontIsClear c) w( move putMarker w) r) IF c( frontIsClear c) i( WHILE c( rightIsClear c) w( move w) move i) move i) pickMarker move REPEAT R=18 r( IFELSE c( frontIsClear c) i( IFELSE c( noMarkersPresent c) i( move turnRight move turnRight move i) ELSE e( turnRight turnLeft move e) WHILE c( rightIsClear c) w( move move w) i) ELSE e( move WHILE c( frontIsClear c) w( move w) REPEAT R=5 r( move move move turnLeft pickMarker move r) WHILE c( frontIsClear c) w( move putMarker pickMarker move move move w) move IF c( markersPresent c) i( putMarker move i) e) WHILE c( frontIsClear c) w( IFELSE c( frontIsClear c) i( move move putMarker turnLeft move turnRight i) ELSE e( move turnRight turnRight turnRight turnRight e) w) WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( move pickMarker turnLeft turnLeft turnLeft putMarker i) ELSE e( move move putMarker turnRight e) w) WHILE c( leftIsClear c) w( turnLeft w) turnRight move r) move m)
95,0.7465277777777781,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight w) turnLeft m)
131,0.7951388888888893,DEF run m( WHILE c( noMarkersPresent c) w( move IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnLeft move e) w) turnLeft m)
157,0.822916666666667,DEF run m( WHILE c( noMarkersPresent c) w( move IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( turnLeft move e) w) turnLeft m)
370,0.8506944444444448,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( turnLeft move e) w) turnLeft m)
1865,0.8559027777777782,DEF run m( move move WHILE c( noMarkersPresent c) w( IF c( rightIsClear c) i( pickMarker move i) turnLeft WHILE c( noMarkersPresent c) w( turnRight move w) WHILE c( not c( frontIsClear c) c) w( move putMarker move w) move w) m)
3653,0.8593750000000004,DEF run m( move move IF c( noMarkersPresent c) i( move i) IF c( rightIsClear c) i( turnLeft i) REPEAT R=17 r( REPEAT R=16 r( move r) turnRight pickMarker WHILE c( noMarkersPresent c) w( turnRight move w) r) move m)
4723,0.8697916666666671,DEF run m( IF c( frontIsClear c) i( IF c( leftIsClear c) i( WHILE c( noMarkersPresent c) w( turnRight pickMarker move w) i) i) WHILE c( rightIsClear c) w( turnRight w) WHILE c( noMarkersPresent c) w( turnRight move w) m)
4950,0.897569444444445,DEF run m( IF c( frontIsClear c) i( IF c( leftIsClear c) i( WHILE c( rightIsClear c) w( move turnLeft w) turnLeft i) i) WHILE c( rightIsClear c) w( turnRight w) WHILE c( noMarkersPresent c) w( turnRight move w) m)
5295,0.9010416666666672,DEF run m( putMarker REPEAT R=19 r( putMarker WHILE c( frontIsClear c) w( move pickMarker w) REPEAT R=5 r( move turnRight pickMarker WHILE c( markersPresent c) w( move w) r) r) m)
5400,0.9079861111111116,DEF run m( putMarker REPEAT R=19 r( putMarker WHILE c( frontIsClear c) w( move pickMarker w) REPEAT R=12 r( move turnRight pickMarker WHILE c( markersPresent c) w( move w) r) r) m)
5588,0.914930555555556,DEF run m( putMarker REPEAT R=19 r( putMarker IFELSE c( markersPresent c) i( WHILE c( frontIsClear c) w( move move putMarker move w) i) ELSE e( move e) REPEAT R=12 r( move turnRight pickMarker WHILE c( markersPresent c) w( move w) r) r) m)
11844,0.9201388888888894,DEF run m( REPEAT R=17 r( IF c( frontIsClear c) i( move move move move i) REPEAT R=13 r( move putMarker putMarker WHILE c( frontIsClear c) w( turnRight w) move turnRight r) r) IF c( not c( rightIsClear c) c) i( turnLeft i) m)
56835,0.9340277777777781,DEF run m( WHILE c( frontIsClear c) w( turnLeft move w) move REPEAT R=6 r( IF c( frontIsClear c) i( turnLeft i) REPEAT R=11 r( turnLeft move turnRight WHILE c( frontIsClear c) w( turnRight move w) putMarker r) r) turnLeft m)
159293,0.944444444444445,DEF run m( IFELSE c( leftIsClear c) i( WHILE c( frontIsClear c) w( move move move putMarker w) i) ELSE e( turnLeft e) REPEAT R=19 r( move IF c( not c( markersPresent c) c) i( turnRight move move move i) turnRight r) m)
