num_evaluations,best_reward,best_program
1,0.0,DEF run m( IF c( frontIsClear c) i( WHILE c( frontIsClear c) w( WHILE c( frontIsClear c) w( turnRight turnRight w) w) i) WHILE c( noMarkersPresent c) w( turnLeft turnRight move WHILE c( frontIsClear c) w( pickMarker IFELSE c( frontIsClear c) i( move move pickMarker i) ELSE e( move e) REPEAT R=0 r( move move turnLeft move r) WHILE c( frontIsClear c) w( putMarker turnRight move turnLeft w) w) w) m)
176,0.003125,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) WHILE c( frontIsClear c) w( turnLeft w) WHILE c( noMarkersPresent c) w( turnLeft pickMarker putMarker move w) WHILE c( frontIsClear c) w( turnRight turnRight w) m)
180,0.00625,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) WHILE c( frontIsClear c) w( turnLeft w) WHILE c( noMarkersPresent c) w( turnLeft pickMarker move move w) WHILE c( frontIsClear c) w( turnRight turnRight w) m)
190,0.01875,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) WHILE c( rightIsClear c) w( turnLeft w) WHILE c( noMarkersPresent c) w( turnLeft pickMarker move move w) WHILE c( frontIsClear c) w( turnRight turnRight w) m)
198,0.021875000000000002,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) WHILE c( rightIsClear c) w( turnLeft w) WHILE c( noMarkersPresent c) w( turnLeft pickMarker move move w) WHILE c( frontIsClear c) w( turnRight turnRight w) m)
207,0.028125,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) WHILE c( rightIsClear c) w( turnLeft w) WHILE c( noMarkersPresent c) w( turnLeft pickMarker move move w) WHILE c( frontIsClear c) w( turnRight turnRight w) m)
238,0.031249999999999997,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) WHILE c( leftIsClear c) w( turnLeft w) WHILE c( noMarkersPresent c) w( turnLeft pickMarker move move w) WHILE c( frontIsClear c) w( turnRight turnRight w) m)
258,0.034375,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) WHILE c( leftIsClear c) w( turnLeft w) WHILE c( noMarkersPresent c) w( turnLeft pickMarker move move w) WHILE c( frontIsClear c) w( pickMarker turnRight w) m)
319,0.04062500000000001,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) WHILE c( leftIsClear c) w( turnLeft w) WHILE c( noMarkersPresent c) w( turnLeft pickMarker move move w) WHILE c( frontIsClear c) w( pickMarker turnRight w) m)
684,0.065625,DEF run m( IF c( rightIsClear c) i( move i) WHILE c( rightIsClear c) w( move putMarker turnLeft move w) m)
699,0.06875,DEF run m( IF c( rightIsClear c) i( move i) WHILE c( rightIsClear c) w( move putMarker turnLeft move w) m)
703,0.075,DEF run m( IF c( frontIsClear c) i( move i) WHILE c( rightIsClear c) w( move putMarker turnLeft move w) m)
731,0.1375,DEF run m( IF c( frontIsClear c) i( move i) WHILE c( rightIsClear c) w( move IF c( frontIsClear c) i( turnLeft move i) REPEAT R=13 r( pickMarker r) IF c( frontIsClear c) i( move turnLeft move putMarker i) w) m)
766,0.1625,DEF run m( IF c( frontIsClear c) i( move i) WHILE c( rightIsClear c) w( move IF c( frontIsClear c) i( turnLeft move i) REPEAT R=13 r( pickMarker r) IF c( rightIsClear c) i( move turnLeft move putMarker i) w) m)
797,0.19374999999999998,DEF run m( IF c( frontIsClear c) i( pickMarker turnLeft i) WHILE c( rightIsClear c) w( move IF c( frontIsClear c) i( turnLeft move i) REPEAT R=13 r( pickMarker r) IF c( rightIsClear c) i( move turnLeft move putMarker i) w) m)
1034,0.19375000000000003,DEF run m( IF c( frontIsClear c) i( pickMarker turnLeft i) WHILE c( rightIsClear c) w( move IF c( frontIsClear c) i( turnLeft move i) REPEAT R=13 r( pickMarker r) IF c( frontIsClear c) i( move turnLeft move putMarker i) w) m)
1076,0.20937499999999998,DEF run m( IF c( frontIsClear c) i( pickMarker turnLeft i) WHILE c( rightIsClear c) w( move IF c( frontIsClear c) i( turnLeft move i) REPEAT R=13 r( pickMarker r) IF c( frontIsClear c) i( move turnLeft move putMarker i) w) m)
1188,0.24375,DEF run m( IF c( frontIsClear c) i( pickMarker turnLeft i) WHILE c( rightIsClear c) w( move IF c( frontIsClear c) i( turnLeft move i) REPEAT R=13 r( pickMarker r) IF c( frontIsClear c) i( move turnLeft move putMarker i) w) m)
1252,0.278125,DEF run m( IF c( frontIsClear c) i( pickMarker turnLeft i) WHILE c( rightIsClear c) w( move IF c( frontIsClear c) i( turnLeft move i) REPEAT R=13 r( pickMarker r) IF c( frontIsClear c) i( move turnLeft move putMarker i) w) m)
15851,0.284375,DEF run m( WHILE c( frontIsClear c) w( turnLeft IF c( not c( rightIsClear c) c) i( turnLeft i) WHILE c( rightIsClear c) w( move WHILE c( frontIsClear c) w( putMarker turnLeft move move w) turnLeft w) turnLeft w) m)
38188,0.28750000000000003,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( frontIsClear c) i( turnRight move putMarker move i) ELSE e( move e) IF c( not c( frontIsClear c) c) i( turnRight turnLeft move i) w) m)
40345,0.303125,DEF run m( WHILE c( frontIsClear c) w( WHILE c( leftIsClear c) w( move IF c( frontIsClear c) i( move i) turnRight w) move w) REPEAT R=15 r( REPEAT R=16 r( pickMarker turnLeft move move r) r) pickMarker move m)
82232,0.35937500000000006,DEF run m( WHILE c( frontIsClear c) w( IF c( frontIsClear c) i( turnRight move move putMarker i) WHILE c( not c( frontIsClear c) c) w( move w) w) putMarker move m)
111342,0.7531250000000002,DEF run m( turnRight WHILE c( not c( frontIsClear c) c) w( pickMarker move move w) WHILE c( frontIsClear c) w( turnRight move REPEAT R=16 r( IFELSE c( frontIsClear c) i( putMarker turnRight move move i) ELSE e( pickMarker e) r) move w) m)
111350,0.7656250000000001,DEF run m( turnRight WHILE c( not c( frontIsClear c) c) w( move move move w) WHILE c( frontIsClear c) w( turnRight move REPEAT R=16 r( IFELSE c( frontIsClear c) i( putMarker turnRight move move i) ELSE e( pickMarker e) r) move w) m)
111353,0.7718750000000001,DEF run m( turnRight WHILE c( not c( frontIsClear c) c) w( move move move w) WHILE c( frontIsClear c) w( turnRight move REPEAT R=16 r( IFELSE c( frontIsClear c) i( putMarker turnRight move move i) ELSE e( pickMarker e) r) move w) m)
111361,0.7875000000000001,DEF run m( turnRight WHILE c( not c( frontIsClear c) c) w( move move move w) WHILE c( frontIsClear c) w( turnRight move REPEAT R=16 r( IFELSE c( frontIsClear c) i( putMarker turnRight move move i) ELSE e( pickMarker e) r) move w) m)
111367,0.790625,DEF run m( turnRight WHILE c( not c( frontIsClear c) c) w( move move move w) WHILE c( frontIsClear c) w( turnRight move REPEAT R=16 r( IFELSE c( frontIsClear c) i( putMarker turnRight move move i) ELSE e( pickMarker e) r) move w) m)
111372,0.8125000000000001,DEF run m( turnRight WHILE c( not c( frontIsClear c) c) w( move move move w) WHILE c( frontIsClear c) w( turnRight move REPEAT R=16 r( IFELSE c( frontIsClear c) i( putMarker turnRight move move i) ELSE e( pickMarker e) r) move w) m)
111461,0.8187500000000001,DEF run m( turnRight WHILE c( not c( frontIsClear c) c) w( move move move w) WHILE c( frontIsClear c) w( turnRight move REPEAT R=16 r( IFELSE c( frontIsClear c) i( putMarker turnRight move move i) ELSE e( pickMarker e) r) move w) m)
111574,0.8531250000000001,DEF run m( turnRight WHILE c( not c( frontIsClear c) c) w( move move move w) WHILE c( frontIsClear c) w( turnRight move REPEAT R=16 r( IFELSE c( frontIsClear c) i( putMarker turnRight move move i) ELSE e( pickMarker e) r) move w) m)
