num_evaluations,best_reward,best_program
1,0.017361111111111115,DEF run m( IF c( frontIsClear c) i( REPEAT R=0 r( pickMarker r) i) putMarker turnLeft IF c( leftIsClear c) i( move i) m)
2,0.024305555555555563,DEF run m( IF c( frontIsClear c) i( REPEAT R=9 r( turnLeft r) i) IF c( leftIsClear c) i( turnRight move i) m)
5,0.11979166666666664,DEF run m( IF c( frontIsClear c) i( pickMarker turnLeft i) putMarker REPEAT R=10 r( move r) m)
29,0.12326388888888887,DEF run m( IF c( frontIsClear c) i( turnRight pickMarker i) REPEAT R=10 r( move r) m)
138,0.14409722222222224,DEF run m( WHILE c( frontIsClear c) w( IFELSE c( not c( leftIsClear c) c) i( move turnRight i) ELSE e( turnLeft move REPEAT R=1 r( putMarker r) e) w) m)
164,0.14583333333333334,DEF run m( WHILE c( frontIsClear c) w( move turnRight w) IFELSE c( not c( leftIsClear c) c) i( turnLeft move i) ELSE e( REPEAT R=7 r( move r) e) m)
166,0.3281250000000001,DEF run m( WHILE c( frontIsClear c) w( move turnRight w) REPEAT R=17 r( turnLeft IF c( not c( leftIsClear c) c) i( move turnRight i) r) m)
171,0.5503472222222223,DEF run m( WHILE c( frontIsClear c) w( move move w) REPEAT R=17 r( IF c( not c( leftIsClear c) c) i( move turnLeft i) REPEAT R=7 r( move r) r) m)
187,0.7569444444444448,DEF run m( IF c( frontIsClear c) i( move move i) REPEAT R=17 r( turnLeft IF c( not c( leftIsClear c) c) i( move turnRight i) REPEAT R=10 r( IF c( not c( leftIsClear c) c) i( move turnLeft i) r) r) m)
279,0.822916666666667,DEF run m( REPEAT R=17 r( move turnLeft IF c( not c( leftIsClear c) c) i( move turnLeft REPEAT R=2 r( IF c( not c( leftIsClear c) c) i( move turnLeft i) r) i) REPEAT R=7 r( move turnLeft r) r) m)
939,0.8506944444444448,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move REPEAT R=13 r( pickMarker r) i) ELSE e( move turnRight e) w) m)
3580,0.8559027777777782,DEF run m( move IF c( rightIsClear c) i( move move i) WHILE c( noMarkersPresent c) w( move turnRight w) m)
27795,0.8593750000000003,DEF run m( REPEAT R=18 r( IFELSE c( frontIsClear c) i( move move i) ELSE e( pickMarker move move move turnRight move move e) move r) m)
27804,0.8697916666666671,DEF run m( REPEAT R=18 r( IFELSE c( frontIsClear c) i( move move i) ELSE e( pickMarker move turnRight move move e) move r) m)
28393,0.8750000000000002,DEF run m( WHILE c( noMarkersPresent c) w( turnRight move IFELSE c( frontIsClear c) i( WHILE c( frontIsClear c) w( turnLeft w) i) ELSE e( turnRight move e) w) m)
41857,0.9201388888888894,DEF run m( WHILE c( frontIsClear c) w( move move w) turnRight WHILE c( noMarkersPresent c) w( turnLeft move WHILE c( frontIsClear c) w( turnRight w) w) m)
