num_evaluations,best_reward,best_program
1,-0.24305555555555555,DEF run m( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( move e) WHILE c( not c( frontIsClear c) c) w( putMarker w) IFELSE c( frontIsClear c) i( move i) ELSE e( putMarker e) m)
2,0.0,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) IFELSE c( not c( frontIsClear c) c) i( move i) ELSE e( move putMarker e) m)
4,0.017361111111111115,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) IFELSE c( markersPresent c) i( move i) ELSE e( move e) putMarker m)
40,0.027777777777777787,DEF run m( WHILE c( markersPresent c) w( move w) putMarker move pickMarker move m)
309,0.05555555555555557,DEF run m( IF c( frontIsClear c) i( putMarker move putMarker i) m)
321,0.06250000000000001,DEF run m( WHILE c( frontIsClear c) w( putMarker move w) IF c( rightIsClear c) i( turnRight i) m)
348,0.07986111111111112,DEF run m( WHILE c( frontIsClear c) w( putMarker move w) IF c( rightIsClear c) i( putMarker i) m)
435,0.09027777777777779,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move w) IF c( rightIsClear c) i( turnRight i) m)
439,0.11111111111111113,DEF run m( WHILE c( noMarkersPresent c) w( putMarker move IF c( rightIsClear c) i( turnRight i) w) m)
3238,0.11284722222222221,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( putMarker move w) m)
5351,0.18750000000000003,DEF run m( REPEAT R=4 r( IF c( markersPresent c) i( turnLeft i) WHILE c( rightIsClear c) w( IFELSE c( noMarkersPresent c) i( putMarker i) ELSE e( move e) w) r) m)
5394,0.23784722222222227,DEF run m( REPEAT R=4 r( IFELSE c( markersPresent c) i( turnLeft i) ELSE e( move e) WHILE c( rightIsClear c) w( IFELSE c( noMarkersPresent c) i( putMarker i) ELSE e( move e) w) r) m)
17394,0.40625,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( move IF c( frontIsClear c) i( turnLeft i) e) w) m)
17472,0.4548611111111111,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker move i) ELSE e( REPEAT R=1 r( turnLeft r) e) w) m)
67107,0.5034722222222223,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( putMarker i) ELSE e( turnRight e) IFELSE c( frontIsClear c) i( move i) ELSE e( pickMarker move e) w) m)
116707,0.5503472222222223,DEF run m( WHILE c( noMarkersPresent c) w( IF c( frontIsClear c) i( putMarker i) move turnLeft WHILE c( markersPresent c) w( move w) w) m)
116764,0.6736111111111113,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( rightIsClear c) i( putMarker i) ELSE e( move e) move turnLeft WHILE c( markersPresent c) w( move w) w) m)
116766,0.7031250000000001,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( rightIsClear c) i( putMarker i) ELSE e( move e) turnLeft WHILE c( markersPresent c) w( move w) w) m)
753926,0.7517361111111114,DEF run m( WHILE c( noMarkersPresent c) w( putMarker IFELSE c( frontIsClear c) i( move i) ELSE e( move e) WHILE c( markersPresent c) w( move turnLeft w) w) m)
